"Mouse_ID","OPG"
"AA_0094",0
"AA_0147",0
"AA_0148",0
"AA_0149",0
"AA_0150",0
"AA_0151",0
"AA_0152",0
"AA_0153",0
"AA_0154",0
"AA_0155",0
"AA_0156",0
"AA_0157",0
"AA_0158",0
"AA_0159",0
"AA_0160",0
"AA_0161",0
"AA_0162",0
"AA_0163",0
"AA_0164",0
"AA_0165",320000
"AA_0166",0
"AA_0167",120000
"AA_0168",0
"AA_0169",240000
"AA_0170",0
"AA_0171",0
"AA_0172",0
"AA_0173",180000
"AA_0174",0
"AA_0175",0
"AA_0176",0
"AA_0177",0
"AA_0178",0
"AA_0179",4000
"AA_0180",0
"AA_0181",0
"AA_0182",0
"AA_0183",0
"AA_0184",280000
"AA_0185",0
"AA_0186",90000
"AA_0187",0
"AA_0188",0
"AA_0189",120000
"AA_0190",0
"AA_0191",20000
"AA_0192",0
"AA_0193",0
"AA_0194",0
"AA_0195",0
"AA_0196",0
"AA_0197",0
"AA_0198",0
"AA_0199",35000
"AA_0200",0
"AA_0201",0
"AA_0202",0
"AA_0203",0
"AA_0204",40000
"AA_0205",0
"AA_0206",0
"AA_0207",40000
"AA_0208",0
"AA_0209",0
"AA_0210",0
"AA_0211",40000
