Sample_ID,PCR_Results_Ap5,Raw_count_by_A_Neubauer_1bigsquare,Raw_count_by_P_Neubauer_1bigsquare,Raw_count_by_E,Weight_feces_.g.,Volume_mL,Box_No
AA_0001,0,,0,,3,4,1
AA_0002,0,,0,,1.5,4,1
AA_0003,0,,0,,1,4,1
AA_0004,0,,0,,1,4,1
AA_0005,0,,0,,1,4,1
AA_0006,0,,0,,1,4,1
AA_0007,0,,0,,3,4,1
AA_0008,0,,0,,3.5,4,1
AA_0009,0,,0,,2,4,1
AA_0010,0,,0,,3.5,4,1
AA_0011,0,,0,,2,4,1
AA_0012,0,,0,,1,4,1
AA_0013,0,,0,,1.5,4,1
AA_0014,0,,0,,1.5,4,5
AA_0015,0,,0,,2,4,1
AA_0016,NA,,NA,,NA,4,NA
AA_0017,0,,0,,1,4,NA
AA_0018,0,,0,,1,4,4
AA_0019,0,,0,,1,4,4
AA_0020,0,,0,,1.5,4,4
AA_0021,0,,0,,2,4,4
AA_0022,0,,0,,2,4,4
AA_0023,0,,0,,3.5,4,4
AA_0024,0,,0,,3,4,4
AA_0025,0,,0,,4,4,4
AA_0026,0,,0,,1,4,4
AA_0027,0,,0,,3,4,4
AA_0028,0,,0,,5,4,4
AA_0029,0,,0,,1.5,4,4
AA_0030,0,,0,,3,4,2
AA_0031,0,,0,,3,4,4
AA_0032,0,,0,,4,4,4
AA_0033,0,,0,,4,4,4
AA_0034,0,,0,,4,4,5
AA_0035,0,,0,,4,4,5
AA_0036,0,,0,,4,4,5
AA_0037,0,#VALUE!,0,,4,4,5
AA_0038,0,#VALUE!,0,,4,4,5
AA_0039,0,#VALUE!,0,,2,4,5
AA_0040,0,#VALUE!,0,,2,4,5
AA_0041,0,#VALUE!,0,,2,4,5
AA_0042,0,#VALUE!,0,,2.5,4,5
AA_0043,0,#VALUE!,0,,0.3,4,5
AA_0044,NA,#VALUE!,NA,,NA,4,NA
AA_0045,0,#VALUE!,0,,0.5,4,5
AA_0046,0,#VALUE!,0,,1,4,5
AA_0047,0,0,,30,2,4,3
AA_0048,0,0,,0,2,4,NA
AA_0049,0,0,,0,2,4,NA
AA_0050,0,0,,0,2,4,NA
AA_0051,0,0,,0,2,4,NA
AA_0052,0,0,,3,2,5,7
AA_0053,1,0,,3,2,4,7
AA_0054,1,0,,26,2,4,NA
AA_0055,NA,0,,NA,NA,4,NA
AA_0056,1,0,,0,2,4,NA
AA_0057,1,0,,0,2,4,NA
AA_0058,0,0,,0,2,4,NA
AA_0059,0,0,,0,2,4,NA
AA_0060,0,0,,0,2.5,4,NA
AA_0061,0,0,,0,2.5,4,NA
AA_0062,0,0,,0,2.5,4,NA
AA_0063,0,0,,0,2.5,4,NA
AA_0064,1,0,,62,2.5,4,NA
AA_0065,0,0.75,,7,2.5,4,3
AA_0066,0,0,,100,2.5,4,NA
AA_0067,1,0,,0,2.5,4,2
AA_0068,1,0,,15,2.5,4,3
AA_0069,1,3.5,,30,2.5,4,2
AA_0070,1,0,,24,2.5,5,7
AA_0071,0,0,,0,2.5,4,NA
AA_0072,0,0,,0,2.5,4,NA
AA_0073,0,0,,0,2.5,4,NA
AA_0074,0,0,,0,2.5,4,NA
AA_0075,0,0,,0,2.5,4,NA
AA_0076,0,0,,0,2.5,4,NA
AA_0077,0,0,,2,2.5,4,NA
