Material,Quantity,Packed,
Petri dishes ,500,,
1000µL tips not filter ,2 Bag,,
1000µL tips box,10 Boxes,,
Normal trash bags,5 rolls,,Buy in supermarket
Slides,1 Box,,
Traps,All,,
Dissection instruments,,,
Tweezers,5,,
Bottles for cleaning instruments,,,
Soap,,,Buy in supermarket
Microscope Optical,1,,
Stereomicroscope,1,,
Water bottles,30,,
Cages,Rest,,
Box of Gloves (S),3,,
Box of Gloves (M),3,,
Box of Gloves (L),3,,
Sacks of Bedding ,1,,
EtOH 99% (Molecular),1L,,
EtOH 70% (Cleaning),5L,,
Spray bottles,4,,
K2CrO4 2.5% ,4L,,
Sack of Mice food,1,,
Lighthers,3 packages,,
Packages of Oat,12 Bags,,
Sacks of Apples ,1,,
Sardines,12,,
Plastic bags (box),5,,
Aluminium,2,,
Masking tape ,,,
Scissors ,2,,
Pipettes 1000µL,3,,
Liquid nitrogen tank,,,
Brown tape ,,,
1.5mL Eppy,1 Bag,,
15mL Falcons,,,
Cyotubes ,1 Bag,,
Bag holders,4,,
Waste bags,2 packages,,
LIV,250,Yes,
SG,250,Yes,
ELFO,250,Yes,
LUN,250,Yes,
SPL2,250,Yes,
FEC,250,Yes,
ILWE,250,Yes,
CEWE,250,Yes,
LIV,250,Yes,
MES,250,Yes,
ILWE,250,Yes,
CEWE,250,Yes,
CECE,250,Yes,
COCE1,250,Yes,
COCE2,250,Yes,
WFOR,250,Yes,
WEOH,250,Yes,
FEC,250,Yes,
