Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,820,Eimeria,Unknown,29.37,0.748,,,,,74.4
A2,820,Eimeria,Unknown,30.33,0.748,,,,,74.6
A3,820,Eimeria,Unknown,28.86,0.748,,,,,74.8
A4,820,Mus,Unknown,25.89,1.732,,,,,79.4
A5,820,Mus,Unknown,23.76,1.732,,,,,79.4
A6,820,Mus,Unknown,22.46,1.732,,,,,80
A7,743,Eimeria,Unknown,33.06,0.448,,,,,73.9
A8,743,Eimeria,Unknown,32.94,0.448,,,,,74.4
A9,743,Eimeria,Unknown,32.23,0.448,,,,,74.6
A10,743,Mus,Unknown,23.95,0.681,,,,,79.2
A11,743,Mus,Unknown,23.02,0.681,,,,,79.2
A12,743,Mus,Unknown,22.62,0.681,,,,,78.9
B1,817,Eimeria,Unknown,23.19,0.578,,,,,74.4
B2,817,Eimeria,Unknown,24.22,0.578,,,,,74.8
B3,817,Eimeria,Unknown,23.24,0.578,,,,,74.8
B4,817,Mus,Unknown,26.55,1.086,,,,,79.7
B5,817,Mus,Unknown,25.32,1.086,,,,,79.7
B6,817,Mus,Unknown,24.38,1.086,,,,,79.7
B7,721,Eimeria,Unknown,33.02,0.602,,,,,74.4
B8,721,Eimeria,Unknown,31.96,0.602,,,,,80
B9,721,Eimeria,Unknown,32.99,0.602,,,,,74.1
B10,721,Mus,Unknown,25.22,1.626,,,,,79.2
B11,721,Mus,Unknown,23.36,1.626,,,,,79.2
B12,721,Mus,Unknown,21.98,1.626,,,,,78.4
C1,812,Eimeria,Unknown,35.69,1.492,,,,,82
C2,812,Eimeria,Unknown,32.78,1.492,,,,,75.1
C3,812,Eimeria,Unknown,33.67,1.492,,,,,74.4
C4,812,Mus,Unknown,25.79,1.401,,,,,79.7
C5,812,Mus,Unknown,24.33,1.401,,,,,80
C6,812,Mus,Unknown,22.99,1.401,,,,,80
C7,719,Eimeria,Unknown,32.2,0.699,,,,,74.4
C8,719,Eimeria,Unknown,32.28,0.699,,,,,74.6
C9,719,Eimeria,Unknown,31.03,0.699,,,,,74.8
C10,719,Mus,Unknown,23.64,0.791,,,,,79.4
C11,719,Mus,Unknown,22.68,0.791,,,,,79.4
C12,719,Mus,Unknown,22.07,0.791,,,,,79.2
D1,800,Eimeria,Unknown,32.81,0.811,,,,,75.1
D2,800,Eimeria,Unknown,32.78,0.811,,,,,79.7
D3,800,Eimeria,Unknown,31.39,0.811,,,,,75.1
D4,800,Mus,Unknown,24.06,1.055,,,,,80
D5,800,Mus,Unknown,23.16,1.055,,,,,80
D6,800,Mus,Unknown,21.96,1.055,,,,,80
D7,726,Eimeria,Unknown,33.28,1.463,,,,,75.1
D8,726,Eimeria,Unknown,32.55,1.463,,,,,80.5
D9,726,Eimeria,Unknown,30.46,1.463,,,,,72.4
D10,726,Mus,Unknown,23.56,0.883,,,,,79.4
D11,726,Mus,Unknown,22.26,0.883,,,,,79.4
D12,726,Mus,Unknown,21.87,0.883,,,,,79.2
E1,795,Eimeria,Unknown,28.33,0.697,,,,,74.8
E2,795,Eimeria,Unknown,28.59,0.697,,,,,75.1
E3,795,Eimeria,Unknown,27.27,0.697,,,,,75.4
E4,795,Mus,Unknown,23.71,1.001,,,,,80
E5,795,Mus,Unknown,22.76,1.001,,,,,80
E6,795,Mus,Unknown,21.71,1.001,,,,,80
E7,725,Eimeria,Unknown,34.1,1.352,,,,,77.9
E8,725,Eimeria,Unknown,32.53,1.352,,,,,74.4
E9,725,Eimeria,Unknown,31.41,1.352,,,,,77.1
E10,725,Mus,Unknown,23.15,0.61,,,,,79.7
E11,725,Mus,Unknown,22.23,0.61,,,,,79.7
E12,725,Mus,Unknown,22.01,0.61,,,,,79.4
F1,771,Eimeria,Unknown,33.21,0.97,,,,,73.6
F2,771,Eimeria,Unknown,32.08,0.97,,,,,74.8
F3,771,Eimeria,Unknown,34.01,0.97,,,,,74.1
F4,771,Mus,Unknown,24.79,1.708,,,,,79.7
F5,771,Mus,Unknown,23.29,1.708,,,,,80
F6,771,Mus,Unknown,21.38,1.708,,,,,80
F7,704,Eimeria,Unknown,34.33,1.227,,,,,81.5
F8,704,Eimeria,Unknown,32.43,1.227,,,,,82.3
F9,704,Eimeria,Unknown,32.03,1.227,,,,,74.1
F10,704,Mus,Unknown,24.12,0.583,,,,,79.4
F11,704,Mus,Unknown,23.48,0.583,,,,,79.4
F12,704,Mus,Unknown,22.96,0.583,,,,,79.2
G1,770,Eimeria,Unknown,34.54,1.745,,,,,75.9
G2,770,Eimeria,Unknown,32.47,1.745,,,,,74.6
G3,770,Eimeria,Unknown,31.07,1.745,,,,,74.1
G4,770,Mus,Unknown,23.34,1.028,,,,,79.7
G5,770,Mus,Unknown,22.48,1.028,,,,,79.7
G6,770,Mus,Unknown,21.29,1.028,,,,,80
G7,695,Eimeria,Unknown,31.11,0.697,,,,,75.1
G8,695,Eimeria,Unknown,31.3,0.697,,,,,74.8
G9,695,Eimeria,Unknown,30.01,0.697,,,,,74.6
G10,695,Mus,Unknown,23.12,5.522,,,,,79.2
G11,695,Mus,Unknown,22,5.522,,,,,79.2
G12,695,Mus,Unknown,13.04,5.522,,,,,78.9
H1,746,Eimeria,Unknown,25.03,0.808,,,,,73.9
H2,746,Eimeria,Unknown,25.47,0.808,,,,,73.9
H3,746,Eimeria,Unknown,23.9,0.808,,,,,73.9
H4,746,Mus,Unknown,23.18,0.835,,,,,79.4
H5,746,Mus,Unknown,22.8,0.835,,,,,79.4
H6,746,Mus,Unknown,21.59,0.835,,,,,79.7
H7,NTC,Eimeria,Unknown,36,1.656,,,,,74.1
H8,NTC,Eimeria,Unknown,Undetermined,,,,,,75.1
H9,NTC,Eimeria,Unknown,33.66,1.656,,,,,74.8
H10,NTC,Mus,Unknown,Undetermined,,,,,,82
H11,NTC,Mus,Unknown,Undetermined,,,,,,83.1
H12,NTC,Mus,Unknown,Undetermined,,,,,,73.4
