Detector = Eimeria,Reporter = SYBR
Well, Tm
1,74.4
2,74.6
3,74.8
7,73.9
8,74.4
9,74.6
13,74.4
14,74.8
15,74.8
19,74.4
20,80.0
21,74.1
25,82.0
26,75.1
27,74.4
31,74.4
32,74.6
33,74.8
37,75.1
38,79.7
39,75.1
43,75.1
44,80.5
45,72.4
49,74.8
50,75.1
51,75.4
55,77.9
56,74.4
57,77.1
61,73.6
62,74.8
63,74.1
67,81.5
68,82.3
69,74.1
73,75.9
74,74.6
75,74.1
79,75.1
80,74.8
81,74.6
85,73.9
86,73.9
87,73.9
91,74.1
92,75.1
93,74.8
Detector = Mus,Reporter = SYBR
Well, Tm
4,79.4
5,79.4
6,80.0
10,79.2
11,79.2
12,78.9
16,79.7
17,79.7
18,79.7
22,79.2
23,79.2
24,78.4
28,79.7
29,80.0
30,80.0
34,79.4
35,79.4
36,79.2
40,80.0
41,80.0
42,80.0
46,79.4
47,79.4
48,79.2
52,80.0
53,80.0
54,80.0
58,79.7
59,79.7
60,79.4
64,79.7
65,80.0
66,80.0
70,79.4
71,79.4
72,79.2
76,79.7
77,79.7
78,80.0
82,79.2
83,79.2
84,78.9
88,79.4
89,79.4
90,79.7
94,82.0
95,83.1
96,73.4
