Well,Sample Name,Detector,Ct,StdDev Ct,MC
A1,701,Eimeria,31.97,0.921,TRUE
A2,701,Eimeria,33.59,0.921,TRUE
A3,701,Eimeria,33.53,0.921,TRUE
A4,701,Mus,26.31,1.986,TRUE
A5,701,Mus,23.5,1.986,TRUE
A6,701,Mus,22.47,1.986,TRUE
A7,827,Eimeria,32.92,2.046,TRUE
A8,827,Eimeria,32.13,2.046,TRUE
A9,827,Eimeria,36,2.046,TRUE
A10,827,Mus,24.92,1.583,TRUE
A11,827,Mus,23.8,1.583,TRUE
A12,827,Mus,21.79,1.583,TRUE
B1,700,Eimeria,32.61,0.685,TRUE
B2,700,Eimeria,33.61,0.685,TRUE
B3,700,Eimeria,32.3,0.685,TRUE
B4,700,Mus,25.35,1.838,TRUE
B5,700,Mus,23.32,1.838,TRUE
B6,700,Mus,21.68,1.838,TRUE
B7,744,Eimeria,31.23,0.24,TRUE
B8,744,Eimeria,30.92,0.24,TRUE
B9,744,Eimeria,31.39,0.24,TRUE
B10,744,Mus,25.12,1.404,TRUE
B11,744,Mus,24.46,1.404,TRUE
B12,744,Mus,22.42,1.404,TRUE
C1,699,Eimeria,30.01,0.658,FALSE
C2,699,Eimeria,31.23,0.658,FALSE
C3,699,Eimeria,31.04,0.658,FALSE
C4,699,Mus,22.11,9.61,TRUE
C5,699,Mus,21.27,9.61,TRUE
C7,764,Eimeria,34.06,0.797,FALSE
C8,764,Eimeria,32.47,0.797,FALSE
C9,764,Eimeria,33.34,0.797,FALSE
C10,764,Mus,24.84,1.319,TRUE
C11,764,Mus,23.82,1.319,TRUE
C12,764,Mus,22.22,1.319,TRUE
D1,697,Eimeria,32.3,0.911,FALSE
D2,697,Eimeria,31.2,0.911,FALSE
D3,697,Eimeria,33.01,0.911,FALSE
D4,697,Mus,26.13,1.114,TRUE
D5,697,Mus,25.04,1.114,TRUE
D6,697,Mus,23.91,1.114,TRUE
D7,740,Eimeria,31.04,1.218,TRUE
D8,740,Eimeria,32.14,1.218,TRUE
D9,740,Eimeria,33.48,1.218,TRUE
D10,740,Mus,24.2,1.555,TRUE
D11,740,Mus,23.46,1.555,TRUE
D12,740,Mus,21.21,1.555,TRUE
E1,689,Eimeria,25.16,0.811,TRUE
E2,689,Eimeria,26.61,0.811,TRUE
E3,689,Eimeria,25.24,0.811,TRUE
E4,689,Mus,24.75,1.377,TRUE
E5,689,Mus,23.18,1.377,TRUE
E6,689,Mus,22,1.377,TRUE
E7,824,Eimeria,32.17,0.29,TRUE
E8,824,Eimeria,32.52,0.29,TRUE
E9,824,Eimeria,32.75,0.29,TRUE
E10,824,Mus,23.73,6.473,TRUE
E11,824,Mus,23.02,6.473,TRUE
F1,723,Eimeria,32.77,0.508,FALSE
F2,723,Eimeria,31.8,0.508,FALSE
F3,723,Eimeria,32.54,0.508,FALSE
F4,723,Mus,26.07,1.642,TRUE
F5,723,Mus,24.27,1.642,TRUE
F6,723,Mus,22.79,1.642,TRUE
F7,819,Eimeria,34.25,1.554,TRUE
F8,819,Eimeria,31.16,1.554,TRUE
F9,819,Eimeria,32.98,1.554,TRUE
F10,819,Mus,24.83,1.376,TRUE
F11,819,Mus,24.2,1.376,TRUE
F12,819,Mus,22.19,1.376,TRUE
G1,694,Eimeria,25.49,0.591,TRUE
G2,694,Eimeria,26.64,0.591,TRUE
G3,694,Eimeria,26.31,0.591,TRUE
G4,694,Mus,26.04,2.029,TRUE
G5,694,Mus,24.04,2.029,TRUE
G6,694,Mus,21.98,2.029,TRUE
G7,828,Eimeria,35.56,2.092,TRUE
G8,828,Eimeria,31.38,2.092,TRUE
G9,828,Eimeria,33.49,2.092,TRUE
G10,828,Mus,25.52,1.707,TRUE
G11,828,Mus,24.32,1.707,TRUE
G12,828,Mus,22.16,1.707,TRUE
H1,696,Eimeria,29.73,1.366,TRUE
H2,696,Eimeria,31.51,1.366,TRUE
H3,696,Eimeria,32.42,1.366,TRUE
H4,696,Mus,26.28,2.352,TRUE
H5,696,Mus,24.04,2.352,TRUE
H6,696,Mus,21.58,2.352,TRUE
H7,NTC,Eimeria,32.68,0.883,FALSE
H8,NTC,Eimeria,33.94,0.883,FALSE
H9,NTC,Eimeria,34.38,0.883,FALSE
H10,NTC,Mus,Undetermined,,FALSE
H11,NTC,Mus,Undetermined,,FALSE
H12,NTC,Mus,Undetermined,,FALSE
