Document Name: HZ19_qPCR5 
Plate Type: Absolute Quantification
User: user

Document Information

Operator: user
Run Date: Tuesday, May 19, 2020 12:02:31
Last Modified: Tuesday, May 19, 2020 14:18:06
Instrument Type: Applied Biosystems 7300 Real-Time PCR System

Comments:
SDS v1.3

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,0782,Eimeria,Unknown,33.58,0.509,,,,,73.90
A2,0782,Eimeria,Unknown,32.67,0.509,,,,,82.00
A3,0782,Eimeria,Unknown,33.52,0.509,,,,,83.00
A4,0782,Mus,Unknown,24.55,1.099,,,,,79.40
A5,0782,Mus,Unknown,23.37,1.099,,,,,79.40
A6,0782,Mus,Unknown,22.35,1.099,,,,,79.70
A7,0833,Eimeria,Unknown,33.74,0.545,,,,,82.80
A8,0833,Eimeria,Unknown,33.39,0.545,,,,,81.70
A9,0833,Eimeria,Unknown,34.46,0.545,,,,,79.20
A10,0833,Mus,Unknown,23.28,1.077,,,,,79.20
A11,0833,Mus,Unknown,22.36,1.077,,,,,79.20
A12,0833,Mus,Unknown,21.13,1.077,,,,,79.20
B1,0780,Eimeria,Unknown,32.42,0.977,,,,,74.90
B2,0780,Eimeria,Unknown,33.56,0.977,,,,,80.70
B3,0780,Eimeria,Unknown,34.36,0.977,,,,,80.70
B4,0780,Mus,Unknown,24.95,1.325,,,,,79.70
B5,0780,Mus,Unknown,23.82,1.325,,,,,79.70
B6,0780,Mus,Unknown,22.31,1.325,,,,,79.90
B7,0786,Eimeria,Unknown,32.19,0.962,,,,,74.20
B8,0786,Eimeria,Unknown,34.07,0.962,,,,,83.00
B9,0786,Eimeria,Unknown,33.48,0.962,,,,,83.00
B10,0786,Mus,Unknown,22.16,4.640,,,,,79.40
B11,0786,Mus,Unknown,21.34,4.640,,,,,79.40
B12,0786,Mus,Unknown,13.74,4.640,,,,,79.20
C1,0681,Eimeria,Unknown,29.80,2.606,,,,,78.40
C2,0681,Eimeria,Unknown,34.89,2.606,,,,,78.90
C3,0681,Eimeria,Unknown,33.32,2.606,,,,,82.50
C4,0681,Mus,Unknown,25.45,1.196,,,,,79.70
C5,0681,Mus,Unknown,24.46,1.196,,,,,79.90
C6,0681,Mus,Unknown,23.07,1.196,,,,,79.90
C7,0779,Eimeria,Unknown,37.08,1.080,,,,,78.70
C8,0779,Eimeria,Unknown,37.57,1.080,,,,,77.10
C9,0779,Eimeria,Unknown,35.51,1.080,,,,,73.00
C10,0779,Mus,Unknown,24.61,1.744,,,,,79.70
C11,0779,Mus,Unknown,22.90,1.744,,,,,79.70
C12,0779,Mus,Unknown,21.13,1.744,,,,,79.40
D1,0754,Eimeria,Unknown,32.57,0.223,,,,,74.40
D2,0754,Eimeria,Unknown,32.38,0.223,,,,,74.70
D3,0754,Eimeria,Unknown,32.12,0.223,,,,,74.70
D4,0754,Mus,Unknown,28.28,1.826,,,,,79.40
D5,0754,Mus,Unknown,26.86,1.826,,,,,79.70
D6,0754,Mus,Unknown,24.66,1.826,,,,,79.90
D7,0835,Eimeria,Unknown,35.09,1.573,,,,,81.70
D8,0835,Eimeria,Unknown,34.59,1.573,,,,,83.00
D9,0835,Eimeria,Unknown,32.15,1.573,,,,,75.40
D10,0835,Mus,Unknown,23.78,1.600,,,,,79.70
D11,0835,Mus,Unknown,22.15,1.600,,,,,79.70
D12,0835,Mus,Unknown,20.58,1.600,,,,,79.40
E1,0807,Eimeria,Unknown,37.18,1.219,,,,,79.90
E2,0807,Eimeria,Unknown,34.87,1.219,,,,,79.90
E3,0807,Eimeria,Unknown,35.34,1.219,,,,,80.50
