Pos,Name,No. Tm SYBR,Tm x (°C) SYBR,Tm y (°C) SYBR,Mean SYBR,Dev. SYBR
A1,CEWE_AA_0327,1,78.6,,,
A2,CEWE_AA_0327,1,79.3,,,
A3,CEWE_AA_0327,1,80,,,
A4,CEWE_AA_0327,1,73.7,,,
A5,CEWE_AA_0327,1,74.1,,,
A6,CEWE_AA_0327,1,74.9,,,
A7,ILWE_AA_0327,1,80.3,,,
A8,ILWE_AA_0327,1,80.2,,,
A9,ILWE_AA_0327,1,80.3,,,
A10,ILWE_AA_0327,0,,,,
A11,ILWE_AA_0327,0,,,,
A12,ILWE_AA_0327,0,,,,
B1,CEWE_AA_0328,1,79.2,,,
B2,CEWE_AA_0328,1,79.3,,,
B3,CEWE_AA_0328,1,80.2,,,
B4,CEWE_AA_0328,1,73,,,
B5,CEWE_AA_0328,1,73.3,,,
B6,CEWE_AA_0328,1,74.2,,,
B7,ILWE_AA_0333,1,79.9,,,
B8,ILWE_AA_0333,1,79.8,,,
B9,ILWE_AA_0333,1,79.8,,,
B10,ILWE_AA_0333,0,,,,
B11,ILWE_AA_0333,0,,,,
B12,ILWE_AA_0333,0,,,,
C1,CEWE_AA_0333,1,80,,,
C2,CEWE_AA_0333,1,79.9,,,
C3,CEWE_AA_0333,0,,,,
C4,CEWE_AA_0333,0,,,,
C5,CEWE_AA_0333,0,,,,
C6,CEWE_AA_0333,0,,,,
C7,ILWE_AA_0328,1,79.6,,,
C8,ILWE_AA_0328,1,79.5,,,
C9,ILWE_AA_0328,1,79.5,,,
C10,ILWE_AA_0328,0,,,,
C11,ILWE_AA_0328,0,,,,
C12,ILWE_AA_0328,0,,,,
D1,CEWE_AA_0337,1,79.8,,,
D2,CEWE_AA_0337,1,79.7,,,
D3,CEWE_AA_0337,0,,,,
D4,CEWE_AA_0337,0,,,,
D5,CEWE_AA_0337,0,,,,
D6,CEWE_AA_0337,0,,,,
D7,ILWE_AA_0337,1,79.5,,,
D8,ILWE_AA_0337,1,79.4,,,
D9,ILWE_AA_0337,1,79.5,,,
D10,ILWE_AA_0337,0,,,,
D11,ILWE_AA_0337,1,73.8,,,
D12,ILWE_AA_0337,0,,,,
E1,CEWE_AA_0338,1,79.5,,,
E2,CEWE_AA_0338,1,79.5,,,
E3,CEWE_AA_0338,1,79.8,,,
E4,CEWE_AA_0338,0,,,,
E5,CEWE_AA_0338,0,,,,
E6,CEWE_AA_0338,0,,,,
E7,ILWE_AA_0338,1,79.4,,,
E8,ILWE_AA_0338,1,79.3,,,
E9,ILWE_AA_0338,1,79.5,,,
E10,ILWE_AA_0338,0,,,,
E11,ILWE_AA_0338,0,,,,
E12,ILWE_AA_0338,0,,,,
F1,CEWE_AA_0339,1,79.8,,,
F2,CEWE_AA_0339,1,79.8,,,
F3,CEWE_AA_0339,0,,,,
F4,CEWE_AA_0339,0,,,,
F5,CEWE_AA_0339,0,,,,
F6,CEWE_AA_0339,0,,,,
F7,ILWE_AA_0339,1,79,,,
F8,ILWE_AA_0339,1,79.2,,,
F9,ILWE_AA_0339,1,79.6,,,
F10,ILWE_AA_0339,0,,,,
F11,ILWE_AA_0339,0,,,,
F12,ILWE_AA_0339,0,,,,
G1,CEWE_AA_0340,1,79.8,,,
G2,CEWE_AA_0340,1,79.9,,,
G3,CEWE_AA_0340,1,80,,,
G4,CEWE_AA_0340,0,,,,
G5,CEWE_AA_0340,0,,,,
G6,CEWE_AA_0340,0,,,,
G7,ILWE_AA_0340,1,79.1,,,
G8,ILWE_AA_0340,1,79.2,,,
G9,ILWE_AA_0340,1,79.9,,,
G10,ILWE_AA_0340,0,,,,
G11,ILWE_AA_0340,0,,,,
G12,ILWE_AA_0340,0,,,,
H1,NTC,0,,,,
H2,NTC,0,,,,
H3,NTC,0,,,,
H4,NTC,0,,,,
H5,NTC,0,,,,
H6,NTC,0,,,,
H7,water,0,,,,
H8,water,0,,,,
H9,water,0,,,,
H10,water,0,,,,
H11,water,0,,,,
H12,water,0,,,,
,,,,,,
Analysis Parameters,,,,,,
Type of Application,Melting Curve,,,,,
Dye(s),SYBR,,,,,
Inverted Data,OFF,,,,,
