Pos,Name,Ct SYBR,Ct Mean SYBR,Ct Dev. SYBR,Amount SYBR [Copies],Amount Mean SYBR,Amount Dev. SYBR,Target SYBR
F1,CEWE_SK_2810,24.73,24.81,0.12,1,,,mouse
F2,CEWE_SK_2810,24.76,24.81,0.12,1,,,mouse
F3,CEWE_SK_2810,24.95,24.81,0.12,1,,,mouse
F4,CEWE_SK_2810,35.25,34.4,0.8,1,,,eimeria
F5,CEWE_SK_2810,33.67,34.4,0.8,1,,,eimeria
F6,CEWE_SK_2810,34.28,34.4,0.8,1,,,eimeria
G1,CEWE_SK_2811,21.62,27.03,9.27,1,,,mouse
G2,CEWE_SK_2811,21.73,27.03,9.27,1,,,mouse
G3,CEWE_SK_2811,37.73,27.03,9.27,1,,,mouse
G4,CEWE_SK_2811,32.87,32.46,0.5,1,,,eimeria
G5,CEWE_SK_2811,32.59,32.46,0.5,1,,,eimeria
G6,CEWE_SK_2811,31.91,32.46,0.5,1,,,eimeria
A7,CEWE_SK_2827,5.29,9.91,7.65,1,,,mouse
A8,CEWE_SK_2827,5.71,9.91,7.65,1,,,mouse
A9,CEWE_SK_2827,18.74,9.91,7.65,1,,,mouse
A10,CEWE_SK_2827,35.47,33.41,1.79,1,,,eimeria
A11,CEWE_SK_2827,32.46,33.41,1.79,1,,,eimeria
A12,CEWE_SK_2827,32.3,33.41,1.79,1,,,eimeria
B7,CEWE_SK_2829,22.88,22.61,0.24,1,,,mouse
B8,CEWE_SK_2829,22.48,22.61,0.24,1,,,mouse
B9,CEWE_SK_2829,22.46,22.61,0.24,1,,,mouse
B10,CEWE_SK_2829,,35.44,0.21,1,,,eimeria
B11,CEWE_SK_2829,35.58,35.44,0.21,1,,,eimeria
B12,CEWE_SK_2829,35.29,35.44,0.21,1,,,eimeria
A1,CEWE_SK_2969,23.08,23.12,0.05,1,,,mouse
A2,CEWE_SK_2969,23.1,23.12,0.05,1,,,mouse
A3,CEWE_SK_2969,23.18,23.12,0.05,1,,,mouse
A4,CEWE_SK_2969,35.68,34.8,0.77,1,,,eimeria
A5,CEWE_SK_2969,34.46,34.8,0.77,1,,,eimeria
A6,CEWE_SK_2969,34.25,34.8,0.77,1,,,eimeria
A7,CEWE_SK_2970,21.49,21.59,0.12,1,,,mouse
A8,CEWE_SK_2970,21.72,21.59,0.12,1,,,mouse
A9,CEWE_SK_2970,21.56,21.59,0.12,1,,,mouse
A10,CEWE_SK_2970,30.81,31.05,0.28,1,,,eimeria
