Pos,Name,No. Tm SYBR,Tm x (°C) SYBR,Tm y (°C) SYBR,Mean SYBR,Dev. SYBR
A1,CEWE_SK_3185,1,79.1,,,
A2,CEWE_SK_3185,1,79.7,,,
A3,CEWE_SK_3185,1,79.9,,,
A4,CEWE_SK_3185,0,,,,
A5,CEWE_SK_3185,0,,,,
A6,CEWE_SK_3185,0,,,,
A7,CEWE_SK_2827,1,80,,,
A8,CEWE_SK_2827,1,80.2,,,
A9,CEWE_SK_2827,1,80.2,,,
A10,CEWE_SK_2827,1,74.5,,,
A11,CEWE_SK_2827,0,,,,
A12,CEWE_SK_2827,0,,,,
B1,CEWE_SK_3186,1,79.2,,,
B2,CEWE_SK_3186,1,79.9,,,
B3,CEWE_SK_3186,1,80,,,
B4,CEWE_SK_3186,1,75.1,,,
B5,CEWE_SK_3186,1,75.3,,,
B6,CEWE_SK_3186,1,75.3,,,
B7,CEWE_SK_2829,1,79.5,,,
B8,CEWE_SK_2829,1,79.8,,,
B9,CEWE_SK_2829,1,80,,,
B10,CEWE_SK_2829,0,,,,
B11,CEWE_SK_2829,0,,,,
B12,CEWE_SK_2829,0,,,,
C1,CEWE_SK_3197,1,79.4,,,
C2,CEWE_SK_3197,1,79.9,,,
C3,CEWE_SK_3197,1,80,,,
C4,CEWE_SK_3197,1,75,,,
C5,CEWE_SK_3197,0,,,,
C6,CEWE_SK_3197,0,,,,
C7,CEWE_SK_3097,1,78.9,,,
C8,CEWE_SK_3097,1,79.6,,,
C9,CEWE_SK_3097,1,79.8,,,
C10,CEWE_SK_3097,0,,,,
C11,CEWE_SK_3097,0,,,,
C12,CEWE_SK_3097,0,,,,
D1,CEWE_SK_3205,1,79.3,,,
D2,CEWE_SK_3205,1,79.8,,,
D3,CEWE_SK_3205,1,79.9,,,
D4,CEWE_SK_3205,1,75.2,,,
D5,CEWE_SK_3205,1,75.2,,,
D6,CEWE_SK_3205,1,75.4,,,
D7,CEWE_SK_3126,1,79.2,,,
D8,CEWE_SK_3126,1,79.7,,,
D9,CEWE_SK_3126,1,79.8,,,
D10,CEWE_SK_3126,0,,,,
D11,CEWE_SK_3126,0,,,,
D12,CEWE_SK_3126,0,,,,
E1,CEWE_SK_3206,1,79.5,,,
E2,CEWE_SK_3206,1,79.8,,,
E3,CEWE_SK_3206,1,80,,,
E4,CEWE_SK_3206,0,,,,
E5,CEWE_SK_3206,0,,,,
E6,CEWE_SK_3206,0,,,,
E7,CEWE_SK_3128,1,79.2,,,
E8,CEWE_SK_3128,1,79.6,,,
E9,CEWE_SK_3128,1,79.8,,,
E10,CEWE_SK_3128,1,73,,,
E11,CEWE_SK_3128,1,74.3,,,
E12,CEWE_SK_3128,0,,,,
F1,CEWE_SK_2810,1,79.8,,,
F2,CEWE_SK_2810,1,80,,,
F3,CEWE_SK_2810,1,80.3,,,
F4,CEWE_SK_2810,0,,,,
F5,CEWE_SK_2810,0,,,,
F6,CEWE_SK_2810,0,,,,
F7,CEWE_SK_3131,1,79.3,,,
F8,CEWE_SK_3131,1,79.7,,,
F9,CEWE_SK_3131,1,79.8,,,
F10,CEWE_SK_3131,1,73.8,,,
F11,CEWE_SK_3131,1,74.7,,,
F12,CEWE_SK_3131,1,75.3,,,
G1,CEWE_SK_2811,1,79.9,,,
G2,CEWE_SK_2811,1,80.1,,,
G3,CEWE_SK_2811,0,,,,
G4,CEWE_SK_2811,0,,,,
G5,CEWE_SK_2811,0,,,,
G6,CEWE_SK_2811,0,,,,
G7,CEWE_SK_3137,1,79.2,,,
G8,CEWE_SK_3137,1,79.6,,,
G9,CEWE_SK_3137,1,79.7,,,
G10,CEWE_SK_3137,0,,,,
G11,CEWE_SK_3137,0,,,,
G12,CEWE_SK_3137,0,,,,
H1,NTC,0,,,,
H2,NTC,0,,,,
H3,NTC,0,,,,
H4,NTC,0,,,,
H5,NTC,0,,,,
H6,NTC,0,,,,
H7,water,0,,,,
H8,water,0,,,,
H9,water,0,,,,
H10,water,0,,,,
H11,water,0,,,,
H12,water,0,,,,
,,,,,,
Analysis Parameters,,,,,,
Type of Application,Melting Curve,,,,,
Dye(s),SYBR,,,,,
Inverted Data,OFF,,,,,
