Pos,Name,No. Tm SYBR,Tm x (°C) SYBR,Tm y (°C) SYBR,Mean SYBR,Dev. SYBR
A1,CEWE_SK_3025,1,80,,,
A2,CEWE_SK_3025,1,79.9,,,
A3,CEWE_SK_3025,1,79.8,,,
A4,CEWE_SK_3025,1,74.3,,,
A5,CEWE_SK_3025,1,74.6,,,
A6,CEWE_SK_3025,1,74.6,,,
A7,CEWE_SK_3026,1,79.7,,,
A8,CEWE_SK_3026,1,79.6,,,
A9,CEWE_SK_3026,1,79.6,,,
A10,CEWE_SK_3026,0,,,,
A11,CEWE_SK_3026,1,74.2,,,
A12,CEWE_SK_3026,0,,,,
B1,CEWE_SK_3027,0,,,,
B2,CEWE_SK_3027,0,,,,
B3,CEWE_SK_3027,0,,,,
B4,CEWE_SK_3027,1,74.2,,,
B5,CEWE_SK_3027,1,74.5,,,
B6,CEWE_SK_3027,1,74.5,,,
B7,CEWE_SK_3028,1,79.2,,,
B8,CEWE_SK_3028,1,79.1,,,
B9,CEWE_SK_3028,1,79.2,,,
B10,CEWE_SK_3028,1,73.8,,,
B11,CEWE_SK_3028,1,74.2,,,
B12,CEWE_SK_3028,1,74.5,,,
C1,CEWE_SK_3029,1,79.8,,,
C2,CEWE_SK_3029,1,79.8,,,
C3,CEWE_SK_3029,1,79.8,,,
C4,CEWE_SK_3029,0,,,,
C5,CEWE_SK_3029,0,,,,
C6,CEWE_SK_3029,0,,,,
C7,CEWE_SK_3030,1,78.6,,,
C8,CEWE_SK_3030,1,78.4,,,
C9,CEWE_SK_3030,1,78.7,,,
C10,CEWE_SK_3030,0,,,,
C11,CEWE_SK_3030,0,,,,
C12,CEWE_SK_3030,0,,,,
D1,CEWE_SK_3031,1,79.8,,,
D2,CEWE_SK_3031,1,79.8,,,
D3,CEWE_SK_3031,1,79.9,,,
D4,CEWE_SK_3031,0,,,,
D5,CEWE_SK_3031,1,74.1,,,
D6,CEWE_SK_3031,0,,,,
D7,CEWE_SK_3032,1,79.4,,,
D8,CEWE_SK_3032,1,79.3,,,
D9,CEWE_SK_3032,1,79.3,,,
D10,CEWE_SK_3032,0,,,,
D11,CEWE_SK_3032,0,,,,
D12,CEWE_SK_3032,0,,,,
E1,CEWE_SK_3033,1,80,,,
E2,CEWE_SK_3033,1,79.9,,,
E3,CEWE_SK_3033,0,,,,
E4,CEWE_SK_3033,1,73.4,,,
E5,CEWE_SK_3033,1,73.8,,,
E6,CEWE_SK_3033,1,74.1,,,
E7,CEWE_SK_3034,1,79.7,,,
E8,CEWE_SK_3034,1,79.7,,,
E9,CEWE_SK_3034,1,79.6,,,
E10,CEWE_SK_3034,1,74.2,,,
E11,CEWE_SK_3034,0,,,,
E12,CEWE_SK_3034,0,,,,
F1,CEWE_SK_3035,1,79.9,,,
F2,CEWE_SK_3035,1,79.9,,,
F3,CEWE_SK_3035,1,79.9,,,
F4,CEWE_SK_3035,1,74.4,,,
F5,CEWE_SK_3035,1,74.7,,,
F6,CEWE_SK_3035,1,74.9,,,
F7,CEWE_SK_3038,1,79.8,,,
F8,CEWE_SK_3038,1,79.8,,,
F9,CEWE_SK_3038,1,79.7,,,
F10,CEWE_SK_3038,0,,,,
F11,CEWE_SK_3038,0,,,,
F12,CEWE_SK_3038,0,,,,
G1,CEWE_SK_3039,0,,,,
G2,CEWE_SK_3039,0,,,,
G3,CEWE_SK_3039,0,,,,
G4,CEWE_SK_3039,0,,,,
G5,CEWE_SK_3039,0,,,,
G6,CEWE_SK_3039,0,,,,
G7,CEWE_SK_3041,1,80,,,
G8,CEWE_SK_3041,1,79.9,,,
G9,CEWE_SK_3041,1,79.8,,,
G10,CEWE_SK_3041,1,75.3,,,
G11,CEWE_SK_3041,0,,,,
G12,CEWE_SK_3041,0,,,,
H1,NTC,0,,,,
H2,NTC,0,,,,
H3,NTC,0,,,,
H4,NTC,0,,,,
H5,NTC,0,,,,
H6,NTC,0,,,,
H7,water,0,,,,
H8,water,0,,,,
H9,water,0,,,,
H10,water,0,,,,
H11,water,0,,,,
H12,water,0,,,,
,,,,,,
Analysis Parameters,,,,,,
Type of Application,Melting Curve,,,,,
Dye(s),SYBR,,,,,
Inverted Data,OFF,,,,,
