"X","PIN","Transect","Code","Sex","X_Longit","Y_Latit","Year","mtBamH","YNPAR","X332","X347","X65","Tsx","Btk","Syap1","Es1","Gpd1","Idh1","Mpi","Np","Sod1","Es1C","Gpd1C","Idh1C","MpiC","NpC","Sod1C","ith","HI_NLoci","HI"
392,"AA_0439","HZ_BR","AHR19","M",14.0756,52.1736,2017,"d","m","m","m","m","","d","m","100","95","125","100/120","90/100","100","mm","mm","mm","dm","dm","dd",1,"HI 13",0.684210526315789
3710,"SK3105","HZ_BR","ALBER4","F",13.4542,53.1478,2015,"m","","mm","mm","mm","dd","mm","mm","100","95","125","120","90/100","80","mm","mm","mm","mm","dm","mm",9,"HI 13",0.88
250,"AA_0296","HZ_BR","ALTG26","M",14.0953,52.7383,2017,"d","m","m","m","m","m","m","m","100","95","125","120","70/90","80","mm","mm","mm","mm","mm","mm",10,"HI 14",0.95
253,"AA_0299","HZ_BR","ALTG26","M",14.0953,52.7383,2017,"d","m","m","m","","m","m","m","100","95","125","120","70/100","80","mm","mm","mm","mm","dm","mm",11,"HI 13",0.894736842105263
252,"AA_0298","HZ_BR","ALTG26","F",14.0953,52.7383,2017,"m","","mm","mm","mm","mm","mm","mm","100","95","100","120","100","100","mm","mm","dd","mm","dd","dd",12,"HI 13",0.76
255,"AA_0301","HZ_BR","ALTG26","F",14.0953,52.7383,2017,"m","","mm","mm","mm","dm","mm","","94","95","125","120","100","80","dd","mm","mm","mm","dd","mm",13,"HI 12",0.782608695652174
266,"AA_0310","HZ_BR","ALTG26","F",14.0953,52.7383,2017,"m","","mm","mm","mm","dm","dm","mm","100","95","125","100","70","80/100","mm","mm","mm","dd","mm","dm",14,"HI 13",0.8
267,"AA_0311","HZ_BR","ALTG26","F",14.0953,52.7383,2017,"m","","mm","mm","mm","dd","mm","mm","100","95","125","120","70/100","80","mm","mm","mm","mm","dm","mm",15,"HI 13",0.88
268,"AA_0312","HZ_BR","ALTG26","F",14.0953,52.7383,2017,"m","","mm","mm","mm","mm","mm","mm","100","95","125","120","70/100","80","mm","mm","mm","mm","dm","mm",16,"HI 13",0.96
3559,"SK2930","HZ_BR","ALTHU7","M",13.8089,52.9625,2014,"m","m","m","m","m","m","m","m","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",17,"HI 14",1
3560,"SK2931","HZ_BR","ALTHU7","M",13.8089,52.9625,2014,"m","m","m","m","m","d","m","m","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",18,"HI 14",0.95
3563,"SK2934","HZ_BR","ALTHU7","M",13.8089,52.9625,2014,"m","m","m","m","m","d","m","m","100","95","125","120","70/90","80","mm","mm","mm","mm","mm","mm",19,"HI 14",0.95
3533,"SK2900","HZ_BR","ALTHU7","F",13.8089,52.9625,2014,"m","","mm","mm","mm","mm","mm","mm","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",20,"HI 13",1
3562,"SK2933","HZ_BR","ALTHU7","F",13.8089,52.9625,2014,"m","","mm","mm","mm","mm","mm","mm","100","95","125","120","70/90","80","mm","mm","mm","mm","mm","mm",21,"HI 13",1
82,"AA_0128","HZ_BR","ALTLU","M",13.1869,53.0386,2016,"d","d","d","","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",22,"HI 13",0
3700,"SK3095","HZ_BR","ALTM29","M",14.1625,52.7508,2015,"d","m","m","m","m","m","d","m","100","95","125","120","90/100","80","mm","mm","mm","mm","dm","mm",23,"HI 14",0.85
3701,"SK3096","HZ_BR","ALTR39","M",14.0817,52.7667,2015,"d","m","m","m","m","m","m","m","100","95","125","120","70/90","100","mm","mm","mm","mm","mm","dd",32,"HI 14",0.85
3953,"SK3358","HZ_BR","ALTR39","M",14.0817,52.7667,2015,"m","","m","m","m","m","m","m","100","95","125","120","70","80","mm","mm","mm","mm","mm","mm",33,"HI 13",1
293,"AA_0337","HZ_BR","ALTR39","F",14.0817,52.7667,2017,"m","","mm","mm","mm","dd","mm","mm","","95","125","120","70","80","","mm","mm","mm","mm","mm",34,"HI 12",0.91304347826087
150,"AA_0196","HZ_BR","ALTTH23","M",13.1633,53.2397,2016,"d","m","m","m","m","d","m","m","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",35,"HI 14",0.9
154,"AA_0200","HZ_BR","ALTTH23","M",13.1633,53.2397,2016,"d","m","m","m","m","d","m","m","100","95","125","120","90/100","80","mm","mm","mm","mm","dm","mm",36,"HI 14",0.85
156,"AA_0202","HZ_BR","ALTTH23","M",13.1633,53.2397,2016,"d","m","m","m","m","m","m","m","100","95","125","120","70/90","80","mm","mm","mm","mm","mm","mm",37,"HI 14",0.95
158,"AA_0204","HZ_BR","ALTTH23","M",13.1633,53.2397,2016,"d","m","m","m","m","d","m","m","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",38,"HI 14",0.9
160,"AA_0206","HZ_BR","ALTTH23","M",13.1633,53.2397,2016,"d","m","m","m","m","d","m","m","100","95","125","120","90/100","80","mm","mm","mm","mm","dm","mm",39,"HI 14",0.85
153,"AA_0199","HZ_BR","ALTTH23","F",13.1633,53.2397,2016,"d","","mm","mm","mm","dd","dm","mm","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",40,"HI 13",0.84
155,"AA_0201","HZ_BR","ALTTH23","F",13.1633,53.2397,2016,"d","","mm","mm","mm","mm","mm","mm","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",41,"HI 13",0.96
3802,"SK3193","HZ_BR","ALTTH26","F",13.1647,53.24,2015,"d","","mm","mm","mm","dd","dm","dm","100","95","125","120","70","100","mm","mm","mm","mm","mm","dd",42,"HI 13",0.72
152,"AA_0198","HZ_BR","AMRO1","M",13.4497,53.0947,2016,"","m","m","m","m","m","m","m","100","95","125","120","100","100","mm","mm","mm","mm","dd","dd",43,"HI 13",0.789473684210526
31,"AA_0077","HZ_BR","AMTO4","F",13.5883,52.2156,2016,"d","","dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",44,"HI 13",0
32,"AA_0078","HZ_BR","AMTO4","F",13.5883,52.2156,2016,"d","","dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",45,"HI 13",0
3696,"SK3091","HZ_BR","BADFR45","M",14.066,52.773,2015,"d","m","m","m","m","m","m","m","","95","125","120","90","80","","mm","mm","mm","mm","mm",113,"HI 13",0.944444444444444
3952,"SK3357","HZ_BR","BADFR45","M",14.066,52.773,2015,"d","","m","m","m","m","m","m","100","95","125","120","100","100","mm","mm","mm","mm","dd","dd",114,"HI 13",0.736842105263158
4679,"SK884","HZ_BR","BEBE","M",11.9878,52.8197,2010,"d","d","d","d","d","d","d","d","","","","","","","","","","","","",130,"HI 8",0
4680,"SK885","HZ_BR","BEBE","F",11.9878,52.8197,2010,"d","","dd","dd","dd","","dd","dd","94","100","","100","100","100","dd","dd","","dd","dd","dd",131,"HI 11",0
4681,"SK886","HZ_BR","BEBE","F",11.9878,52.8197,2010,"d","","dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",132,"HI 13",0
4682,"SK887","HZ_BR","BEBE","F",11.9878,52.8197,2010,"d","","dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",133,"HI 13",0
4683,"SK888","HZ_BR","BEBE","F",11.9878,52.8197,2010,"d","","dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",134,"HI 13",0
93,"AA_0139","HZ_BR","BEER10","M",14.0403,52.4317,2016,"d","m","m","d","m","d","m","m","100","95","125","120","70","80","mm","mm","mm","mm","mm","mm",135,"HI 14",0.85
3470,"SK2836","HZ_BR","BEETZD","M",13.0161,52.8136,2014,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",136,"HI 14",0
3471,"SK2837","HZ_BR","BEETZD","F",13.0161,52.8136,2014,"d","","dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",137,"HI 13",0
3472,"SK2838","HZ_BR","BEETZD","F",13.0161,52.8136,2014,"d","","dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",138,"HI 13",0
3806,"SK3197","HZ_BR","BEETZL","M",13.0208,52.8186,2015,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",139,"HI 14",0
4451,"SK4058","HZ_BR","BEETZL","M",13.0208,52.8186,2017,"","d","","d","d","","d","","94","100","100","100","90","80","dd","dd","dd","dd","mm","mm",140,"HI 10",0.25
3805,"SK3196","HZ_BR","BEETZL","F",13.0208,52.8186,2015,"d","","dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",141,"HI 13",0
3807,"SK3198","HZ_BR","BEETZL","F",13.0208,52.8186,2015,"d","","dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",142,"HI 13",0
4452,"SK4059","HZ_BR","BEETZL","F",13.0208,52.8186,2017,"d","","","dd","dd","","dd","dd","94","100","100","100","90","100","dd","dd","dd","dd","mm","dd",143,"HI 11",0.0952380952380952
4453,"SK4060","HZ_BR","BEETZL","F",13.0208,52.8186,2017,"","","","dd","dd","","dd","dd","94","100","100","100","90","80","dd","dd","dd","dd","mm","mm",144,"HI 10",0.2
319,"AA_0363","HZ_BR","BERGH2","M",13.8975,52.2761,2017,"d","m","m","d","d","d","d","d","94","95/100","100","100/120","100","100","dd","dm","dd","dm","dd","dd",238,"HI 14",0.2
334,"AA_0378","HZ_BR","BERGH2","M",13.8975,52.2761,2017,"d","m","m","d","","d","d","d","94","100","100","100","100","80/100","dd","dd","dd","dd","dd","dm",239,"HI 13",0.157894736842105
335,"AA_0379","HZ_BR","BERGH2","M",13.8975,52.2761,2017,"d","m","m","d","m","d","d","d","94","100","100","100/120","100","80","dd","dd","dd","dm","dd","mm",240,"HI 14",0.3
337,"AA_0381","HZ_BR","BERGH2","M",13.8975,52.2761,2017,"d","m","m","d","m","d","d","d","94","95/100","100","100/120","90","100","dd","dm","dd","dm","mm","dd",241,"HI 14",0.35
339,"AA_0383","HZ_BR","BERGH2","M",13.8975,52.2761,2017,"d","m","m","d","","d","d","d","100","95","100","100","100","80","mm","mm","dd","dd","dd","mm",242,"HI 13",0.421052631578947
341,"AA_0385","HZ_BR","BERGH2","M",13.8975,52.2761,2017,"d","m","m","d","d","d","d","d","100","95/100","100","100","100","80","mm","dm","dd","dd","dd","mm",243,"HI 14",0.35
342,"AA_0386","HZ_BR","BERGH2","M",13.8975,52.2761,2017,"d","m","m","d","m","d","d","d","100","95/100","100","100","100","80","mm","dm","dd","dd","dd","mm",244,"HI 14",0.4
346,"AA_0390","HZ_BR","BERGH2","M",13.8975,52.2761,2017,"d","m","m","d","d","d","d","d","94","95/100","100","100","100","80","dd","dm","dd","dd","dd","mm",245,"HI 14",0.25
320,"AA_0364","HZ_BR","BERGH2","F",13.8975,52.2761,2017,"d","","dd","dd","dd","dm","dd","dd","94","95/100","100/125","100","100","80","dd","dm","dm","dd","dd","mm",246,"HI 13",0.2
329,"AA_0373","HZ_BR","BERGH2","F",13.8975,52.2761,2017,"d","","mm","dd","dd","dd","dd","dd","94","95","100","100/120","100","100","dd","mm","dd","dm","dd","dd",247,"HI 13",0.2
333,"AA_0377","HZ_BR","BERGH2","F",13.8975,52.2761,2017,"d","","mm","dd","dd","dm","dd","dd","94","95/100","100","100","90","80/100","dd","dm","dd","dd","mm","dm",248,"HI 13",0.28
338,"AA_0382","HZ_BR","BERGH2","F",13.8975,52.2761,2017,"d","","mm","dd","mm","dd","dd","dd","100","95/100","100/125","100","90/100","80","mm","dm","dm","dd","dm","mm",249,"HI 13",0.44
340,"AA_0384","HZ_BR","BERGH2","F",13.8975,52.2761,2017,"d","","mm","dd","dd","dd","dd","dd","100","95","100","100","100","100","mm","mm","dd","dd","dd","dd",250,"HI 13",0.24
343,"AA_0387","HZ_BR","BERGH2","F",13.8975,52.2761,2017,"d","","mm","dd","mm","dd","dd","dd","94","95","100","100","100","80","dd","mm","dd","dd","dd","mm",251,"HI 13",0.32
368,"AA_0414","HZ_BR","BERGH2","F",13.8975,52.2761,2017,"d","","mm","dd","dd","dd","dd","dd","94","95","100","100/120","100","80","dd","mm","dd","dm","dd","mm",252,"HI 13",0.28
3808,"SK3199","HZ_BR","BESTE6","M",13.6025,52.2225,2015,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",253,"HI 14",0
3809,"SK3200","HZ_BR","BESTE6","M",13.6025,52.2225,2015,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",254,"HI 14",0
3813,"SK3204","HZ_BR","BESTE6","M",13.6025,52.2225,2015,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",255,"HI 14",0
199,"AA_0245","HZ_BR","BESTE6","M",13.6025,52.2225,2017,"d","d","d","d","d","d","d","d","94","100","100","100","90","100","dd","dd","dd","dd","mm","dd",256,"HI 14",0.1
201,"AA_0247","HZ_BR","BESTE6","M",13.6025,52.2225,2017,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",257,"HI 14",0
203,"AA_0249","HZ_BR","BESTE6","M",13.6025,52.2225,2017,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",258,"HI 14",0
204,"AA_0250","HZ_BR","BESTE6","M",13.6025,52.2225,2017,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",259,"HI 14",0
206,"AA_0252","HZ_BR","BESTE6","M",13.6025,52.2225,2017,"d","d","d","m","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",260,"HI 14",0.05
211,"AA_0257","HZ_BR","BESTE6","M",13.6025,52.2225,2017,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",261,"HI 14",0
3810,"SK3201","HZ_BR","BESTE6","F",13.6025,52.2225,2015,"d","","dd","dd","dd","dd","dd","dd","100","100","100","100","100","100","mm","dd","dd","dd","dd","dd",262,"HI 13",0.08
