Transect,Continent,State,Country,Locality,Code,NDeg,NMin,NSec,EDeg,EMin,ESec,Latitude,Longitude,Who,,
HZ_BR,Europe,Germany,Brandenburg,Althüttendorf,AHDF7,52,57,45,13,48,32,"52° 57' 45""","13° 48' 32""",EH,"Zu den Ihlowbergen 7, Althüttendorf",
HZ_BR,Europe,Germany,Brandenburg,Beetz,BEETZ,52,48,49,13,0,58,"52° 48' 49""","13° 0' 58""",OG,"Beetzer Dorfstrasse 125, 16766 Kremmen",
HZ_BR,Europe,Germany,Brandenburg,Böckenberg,BOECK,53,7,60,13,45,18,"53° 7' 60""","13° 45' 18""",EH,Getreideverarbeitung,
HZ_BR,Europe,Germany,Brandenburg,Brunn,BRUNN3,52,54,31,12,31,37,"52° 54' 31""","12° 31' 37""",OG,"Heilbrunner Strasse 3, 16845 Wusterhausen",
HZ_BR,Europe,Germany,Brandenburg,Danewitz,DANE22,52,44,2,13,39,59,"52° 44' 2""","13° 39' 59""",EF,"Hofladen, Dorfstrasse 22, 16359 Biesenthal",
HZ_BR,Europe,Germany,Brandenburg,Flieth,FLIE28,53,9,40,13,48,55,"53° 9' 40""","13° 48' 55""",EH,"Artemis e.V.i.G., Suckower Strasse 28, 17268 Flieth-Steglitz",
HZ_BR,Europe,Germany,Brandenburg,Friedrichsfelde 11,FRFE11,53,5,39,13,50,36,"53° 5' 39""","13° 50' 36""",EH,"Lehrschäferei, Friedrichsfelder Strasse 11, 16278 Angermünde",
HZ_BR,Europe,Germany,Brandenburg,Hammer,HAMM,52,52,48,13,26,21,"52° 52' 48""","13° 26' 21""",JF,"Mittelweg 1, 16559 Leibenwalde",
HZ_BR,Europe,Germany,Brandenburg,Hohenwutzen 30,HOWZ30,52,50,12,14,7,8,"52° 50' 12""","14° 7' 8""",JF,"Neuglietzenerstrasse 30, 16259 Bad Freienwalde",
HZ_BR,Europe,Germany,Brandenburg,Joachimstahl,JOACH,52,58,44,13,43,58,"52° 58' 44""","13° 43' 58""",,"Zehdenicker Str. 11, 16247 Joachimsthal",
HZ_BR,Europe,Germany,Brandenburg,Liebenthal,LIEB38,52,54,56,13,27,49,"52° 54' 56""","13° 27' 49""",JF,"Dorfallee 38, Liebenthal, Liebenwalde",
HZ_BR,Europe,Germany,Brandenburg,Lietzow,LIET21,52,37,1,12,50,9,"52° 37' 1""","12° 50' 9""",OG,"Semmelweg 21, 14641 Nauen",
HZ_BR,Europe,Germany,Berlin,Lübars,LUEB21,52,37,16,13,21,28,"52° 37' 16""","13° 21' 28""",OG,"Pferdehof, Alt-Lübars 21, Lübars, Berlin, Germany",
HZ_BR,Europe,Germany,Brandenburg,Neu-Temmen,NETEM7,53,5,12,13,46,32,"53° 5' 12""","13° 46' 32""",EH,"Neu-Temmen 7, 17268 Temmen Ringeswalde",
HZ_BR,Europe,Germany,Brandenburg,Neugaul,NEUG21,52,45,17,14,7,14,"52° 45' 17""","14° 7' 14""",EF,"Neugaul 21, 16269 Wriezen",
HZ_BR,Europe,Germany,Brandenburg,Neulöwenberg,NEULO9,52,54,3,13,11,50,"52° 54' 3""","13° 11' 50""",,"Häsener Weg 9, 16775 Löwenberger Land",
HZ_BR,Europe,Germany,Brandenburg,Neurüdnitz,NEUR14,52,47,29,14,10,57,"52° 47' 23""","14° 10' 56""",EF,"Neurüdnitz 14, Oderaue",
HZ_BR,Europe,Germany,Brandenburg,Pausien,PAUS,52,38,14,13,2,41,"52° 38' 14""","13° 2' 41""",OG,"Am Anger 12, 14621 Schönwalde-Glien",
HZ_BR,Europe,Germany,Brandenburg,Rüdnitz 21,RUDN21,52,43,1,13,38,24,"52° 43' 1""","13° 38' 24""",,"Reitanlage, Bahnhofstrasse 21, 16321 Rüdnitz, building on the opposite side of the farm",
HZ_BR,Europe,Germany,Brandenburg,Schmachtenhagen,SCHM1,52,47,19,13,20,42,"52° 47' 19""","13° 20' 42""",OG,"Schmachtenhagen, Ausbau Siedlung 1, 16515 Oranienburg / OT Zehlendorf",
HZ_BR,Europe,Germany,Brandenburg,Staffelde,STAFF,52,43,47,12,59,33,"52° 43' 47""","12° 59' 33""",OG,"Nauener Chaussee 23, 16766 Kremmen",
HZ_BR,Europe,Germany,Brandenburg,Stegelitz,STEG1,53,7,36,13,50,36,"49° 52' 57""","11° 43' 12""",EH,Fredenwalder Weg 1,
HZ_BR,Europe,Germany,Brandenburg,Temmen,TEMM,53,5,48,13,45,20,"53° 5' 48""","13° 45' 20""",EH,Lindenallee,
HZ_BR,Europe,Germany,Brandenburg,Tempelfelde,TEMP8c,52,42,40,13,43,20,"52° 42' 40""","13° 43' 20""",EF,"Milchhof Tempelfelde KG, Kastanienstrasse 8c, Sydower Fliess",
HZ_BR,Europe,Germany,Brandenburg,Zäckericker Loose,ZACK20,52,47,18,14,14,27,"52° 47' 18""","14° 14' 27""",EF,"Zollbrücke 20, 16259 Oderaue",
HZ_BR,Europe,Germany,Brandenburg,Zehlendorf 1,ZEHL1,52,47,49,13,23,58,"52° 47' 49""","13° 23' 58""",OG,"Rehmater Weg 1, Zehlendorf, Oranienburg",
HZ_BR,Europe,Germany,Brandenburg,Zehlendorf 21a,ZEHL21,52,46,31,13,23,16,"52° 46' 31""","13° 23' 16""",OG,"Wensickendorfer Str. 21a, 16515 Oranienburg",
HZ_CZ,Europe,Czechia,Pilsen Region,Bezvěrov1,BEZ1,49,59,40,13,3,14,"49° 59' 40""","13° 3' 14""",TnT,"small house where mr. Hutník keep horses, avalilable aftrenoon",
HZ_CZ,Europe,Czechia,Pilsen Region,Bezvěrov2,BEZ2,49,59,39,13,3,11,"49° 59' 39""","13° 3' 11""",TnT,"Mr. Turek, a neighbor of Hutník",
HZ_CZ,Europe,Czechia,Pilsen Region,Blažim 39,BLAZI,49,55,1,13,2,56,"49° 55' 1""","13° 2' 56""",TnT,"private house with chickens and rabits, house n.39",
HZ_CZ,Europe,Czechia,Ústí nad Labem Region,Buškovice2,BUS2,50,13,18,13,22,27,"50° 13' 18""","13° 22' 27""",TnT,traditional abanded farm transformed recently to phesant farm,
HZ_CZ,Europe,Czechia,Karlovy Vary Region,Chlum Svaté Máří1,CHL1,50,9,6,12,31,55,"50° 9' 6""","12° 31' 55""",LD,house of the recently elected mayor Mr. Hruza who does not want to be asociated with mice,http://mapy.cz/s/dS8u 
HZ_CZ,Europe,Czechia,Karlovy Vary Region,Chlum Svaté Máří 161,CHL161,50,9,5,12,31,51,"50° 9' 5""","12° 31' 51""",LD,"Mrs. Birklová, house no 161, goat",http://mapy.cz/s/dS8u
HZ_CZ,Europe,Czechia,Karlovy Vary Region,Chotíkov 1,CHOT1,50,7,9,12,30,21,"50° 7' 9""","12° 30' 21""",LD,private house n 1. family Farovy,
HZ_CZ,Europe,Czechia,Karlovy Vary Region,Dolní Dvory,DODV,50,5,0,12,25,14,"50° 5' 0""","12° 25' 14""",LD,big farm and halls close to Cheb & Ronak,
HZ_CZ,Europe,Germany,Bavaria,Hohenberg 1,HOHBG1,50,6,7,12,12,46,"50° 6' 7""","12° 12' 46""",AY,"Pfeiffermühle complex of houses with grain storage, remember mouse hunters, GPS directly there, adjacent to village",
HZ_CZ,Europe,Czechia,Karlovy Vary Region,Hůrka3,HUR3,50,7,11,12,15,1,"50° 7' 11""","12° 15' 1""",,Cow house just above Hurka1,http://www.mapy.cz/#mm=TtTcFP@ax=128110304@ay=136178240@at=H%C5%AFrka3@ad=Krav%C3%ADn@x=128115552@y=136175712@z=15 
HZ_CZ,Europe,Czechia,Karlovy Vary Region,Jindřichov 31,JIND31,50,6,21,12,23,51,"50° 6' 21""","12° 23' 51""",LD,"Mr. Marek, house number 31",
HZ_CZ,Europe,Czechia,Karlovy Vary Region,Jindřichov 5,JIND5,50,6,24,12,23,56,"50° 6' 24""","12° 23' 56""",LD,"House No 5, Mr. Novotný (737 482 957)",
HZ_CZ,Europe,Czechia,Karlovy Vary Region,Josefov 20,JOSE,50,12,41,12,34,47,"50° 12' 41""","12° 34' 47""",LD,"private house n.20, old man with rabits is dead, son keep some animals and let us in",http://www.mapy.cz/zakladni?vlastni-body&x=12.5795696&y=50.2117037&z=16&ut=JOSE&uc=9coBjxYhZZ&ud=Josefov%2020%2C%20Josefov%2C%20okres%20Sokolov 
HZ_CZ,Europe,Czechia,Karlovy Vary Region,Kaceřov2,KAC2,50,8,56,12,30,24,"50° 8' 56""","12° 30' 24""",LD,"Autopark of farm - tractors, metal hangars with paper tubes and grains",
HZ_CZ,Europe,Czechia,Karlovy Vary Region,Kozlov,KOZL,50,6,30,13,1,57,"50° 6' 30""","13° 1' 57""",TnT,"Farm away from the willage, chief Helebrant, barns with grain, garage and changing room, owner sick in 2014 phone 603840468",
HZ_CZ,Europe,Czechia,Pilsen Region,Krasíkov,KRASIK,49,52,52,12,56,6,"49° 52' 52""","12° 56' 6""",TnT,"Something like private zoo + castle/church and that is all, no real village, was an ecofarm",
HZ_CZ,Europe,Czechia,Karlovy Vary Region,Křižovatka1,KRIZ1,50,11,51,12,23,22,"50° 11' 51""","12° 23' 22""",LD,cow house,
HZ_CZ,Europe,Czechia,Karlovy Vary Region,Křižovatka 60,KRIZ60,50,11,38,12,23,36,"50° 11' 38""","12° 23' 36""",,Kitchen for public community,
HZ_CZ,Europe,Czechia,Karlovy Vary Region,Křižovatka silo,KRIZS,50,11,38,12,23,42,"50° 11' 38""","12° 23' 42""",LD,Silo,
