"","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IL17A_CD4","IFNy_CD8","Mouse_ID","Position"
"1",20,6.81,33.6,15.8,15.9,31.9,5.7,8.26,11.1,27.9,21.3,12.7,1.92,12,"AA_0681","mLN"
"2",27.7,5.82,24.9,2.4,11,41.3,0.43,12.8,15,26.7,22,4.78,1.16,4.7,"AA_0682","mLN"
"3",33.6,9.83,25.5,4.09,10.6,34,1.93,6.25,17.5,23.9,15.8,3.12,1.78,11.1,"AA_0683","mLN"
"4",27.5,4.35,21.6,3.59,8.48,24.9,0.7,8.46,24.1,21.3,16.1,4.6,0.43,16.7,"AA_0684","mLN"
"5",23.5,3.2,12.5,0,6.55,26.7,1.31,0,21.6,15.7,40.7,18,1.12,21.8,"AA_0685","mLN"
"6",42.9,5.07,34.1,2.83,1.75,41.9,0.6,12.4,20.3,11.7,14.9,0.45,0.24,5.8,"AA_0686","mLN"
"7",42,4,18.5,1.53,3.6,33.3,0.62,11.5,17.5,10,26.2,0.69,0.6,1.43,"AA_0687","mLN"
"8",35.1,6.57,19.5,2.59,5.87,27.2,0.63,12.8,21,12.1,20.9,0.99,0.9,2.57,"AA_0688","mLN"
"9",27.4,5.78,22.1,5.19,9.75,30.9,0.4,12,26,29.3,19.5,1.7,4.58,8.12,"AA_0689","mLN"
"10",35.1,5.53,25.1,3.79,6.87,44.2,0.37,15.1,19.9,31,20.8,1.32,1.66,20.9,"AA_0690","mLN"
"11",36.4,4.81,21.5,3.63,4.08,41.4,0.82,1.67,17,6,26.4,2.06,2.14,2.45,"AA_0691","mLN"
"12",36.6,5.22,25,9.77,1.69,44.1,1.85,5.91,27.1,14.2,13.5,3.31,0.5,1.59,"AA_0692","mLN"
"13",36.7,5.8,30.9,4.49,6.69,29.1,1.3,7.51,22.8,27.7,27.2,2.34,3.15,4.88,"AA_0693","mLN"
"14",24.5,5.58,30.7,3.13,7.35,34,0.74,14.2,12,17.1,36.3,1.08,2.15,5.25,"AA_0694","mLN"
"15",20.7,8.16,30.4,7.18,7.26,26.2,1.54,3.33,12.1,17,30.7,11.4,26.7,5.88,"AA_0695","mLN"
"16",28.6,6.37,35.1,2.76,8.25,51.2,0.9,10.2,15.2,21.1,36.7,1.53,1.63,7.68,"AA_0696","mLN"
"17",47.6,8.25,11.4,4.78,2.01,21.1,1.86,5.02,17.5,9.58,10.9,4.99,11.1,0.55,"AA_0697","mLN"
"18",47.2,6.45,47.9,9.13,3.11,31.2,2.79,8.7,14.7,14.6,10.2,9.71,1.71,4.4,"AA_0698","mLN"
"19",16,1.42,33.3,33.3,34.8,10,62.7,1.59,6.45,15.2,80,10.8,6.67,0,"AA_0699","mLN"
"20",24.8,6.64,31,4.43,5.54,56.4,2.62,15,13,16.5,40.4,1.58,1.87,2,"AA_0700","mLN"
"21",53,4.94,27.8,6.94,2.89,54.3,2.33,12,16,28.1,17.3,3.27,4.73,2.63,"AA_0701","mLN"
"22",48.5,4.92,21.6,4.26,1.04,27.5,1.48,9.18,18.3,10.5,13.6,12.5,3.65,25,"AA_0702","mLN"
