Area,Address,Latitude,Longitude,Trap_set_date,Trap_set_time,Trap_number,Trap_collect_date,Trap_collect_time,Rodents_caught,Mus_caught
D,Eggersdorferstr.,52.4939,13.7843,10/09/19,11:30,8,11/09/19,10:30,1,0
D,Schaferei,52.5035,13.7892,10/09/19,11:55,10,11/09/19,10:45,0,0
D,Reitehof Neunhagen,52.5717,13.6891,10/09/10,13:20,52,11/09/19,11:45,4,3
D,Triftweg,52.5717,13.7379,10/09/19,14:45,32,11/09/19,12:15,0,0
D,Bundesstr.,52.7434,13.8442,10/09/19,15:30,14,11/09/19,09:30,3,0
B,Topferstr. 16,52.9751,13.7543,10/09/19,12:16,29,11/09/19,10:00,1,1
B,Schonbeckerstr. 21,52.9761,13.7315,10/09/19,13:00,21,11/09/19,10:50,7,7
B,Zehdenickerstr. 8C,52.9794,13.7299,10/09/19,13:30,11,11/09/19,10:20,6,6
B,Zehdenickerstr. 8B,52.9789,13.7325,10/09/19,13:45,10,11/09/19,11:20,3,3
C,Karl Liebknechtstr. 36C,52.8586,13.9565,10/09/19,13:15,20,11/09/19,09:24,2,0
C,Am Wiesengrund 22,52.9756,13.9851,10/09/19,15:00,30,11/09/19,10:14,8,8
A,Sommerswalder Chaussee,52.7384,13.0798,10/09/19,13:00,15,11/09/19,12:20,2,0
A,Kuckschwinkel 4,52.7375,13.0702,10/09/19,13:30,17,11/09/19,12:05,3,0
A,Heckerweg,52.7938,12.8027,10/09/19,15:00,8,11/09/19,10:00,0,0
A,Dammkrug 2,52.8368,12.7833,10/09/19,15:30,30,11/09/19,11:30,0,0
A,Dorfstr.,52.8396,12.8041,10/09/19,16:30,24,11/09/19,10:30,1,0
A,Dorfstr. 64,52.8786,12.9189,10/09/19,17:00,15,11/09/19,11:00,1,1
A,Dorfstr. 42,52.8029,13.0312,10/09/19,18:20,28,11/09/19,12:45,0,0
E,Neu Zittauerstr. 11-15,52.3774,13.7132,10/09/19,12:30,23,11/09/19,11:09,6,0
E,Jagerstr. 17A,52.3839,13.7713,10/09/19,13:30,28,11/09/19,11:00,0,0
E,Berlinerstr. 2-5,52.3885,13.7409,10/09/19,12:03,29,11/09/19,11:00,5,0
E,Wiesenweg,52.351,13.8464,10/09/19,14:00,20,11/09/19,10:40,0,0
E,Drosselsteg,52.3737,13.8579,10/09/19,15:10,11,11/09/19,10:20,0,0
A,Verlorenlorter Weg 21,52.7988,13.0979,11/09/19,13:20,10,12/09/19,08:30,1,1
E,Blossiner Hauptstraße 3-11,52.2591,13.8,11/09/19,15:30,12,12/09/19,15:10,4,0
C,Lindenstr. 36,52.9781,13.9917,11/09/19,16:10,13,12/09/19,10:30,7,7
B,Alter Kiez 4,53.0006,13.4758,11/09/19,15:00,12,12/09/19,12:30,5,5
B,Steindamm 1,53.0388,13.4219,11/09/19,12:00,26,12/09/19,11:50,3,3
E,Dorfstraße 18,52.2971,13.7846,11/09/19,16:00,11,12/09/19,10:42,2,2
E,Dorfhanger 7,52.2449,13.7076,11/09/19,14:30,34,12/09/19,11:40,3,3
C,Dorfstr. 32,52.9046,13.9565,11/09/19,12:45,10,12/09/19,09:25,1,0
C,Zur Muhle 3,52.9556,13.9004,11/09/19,14:46,15,12/09/19,10:00,1,0
B,Gros Vates 34,53.0049,13.5595,11/09/19,12:55,25,12/09/19,10:25,0,0
B,Dollner Chaussee 13,53.0006,13.4884,11/09/19,14:20,10,12/09/19,11:00,1,0
B,Alt Kiez 4,53.0006,13.4758,11/09/19,14:45,17,12/09/19,11:15,0,0
D,Eberswalderstr.,52.737,13.8383,11/09/19,09:46,12,12/09/19,09:40,4,0
D,Reifeshof Waldkale,52.5691,13.761,11/09/19,12:45,11,12/09/19,10:25,0,0
D,Am Dorfleich 8,52.569,16.6209,11/09/19,16:15,36,12/09/19,11:15,0,0
E,Freiheitstr. 2B,52.3253,13.6163,11/09/19,13:10,18,12/09/19,11:50,0,0
D,Altlandsberger weg,52.5689,13.6259,11/09/19,15:30,30,12/09/19,15:00,0,0
E,Dorsfstr. 18,52.2424,13.7076,11/09/19,15:00,24,12/09/19,11:00,0,0
A,Str. Der Jungend 14,52.8597,13.3235,11/09/19,17:15,16,12/09/19,10:15,0,0
A,Ernst Thalman weg 129,52.8301,13.2786,11/09/19,16:40,26,12/09/19,10:00,0,0
A,Birkenshorst,52.8241,13.2417,11/09/19,16:00,27,12/09/19,09:30,2,0
A,Hohenbrucher Dorfstr. 23A,52.7985,13.1038,11/09/19,13:58,19,12/09/19,08:45,3,0
