"Pos","Name","Ct SYBR","Amount SYBR","Target SYBR"
"A11","IRG6A","-","-","negative"
"B11","CXCR3","-","-","negative"
"C11","IL-12rb1","-","-","negative"
"D11","B-actin",32.08,"-","negative"
"E11","GAPDH","-","-","negative"
"A1","AA_0130",24.2,"-","CXCR3"
"A2","AA_0130",25.14,"-","CXCR3"
"B1","AA_0460",34.25,"-","CXCR3"
"B2","AA_0460",28.18,"-","CXCR3"
"C1","AA_0406",32.88,"-","CXCR3"
"C2","AA_0406",35.54,"-","CXCR3"
"D1","AA_0404",27.9,"-","CXCR3"
"D2","AA_0404",28.52,"-","CXCR3"
"E1","AA_0358",24.95,"-","CXCR3"
"E2","AA_0358",26.03,"-","CXCR3"
"F1","AA_0208",24.72,"-","CXCR3"
"F2","AA_0208",25.25,"-","CXCR3"
"G1","AA_0153",23.41,"-","CXCR3"
"G2","AA_0153",24.2,"-","CXCR3"
"H1","AA_0086",27.08,"-","CXCR3"
"H2","AA_0086",29.7,"-","CXCR3"
"A3","AA_0130",23.39,"-","IRG6"
"A4","AA_0130",23.39,"-","IRG6"
"B3","AA_0460",38.06,"-","IRG6"
"B4","AA_0460",32.67,"-","IRG6"
"C3","AA_0406",32.31,"-","IRG6"
"C4","AA_0406",31.5,"-","IRG6"
"D3","AA_0404",26.93,"-","IRG6"
"D4","AA_0404",26.42,"-","IRG6"
"E3","AA_0358",24.27,"-","IRG6"
"E4","AA_0358",24.18,"-","IRG6"
"F3","AA_0208",23.83,"-","IRG6"
"F4","AA_0208",23.79,"-","IRG6"
"G3","AA_0153",21.28,"-","IRG6"
"G4","AA_0153",21.05,"-","IRG6"
"H3","AA_0086",24.44,"-","IRG6"
"H4","AA_0086",24.38,"-","IRG6"
"A5","AA_0130",25.93,"-","IL-12"
"A6","AA_0130",25.57,"-","IL-12"
"B5","AA_0460","","-","IL-12"
"B6","AA_0460","","-","IL-12"
"C5","AA_0406",35.3,"-","IL-12"
"C6","AA_0406","","-","IL-12"
"D5","AA_0404",31.71,"-","IL-12"
"D6","AA_0404",30.99,"-","IL-12"
"E5","AA_0358",26.95,"-","IL-12"
"E6","AA_0358",26.18,"-","IL-12"
"F5","AA_0208",26.05,"-","IL-12"
"F6","AA_0208",26.16,"-","IL-12"
"G5","AA_0153",23.19,"-","IL-12"
"G6","AA_0153",23.25,"-","IL-12"
"H5","AA_0086",26.57,"-","IL-12"
"H6","AA_0086",27.36,"-","IL-12"
"A7","AA_0130",19.06,"-","GAPDH"
"A8","AA_0130",19.09,"-","GAPDH"
"B7","AA_0460",26.46,"-","GAPDH"
"B8","AA_0460",23.52,"-","GAPDH"
"C7","AA_0406",25.96,"-","GAPDH"
"C8","AA_0406",26.19,"-","GAPDH"
"D7","AA_0404",21.55,"-","GAPDH"
"D8","AA_0404",22,"-","GAPDH"
"E7","AA_0358",19.71,"-","GAPDH"
"E8","AA_0358",18.71,"-","GAPDH"
"F7","AA_0208",19.29,"-","GAPDH"
"F8","AA_0208",19.75,"-","GAPDH"
"G7","AA_0153",17.35,"-","GAPDH"
"G8","AA_0153",17.5,"-","GAPDH"
"H7","AA_0086",22.02,"-","GAPDH"
"H8","AA_0086",22.12,"-","GAPDH"
"A9","AA_0130",23.05,"-","B-actin"
"A10","AA_0130",23.23,"-","B-actin"
"B9","AA_0460",30.32,"-","B-actin"
"B10","AA_0460",30.86,"-","B-actin"
"C9","AA_0406",30.2,"-","B-actin"
"C10","AA_0406",29.9,"-","B-actin"
"D9","AA_0404",25.74,"-","B-actin"
"D10","AA_0404",25.47,"-","B-actin"
"E9","AA_0358",23.56,"-","B-actin"
"E10","AA_0358",23.66,"-","B-actin"
"F9","AA_0208",23.76,"-","B-actin"
"F10","AA_0208",23.6,"-","B-actin"
"G9","AA_0153",21.47,"-","B-actin"
"G10","AA_0153",21.26,"-","B-actin"
"H9","AA_0086",23.83,"-","B-actin"
"H10","AA_0086",24.15,"-","B-actin"
