Name,Ct SYBR,Target SYBR,Ct Dev SYBR
CEWE_AA_525,21.489999999999998,GAPDH,0.28
CEWE_AA_525,21.52,GAPDH,0.28
CEWE_AA_525,21.989999999999998,GAPDH,0.28
CEWE_AA_528,19.27,GAPDH,0.41
CEWE_AA_528,19.02,GAPDH,0.41
CEWE_AA_528,19.82,GAPDH,0.41
CEWE_AA_530,16.649999999999999,GAPDH,0.29
CEWE_AA_530,17.059999999999999,GAPDH,0.29
CEWE_AA_530,17.210000000000001,GAPDH,0.29
CEWE_AA_525,22.920000000000002,beta-Actin,0.21
CEWE_AA_525,23.07,beta-Actin,0.21
CEWE_AA_525,23.329999999999998,beta-Actin,0.21
CEWE_AA_528,23.390000000000001,beta-Actin,0.15
CEWE_AA_528,23.48,beta-Actin,0.15
CEWE_AA_528,23.18,beta-Actin,0.15
CEWE_AA_530,16.719999999999999,beta-Actin,0.41
CEWE_AA_530,16.600000000000001,beta-Actin,0.41
CEWE_AA_530,17.359999999999999,beta-Actin,0.41
CEWE_AA_525,27.75,IL-6,1.11
CEWE_AA_525,27.809999999999999,IL-6,1.11
CEWE_AA_525,29.699999999999999,IL-6,1.11
CEWE_AA_528,26.670000000000002,IL-6,0.23
CEWE_AA_528,26.34,IL-6,0.23
CEWE_AA_528,,IL-6,0.23
CEWE_AA_530,25.329999999999998,IL-6,4.1
CEWE_AA_530,18.84,IL-6,4.1
CEWE_AA_530,26.43,IL-6,4.1
CEWE_AA_525,27.379999999999999,IL-12b,3.44
CEWE_AA_525,28.309999999999999,IL-12b,3.44
CEWE_AA_525,21.93,IL-12b,3.44
CEWE_AA_528,25.149999999999999,IL-12b,0.09
CEWE_AA_528,25.300000000000001,IL-12b,0.09
CEWE_AA_528,25.329999999999998,IL-12b,0.09
CEWE_AA_530,24.300000000000001,IL-12b,0.58
CEWE_AA_530,24.870000000000001,IL-12b,0.58
CEWE_AA_530,25.460000000000001,IL-12b,0.58
CEWE_AA_525,29.539999999999999,GBP2,0.16
CEWE_AA_525,29.309999999999999,GBP2,0.16
CEWE_AA_525,29.219999999999999,GBP2,0.16
CEWE_AA_528,25.739999999999998,GBP2,0.06
CEWE_AA_528,25.859999999999999,GBP2,0.06
CEWE_AA_528,25.829999999999998,GBP2,0.06
CEWE_AA_530,21.109999999999999,GBP2,0.03
CEWE_AA_530,21.149999999999999,GBP2,0.03
CEWE_AA_530,21.18,GBP2,0.03
CEWE_AA_525,28.350000000000001,CXCR3,0.52
CEWE_AA_525,27.969999999999999,CXCR3,0.52
CEWE_AA_525,27.32,CXCR3,0.52
CEWE_AA_528,25.27,CXCR3,0.26
CEWE_AA_528,25.219999999999999,CXCR3,0.26
CEWE_AA_528,25.699999999999999,CXCR3,0.26
CEWE_AA_530,25.41,CXCR3,0.16
CEWE_AA_530,25.719999999999999,CXCR3,0.16
CEWE_AA_530,25.66,CXCR3,0.16
CEWE_AA_525,24.75,IRG6,0.3
CEWE_AA_525,24.850000000000001,IRG6,0.3
CEWE_AA_525,24.289999999999999,IRG6,0.3
CEWE_AA_528,23.940000000000001,IRG6,0.18
CEWE_AA_528,24.120000000000001,IRG6,0.18
CEWE_AA_528,23.77,IRG6,0.18
CEWE_AA_530,20.359999999999999,IRG6,0.37
CEWE_AA_530,20.579999999999998,IRG6,0.37
CEWE_AA_530,19.850000000000001,IRG6,0.37
CEWE_AA_524,22.550000000000001,GAPDH,0.11
CEWE_AA_524,22.640000000000001,GAPDH,0.11
CEWE_AA_524,22.41,GAPDH,0.11
CEWE_AA_526,19.420000000000002,GAPDH,0.42
CEWE_AA_526,18.629999999999999,GAPDH,0.42
CEWE_AA_526,19.260000000000002,GAPDH,0.42
