"","Mouse_ID","Sex","Longitude","Latitude","Year","HI_NLoci","HI","Address","Ct_mean","Oocyst_Predict","ILWE_DNA_Content_ng.microliter"
"1","AA_0078","F",13.5883,52.2156,2016,13,0,NA,29.85,7138,NA
"2","AA_0101","M",13.4639,51.8625,2016,14,0,NA,29.7,7901,NA
"3","AA_0106","M",13.7336,52.9783,2016,13,0.894736842,NA,28.54729681,17247,NA
"4","AA_0111","F",13.895,52.9581,2016,12,0.869565217,NA,29.80059975,7380,NA
"5","AA_0119","F",13.7336,52.9783,2016,12,0.869565217,NA,29.78,7484,NA
"6","AA_0120","F",13.895,52.9581,2016,12,0.869565217,NA,30.16631861,5761,NA
"7","AA_0144","F",14.0828,52.7,2016,12,0.869565217,NA,26.88,53344,NA
"8","AA_0167","F",13.847336,51.853542,2016,13,0.52,NA,30.31,5227,NA
"9","AA_0169","M",13.847336,51.853542,2016,7,0.2307692308,NA,29.6,8454,NA
"10","AA_0209","F",14.0672,52.4019,2016,12,0.739130435,NA,28.47,18174,NA
"11","AA_0256","F",13.6025,52.2225,2017,13,0.16,"Unter den Eichen 6, 15741 Bestensee",30.28,5334,NA
"12","AA_0282","M",13.5353,52.8969,2017,6,0.166666667,"Wildpark Schorfheide",28.8,14534,NA
"13","AA_0286","F",13.7772,52.3744,2017,13,0.04,"Kiefernweg 8, 15537 Gosen-Neu Zittau, Germany",29.45,9358,NA
"14","AA_0316","M",14.1161,52.7914,2017,13,0.631578947,"Croustillier 17, 16259 oderage",30.06,6191,NA
"15","AA_0325","M",13.4408,53.0497,2017,14,0.8,"Dorfstrasse 84 Storkow",27.27,40962,NA
"16","AA_0337","F",14.0817,52.7667,2017,12,0.913043478,"Alte Heerstrasse 39",28.82,14338,NA
"17","AA_0352","M",13.4408,53.0497,2017,14,0.8,"Dorfstrasse 84 Storkow",30.18,5708,NA
"18","AA_0369","M",13.4864,53.1275,2017,14,0.95,"Lychenerstrasse 28 17268 templin",29.73,7742,NA
"19","AA_0498","M",11.6069,53.94049,2017,12,0.944444444444444,"Zum Gutshof 10 23974 Neuburg",30.2,5631,NA
"20","AA_0521","F",13.679507,51.676761,2017,12,0.391304347826087,"Pießig 27, 03249 Sonnewalde",28.67,15872,NA
"21","AA_0523","M",13.679507,51.676761,2017,13,0.421052631578947,"Pießig 27, 03249 Sonnewalde",25.33,152390,NA
"22","AA_0578","F",14.0922,52.2125,2018,13,0.56,"Beeskower str. 24, 15848",29.25,10716,263.3
"23","AA_0666","F",14.1414,53.0783,2018,13,0.84,"Hauptstr. 7, 16278",30.02,6361,557.6
"24","AA_0667","F",14.0939,53.0706,2018,13,0.84,"Landiner str. 1",29.49,9108,148
"25","AA_0689","M",13.7325,52.9789,2019,11,0.6875,"Zehdenickerstr. 8B",28.30151986,20370,160.1
"26","AA_0793","F",13.9533,53.1422,2019,12,0.8695652174,"Dorfstr. 28",29.23189459,10848,729.4
"27","AA_0805","F",13.9533,53.1422,2019,11,0.8095238095,"Dorfstr. 28",29.68846904,7963,476
"28","AA_0900","M",14.0833,52.6967,2021,NA,NA,"Wirtschaftshof 6 Lüdersdorf",28.91998426,13400,272.3
"29","AA_0901","M",14.0833,52.6967,2021,NA,NA,"Wirtschaftshof 6 Lüdersdorf",29.69420289,7932,299.1
