Mouse_ID,Ct SYBR,Ct Mean SYBR,Ct Dev. SYBR,Amount SYBR [Copies],Amount Mean SYBR,Amount Dev. SYBR,Target SYBR,delta
CEWE_AA_524,27.77,27.63,0.12,1.00,,,eimeria,5.29
CEWE_AA_524,27.57,27.63,0.12,1.00,,,eimeria,
CEWE_AA_524,27.56,27.63,0.12,1.00,,,eimeria,
CEWE_AA_524,22.45,22.34,0.22,1.00,,,mouse,
CEWE_AA_524,22.48,22.34,0.22,1.00,,,mouse,
CEWE_AA_524,22.08,22.34,0.22,1.00,,,mouse,
CEWE_AA_525,25.50,25.11,0.48,1.00,,,eimeria,1.53
CEWE_AA_525,24.57,25.11,0.48,1.00,,,eimeria,
CEWE_AA_525,25.27,25.11,0.48,1.00,,,eimeria,
CEWE_AA_525,23.90,23.58,0.35,1.00,,,mouse,
CEWE_AA_525,23.63,23.58,0.35,1.00,,,mouse,
CEWE_AA_525,23.21,23.58,0.35,1.00,,,mouse,
CEWE_AA_526,30.65,30.65,0.08,1.00,,,eimeria,8.55
CEWE_AA_526,30.73,30.65,0.08,1.00,,,eimeria,
CEWE_AA_526,30.57,30.65,0.08,1.00,,,eimeria,
CEWE_AA_526,22.15,22.10,0.04,1.00,,,mouse,
CEWE_AA_526,22.09,22.10,0.04,1.00,,,mouse,
CEWE_AA_526,22.06,22.10,0.04,1.00,,,mouse,
CEWE_AA_527,29.98,29.68,0.29,1.00,,,eimeria,7.02
CEWE_AA_527,29.65,29.68,0.29,1.00,,,eimeria,
CEWE_AA_527,29.40,29.68,0.29,1.00,,,eimeria,
CEWE_AA_527,22.80,22.66,0.19,1.00,,,mouse,
CEWE_AA_527,22.44,22.66,0.19,1.00,,,mouse,
CEWE_AA_527,22.73,22.66,0.19,1.00,,,mouse,
CEWE_AA_528,33.85,32.36,1.30,1.00,,,eimeria,10.36
CEWE_AA_528,31.80,32.36,1.30,1.00,,,eimeria,
CEWE_AA_528,31.45,32.36,1.30,1.00,,,eimeria,
CEWE_AA_528,22.06,22.00,0.11,1.00,,,mouse,
CEWE_AA_528,22.08,22.00,0.11,1.00,,,mouse,
CEWE_AA_528,21.88,22.00,0.11,1.00,,,mouse,
CEWE_AA_529,33.14,31.39,1.53,1.00,,,eimeria,10.38
CEWE_AA_529,30.68,31.39,1.53,1.00,,,eimeria,
CEWE_AA_529,30.34,31.39,1.53,1.00,,,eimeria,
CEWE_AA_529,21.04,21.01,0.10,1.00,,,mouse,
CEWE_AA_529,21.10,21.01,0.10,1.00,,,mouse,
CEWE_AA_529,20.90,21.01,0.10,1.00,,,mouse,
CEWE_AA_530,20.23,20.37,0.13,1.00,,,eimeria,1.29
CEWE_AA_530,20.39,20.37,0.13,1.00,,,eimeria,
CEWE_AA_530,20.50,20.37,0.13,1.00,,,eimeria,
CEWE_AA_530,21.63,21.66,0.09,1.00,,,mouse,
CEWE_AA_530,21.75,21.66,0.09,1.00,,,mouse,
CEWE_AA_530,21.58,21.66,0.09,1.00,,,mouse,
CEWE_AA_531,19.30,18.98,0.44,1.00,,,eimeria,0.94
CEWE_AA_531,18.47,18.98,0.44,1.00,,,eimeria,
CEWE_AA_531,19.16,18.98,0.44,1.00,,,eimeria,
CEWE_AA_531,20.80,19.92,0.83,1.00,,,mouse,
CEWE_AA_531,19.81,19.92,0.83,1.00,,,mouse,
CEWE_AA_531,19.14,19.92,0.83,1.00,,,mouse,
CEWE_AA_532,29.15,29.25,0.22,1.00,,,eimeria,8.52
CEWE_AA_532,29.08,29.25,0.22,1.00,,,eimeria,
CEWE_AA_532,29.50,29.25,0.22,1.00,,,eimeria,
CEWE_AA_532,20.83,20.73,0.12,1.00,,,mouse,
CEWE_AA_532,20.60,20.73,0.12,1.00,,,mouse,
CEWE_AA_532,20.78,20.73,0.12,1.00,,,mouse,
CEWE_AA_533,30.82,31.02,0.20,1.00,,,eimeria,8.55
CEWE_AA_533,31.22,31.02,0.20,1.00,,,eimeria,
CEWE_AA_533,31.03,31.02,0.20,1.00,,,eimeria,
CEWE_AA_533,22.78,22.47,0.35,1.00,,,mouse,
CEWE_AA_533,22.54,22.47,0.35,1.00,,,mouse,
CEWE_AA_533,22.08,22.47,0.35,1.00,,,mouse,
CEWE_AA_534,32.20,31.53,0.58,1.00,,,eimeria,7.49
CEWE_AA_534,31.25,31.53,0.58,1.00,,,eimeria,
CEWE_AA_534,31.14,31.53,0.58,1.00,,,eimeria,
CEWE_AA_534,24.18,24.04,0.16,1.00,,,mouse,
CEWE_AA_534,24.07,24.04,0.16,1.00,,,mouse,
CEWE_AA_534,23.86,24.04,0.16,1.00,,,mouse,
CEWE_AA_535,32.92,31.95,0.89,1.00,,,eimeria,9.2
CEWE_AA_535,31.75,31.95,0.89,1.00,,,eimeria,
CEWE_AA_535,31.17,31.95,0.89,1.00,,,eimeria,
CEWE_AA_535,22.84,22.75,0.18,1.00,,,mouse,
CEWE_AA_535,22.86,22.75,0.18,1.00,,,mouse,
CEWE_AA_535,22.54,22.75,0.18,1.00,,,mouse,
CEWE_AA_536,31.92,31.21,0.61,1.00,,,eimeria,10.73
CEWE_AA_536,30.86,31.21,0.61,1.00,,,eimeria,
CEWE_AA_536,30.85,31.21,0.61,1.00,,,eimeria,
CEWE_AA_536,20.72,20.48,0.21,1.00,,,mouse,
CEWE_AA_536,20.38,20.48,0.21,1.00,,,mouse,
CEWE_AA_536,20.34,20.48,0.21,1.00,,,mouse,
CEWE_AA_537,30.29,30.42,0.21,1.00,,,eimeria,8.99
CEWE_AA_537,30.31,30.42,0.21,1.00,,,eimeria,
CEWE_AA_537,30.67,30.42,0.21,1.00,,,eimeria,
CEWE_AA_537,21.27,21.43,0.18,1.00,,,mouse,
CEWE_AA_537,21.40,21.43,0.18,1.00,,,mouse,
CEWE_AA_537,21.63,21.43,0.18,1.00,,,mouse,
CEWE_AA_538,31.63,30.75,0.77,1.00,,,eimeria,10.6
CEWE_AA_538,30.42,30.75,0.77,1.00,,,eimeria,
CEWE_AA_538,30.20,30.75,0.77,1.00,,,eimeria,
CEWE_AA_538,20.43,20.15,0.33,1.00,,,mouse,
CEWE_AA_538,19.79,20.15,0.33,1.00,,,mouse,
CEWE_AA_538,20.24,20.15,0.33,1.00,,,mouse,
CEWE_AA_539,30.71,30.63,0.14,1.00,,,eimeria,8.27
CEWE_AA_539,30.46,30.63,0.14,1.00,,,eimeria,
CEWE_AA_539,30.71,30.63,0.14,1.00,,,eimeria,
CEWE_AA_539,22.48,22.36,0.30,1.00,,,mouse,
CEWE_AA_539,22.01,22.36,0.30,1.00,,,mouse,
CEWE_AA_539,22.57,22.36,0.30,1.00,,,mouse,
CEWE_AA_540,29.64,29.15,1.00,1.00,,,eimeria,7.98
CEWE_AA_540,29.80,29.15,1.00,1.00,,,eimeria,
CEWE_AA_540,28.00,29.15,1.00,1.00,,,eimeria,
CEWE_AA_540,21.23,21.17,0.21,1.00,,,mouse,
CEWE_AA_540,21.35,21.17,0.21,1.00,,,mouse,
CEWE_AA_540,20.94,21.17,0.21,1.00,,,mouse,
CEWE_AA_541,30.73,30.48,0.29,1.00,,,eimeria,8.63
CEWE_AA_541,30.54,30.48,0.29,1.00,,,eimeria,
CEWE_AA_541,30.17,30.48,0.29,1.00,,,eimeria,
CEWE_AA_541,22.02,21.85,0.20,1.00,,,mouse,
CEWE_AA_541,21.89,21.85,0.20,1.00,,,mouse,
CEWE_AA_541,21.63,21.85,0.20,1.00,,,mouse,
CEWE_AA_542,24.05,23.71,0.33,1.00,,,eimeria,1.69
CEWE_AA_542,23.68,23.71,0.33,1.00,,,eimeria,
CEWE_AA_542,23.39,23.71,0.33,1.00,,,eimeria,
CEWE_AA_542,22.11,22.02,0.20,1.00,,,mouse,
CEWE_AA_542,22.16,22.02,0.20,1.00,,,mouse,
CEWE_AA_542,21.80,22.02,0.20,1.00,,,mouse,
CEWE_AA_543,31.10,30.74,0.32,1.00,,,eimeria,8.91
CEWE_AA_543,30.62,30.74,0.32,1.00,,,eimeria,
CEWE_AA_543,30.49,30.74,0.32,1.00,,,eimeria,
CEWE_AA_543,21.95,21.83,0.18,1.00,,,mouse,
CEWE_AA_543,21.92,21.83,0.18,1.00,,,mouse,
CEWE_AA_543,21.63,21.83,0.18,1.00,,,mouse,
CEWE_AA_544,26.67,30.63,3.43,1.00,,,eimeria,8.25
CEWE_AA_544,32.65,30.63,3.43,1.00,,,eimeria,
CEWE_AA_544,32.56,30.63,3.43,1.00,,,eimeria,
CEWE_AA_544,23.14,23.75,0.78,1.00,,,mouse,
CEWE_AA_544,23.48,23.75,0.78,1.00,,,mouse,
CEWE_AA_544,24.63,23.75,0.78,1.00,,,mouse,
CEWE_AA_545,35.36,34.19,1.29,1.00,,,eimeria,12.23
CEWE_AA_545,34.39,34.19,1.29,1.00,,,eimeria,
CEWE_AA_545,32.81,34.19,1.29,1.00,,,eimeria,
CEWE_AA_545,22.42,21.96,0.41,1.00,,,mouse,
CEWE_AA_545,21.63,21.96,0.41,1.00,,,mouse,
CEWE_AA_545,21.82,21.96,0.41,1.00,,,mouse,
CEWE_AA_546,31.25,30.94,0.54,1.00,,,eimeria,8.05
CEWE_AA_546,31.25,30.94,0.54,1.00,,,eimeria,
CEWE_AA_546,30.31,30.94,0.54,1.00,,,eimeria,
CEWE_AA_546,22.89,22.89,0.03,1.00,,,mouse,
CEWE_AA_546,22.93,22.89,0.03,1.00,,,mouse,
CEWE_AA_546,22.86,22.89,0.03,1.00,,,mouse,
CEWE_AA_547,31.12,31.14,0.20,1.00,,,eimeria,9.43
CEWE_AA_547,31.36,31.14,0.20,1.00,,,eimeria,
CEWE_AA_547,30.96,31.14,0.20,1.00,,,eimeria,
CEWE_AA_547,21.93,21.71,0.22,1.00,,,mouse,
CEWE_AA_547,21.49,21.71,0.22,1.00,,,mouse,
CEWE_AA_547,21.73,21.71,0.22,1.00,,,mouse,
CEWE_AA_548,30.73,30.91,0.17,1.00,,,eimeria,8.65
CEWE_AA_548,30.95,30.91,0.17,1.00,,,eimeria,
CEWE_AA_548,31.05,30.91,0.17,1.00,,,eimeria,
CEWE_AA_548,22.37,22.26,0.21,1.00,,,mouse,
CEWE_AA_548,22.01,22.26,0.21,1.00,,,mouse,
CEWE_AA_548,22.39,22.26,0.21,1.00,,,mouse,
CEWE_AA_549,30.56,30.05,0.58,1.00,,,eimeria,8.7
CEWE_AA_549,29.41,30.05,0.58,1.00,,,eimeria,
CEWE_AA_549,30.16,30.05,0.58,1.00,,,eimeria,
CEWE_AA_549,21.51,21.35,0.31,1.00,,,mouse,
CEWE_AA_549,21.00,21.35,0.31,1.00,,,mouse,
CEWE_AA_549,21.54,21.35,0.31,1.00,,,mouse,
CEWE_AA_550,35.05,33.62,1.25,1.00,,,eimeria,9.66
CEWE_AA_550,33.02,33.62,1.25,1.00,,,eimeria,
CEWE_AA_550,32.78,33.62,1.25,1.00,,,eimeria,
CEWE_AA_550,24.19,23.96,0.25,1.00,,,mouse,
CEWE_AA_550,23.70,23.96,0.25,1.00,,,mouse,
CEWE_AA_550,23.98,23.96,0.25,1.00,,,mouse,
CEWE_AA_551,31.11,31.16,0.12,1.00,,,eimeria,9.85
CEWE_AA_551,31.07,31.16,0.12,1.00,,,eimeria,
CEWE_AA_551,31.29,31.16,0.12,1.00,,,eimeria,
CEWE_AA_551,21.36,21.31,0.20,1.00,,,mouse,
CEWE_AA_551,21.09,21.31,0.20,1.00,,,mouse,
CEWE_AA_551,21.49,21.31,0.20,1.00,,,mouse,
CEWE_AA_552,30.33,30.66,0.40,1.00,,,eimeria,9.46
CEWE_AA_552,30.54,30.66,0.40,1.00,,,eimeria,
CEWE_AA_552,31.10,30.66,0.40,1.00,,,eimeria,
CEWE_AA_552,21.71,21.20,0.58,1.00,,,mouse,
CEWE_AA_552,21.34,21.20,0.58,1.00,,,mouse,
CEWE_AA_552,20.57,21.20,0.58,1.00,,,mouse,
CEWE_AA_553,30.94,30.76,0.20,1.00,,,eimeria,10.21
CEWE_AA_553,30.54,30.76,0.20,1.00,,,eimeria,
CEWE_AA_553,30.80,30.76,0.20,1.00,,,eimeria,
CEWE_AA_553,20.78,20.55,0.33,1.00,,,mouse,
CEWE_AA_553,20.17,20.55,0.33,1.00,,,mouse,
CEWE_AA_553,20.71,20.55,0.33,1.00,,,mouse,
CEWE_AA_554,22.06,21.87,0.24,1.00,,,eimeria,1.25
CEWE_AA_554,21.60,21.87,0.24,1.00,,,eimeria,
CEWE_AA_554,21.94,21.87,0.24,1.00,,,eimeria,
CEWE_AA_554,23.18,23.12,0.30,1.00,,,mouse,
CEWE_AA_554,22.80,23.12,0.30,1.00,,,mouse,
CEWE_AA_554,23.38,23.12,0.30,1.00,,,mouse,
