Pos,Name,No. Tm SYBR,Tm x (°C) SYBR,Tm y (°C) SYBR,Mean SYBR,Dev. SYBR
A1,CEWE_AA_0301,1,80.3,,,
A2,CEWE_AA_0301,1,80,,,
A3,CEWE_AA_0301,1,80.1,,,
A4,CEWE_AA_0301,0,,,,
A5,CEWE_AA_0301,0,,,,
A6,CEWE_AA_0301,0,,,,
A7,ILWE_AA_0301,1,79.9,,,
A8,ILWE_AA_0301,1,79.8,,,
A9,ILWE_AA_0301,1,79.8,,,
A10,ILWE_AA_0301,0,,,,
A11,ILWE_AA_0301,0,,,,
A12,ILWE_AA_0301,0,,,,
B1,CEWE_AA_0302,1,80.1,,,
B2,CEWE_AA_0302,1,80,,,
B3,CEWE_AA_0302,1,80.3,,,
B4,CEWE_AA_0302,0,,,,
B5,CEWE_AA_0302,0,,,,
B6,CEWE_AA_0302,0,,,,
B7,ILWE_AA_0302,1,79.3,,,
B8,ILWE_AA_0302,1,79.2,,,
B9,ILWE_AA_0302,1,79.3,,,
B10,ILWE_AA_0302,0,,,,
B11,ILWE_AA_0302,0,,,,
B12,ILWE_AA_0302,0,,,,
C1,CEWE_AA_0310,1,79.8,,,
C2,CEWE_AA_0310,1,79.9,,,
C3,CEWE_AA_0310,1,80.3,,,
C4,CEWE_AA_0310,1,75.7,,,
C5,CEWE_AA_0310,0,,,,
C6,CEWE_AA_0310,0,,,,
C7,ILWE_AA_0310,1,79.9,,,
C8,ILWE_AA_0310,1,79.9,,,
C9,ILWE_AA_0310,1,79.9,,,
C10,ILWE_AA_0310,0,,,,
C11,ILWE_AA_0310,0,,,,
C12,ILWE_AA_0310,0,,,,
D1,CEWE_AA_0326,1,79.8,,,
D2,CEWE_AA_0326,1,79.8,,,
D3,CEWE_AA_0326,1,80.5,,,
D4,CEWE_AA_0326,0,,,,
D5,CEWE_AA_0326,0,,,,
D6,CEWE_AA_0326,0,,,,
D7,ILWE_AA_0326,1,79.9,,,
D8,ILWE_AA_0326,1,79.9,,,
D9,ILWE_AA_0326,1,79.5,,,
D10,ILWE_AA_0326,0,,,,
D11,ILWE_AA_0326,0,,,,
D12,ILWE_AA_0326,0,,,,
E1,CEWE_AA_0348,1,79.8,,,
E2,CEWE_AA_0348,1,79.8,,,
E3,CEWE_AA_0348,1,80.1,,,
E4,CEWE_AA_0348,1,75.2,,,
E5,CEWE_AA_0348,1,75.2,,,
E6,CEWE_AA_0348,1,75.2,,,
E7,ILWE_AA_0348,1,79.9,,,
E8,ILWE_AA_0348,1,79.9,,,
E9,ILWE_AA_0348,1,79.8,,,
E10,ILWE_AA_0348,0,,,,
E11,ILWE_AA_0348,0,,,,
E12,ILWE_AA_0348,0,,,,
F1,CEWE_AA_0368,1,79.6,,,
F2,CEWE_AA_0368,1,79.6,,,
F3,CEWE_AA_0368,1,80,,,
F4,CEWE_AA_0368,0,,,,
F5,CEWE_AA_0368,0,,,,
F6,CEWE_AA_0368,0,,,,
F7,ILWE_AA_0368,1,80.1,,,
F8,ILWE_AA_0368,1,79.9,,,
F9,ILWE_AA_0368,1,79.9,,,
F10,ILWE_AA_0368,0,,,,
F11,ILWE_AA_0368,0,,,,
F12,ILWE_AA_0368,0,,,,
G1,CEWE_AA_0369,1,80,,,
G2,CEWE_AA_0369,1,80,,,
G3,CEWE_AA_0369,1,80.1,,,
G4,CEWE_AA_0369,0,,,,
G5,CEWE_AA_0369,0,,,,
G6,CEWE_AA_0369,0,,,,
G7,ILWE_AA_0369,1,79.9,,,
G8,ILWE_AA_0369,1,79.9,,,
G9,ILWE_AA_0369,1,79.9,,,
G10,ILWE_AA_0369,0,,,,
G11,ILWE_AA_0369,0,,,,
G12,ILWE_AA_0369,0,,,,
H1,NTC,0,,,,
H2,NTC,0,,,,
H3,NTC,0,,,,
H4,NTC,0,,,,
H5,NTC,0,,,,
H6,NTC,0,,,,
H7,water,0,,,,
H8,water,0,,,,
H9,water,0,,,,
H10,water,0,,,,
H11,water,0,,,,
H12,water,0,,,,
,,,,,,
Analysis Parameters,,,,,,
Type of Application,Melting Curve,,,,,
Dye(s),SYBR,,,,,
Inverted Data,OFF,,,,,
