"Pos","Name","Ct.SYBR","Ct.Mean.SYBR","Ct.Dev..SYBR","Amount.SYBR..Copies.","Amount.Mean.SYBR","Amount.Dev..SYBR","Target.SYBR","fileName","tissue","EH_ID"
"A1","CEWE_AA_0341","21.95",21.89,"0.09","1",NA,NA,"mouse "," QPCR01.06.2018.XLS.csv","CEWE","AA_0341"
"A2","CEWE_AA_0341","21.94",21.89,"0.09","1",NA,NA,"mouse "," QPCR01.06.2018.XLS.csv","CEWE","AA_0341"
"A3","CEWE_AA_0341","21.79",21.89,"0.09","1",NA,NA,"mouse "," QPCR01.06.2018.XLS.csv","CEWE","AA_0341"
"A4","CEWE_AA_0341","31.48",31.65,"0.18","1",NA,NA,"eimeria "," QPCR01.06.2018.XLS.csv","CEWE","AA_0341"
"A5","CEWE_AA_0341","31.85",31.65,"0.18","1",NA,NA,"eimeria "," QPCR01.06.2018.XLS.csv","CEWE","AA_0341"
"A6","CEWE_AA_0341","31.63",31.65,"0.18","1",NA,NA,"eimeria "," QPCR01.06.2018.XLS.csv","CEWE","AA_0341"
"A7","ILWE_AA_0367","22",21.75,"0.25","1",NA,NA,"mouse "," QPCR01.06.2018.XLS.csv","ILWE","AA_0367"
"A8","ILWE_AA_0367","21.51",21.75,"0.25","1",NA,NA,"mouse "," QPCR01.06.2018.XLS.csv","ILWE","AA_0367"
"A9","ILWE_AA_0367","21.75",21.75,"0.25","1",NA,NA,"mouse "," QPCR01.06.2018.XLS.csv","ILWE","AA_0367"
"A10","ILWE_AA_0367","36.07",36.23,"0.49","1",NA,NA,"eimeria "," QPCR01.06.2018.XLS.csv","ILWE","AA_0367"
"A11","ILWE_AA_0367","36.78",36.23,"0.49","1",NA,NA,"eimeria "," QPCR01.06.2018.XLS.csv","ILWE","AA_0367"
"A12","ILWE_AA_0367","35.84",36.23,"0.49","1",NA,NA,"eimeria "," QPCR01.06.2018.XLS.csv","ILWE","AA_0367"
