Pos,Name,No. Tm SYBR,Tm x (°C) SYBR,Tm y (°C) SYBR,Mean SYBR,Dev. SYBR
A1,CEWE_SK_2969,1,80.3,,,
A2,CEWE_SK_2969,1,80.2,,,
A3,CEWE_SK_2969,1,80.1,,,
A4,CEWE_SK_2969,0,,,,
A5,CEWE_SK_2969,0,,,,
A6,CEWE_SK_2969,0,,,,
A7,CEWE_SK_2970,1,80,,,
A8,CEWE_SK_2970,1,80,,,
A9,CEWE_SK_2970,1,79.9,,,
A10,CEWE_SK_2970,1,74.4,,,
A11,CEWE_SK_2970,1,74.5,,,
A12,CEWE_SK_2970,1,74.6,,,
B1,CEWE_SK_2971,1,80.3,,,
B2,CEWE_SK_2971,1,80.2,,,
B3,CEWE_SK_2971,1,80,,,
B4,CEWE_SK_2971,0,,,,
B5,CEWE_SK_2971,0,,,,
B6,CEWE_SK_2971,0,,,,
B7,CEWE_SK_2972,1,79.7,,,
B8,CEWE_SK_2972,1,79.6,,,
B9,CEWE_SK_2972,1,79.4,,,
B10,CEWE_SK_2972,1,74.3,,,
B11,CEWE_SK_2972,1,74.6,,,
B12,CEWE_SK_2972,1,74.6,,,
C1,CEWE_SK_2973,1,80.1,,,
C2,CEWE_SK_2973,1,79.8,,,
C3,CEWE_SK_2973,1,79.7,,,
C4,CEWE_SK_2973,0,,,,
C5,CEWE_SK_2973,1,74.2,,,
C6,CEWE_SK_2973,0,,,,
C7,CEWE_SK_2974,1,79.5,,,
C8,CEWE_SK_2974,1,79.3,,,
C9,CEWE_SK_2974,1,79.3,,,
C10,CEWE_SK_2974,0,,,,
C11,CEWE_SK_2974,0,,,,
C12,CEWE_SK_2974,0,,,,
D1,CEWE_SK_2975,1,80,,,
D2,CEWE_SK_2975,1,79.8,,,
D3,CEWE_SK_2975,1,79.7,,,
D4,CEWE_SK_2975,1,74.8,,,
D5,CEWE_SK_2975,1,74.8,,,
D6,CEWE_SK_2975,1,74.8,,,
D7,CEWE_SK_2976,1,79.7,,,
D8,CEWE_SK_2976,1,79.6,,,
D9,CEWE_SK_2976,1,79.5,,,
D10,CEWE_SK_2976,0,,,,
D11,CEWE_SK_2976,1,74.2,,,
D12,CEWE_SK_2976,0,,,,
E1,CEWE_SK_2977,1,80.2,,,
E2,CEWE_SK_2977,1,79.9,,,
E3,CEWE_SK_2977,0,,,,
E4,CEWE_SK_2977,0,,,,
E5,CEWE_SK_2977,0,,,,
E6,CEWE_SK_2977,0,,,,
E7,CEWE_SK_2978,1,79.7,,,
E8,CEWE_SK_2978,1,79.6,,,
E9,CEWE_SK_2978,1,79.5,,,
E10,CEWE_SK_2978,0,,,,
E11,CEWE_SK_2978,0,,,,
E12,CEWE_SK_2978,0,,,,
F1,CEWE_SK_2979,1,80.1,,,
F2,CEWE_SK_2979,1,80,,,
F3,CEWE_SK_2979,0,,,,
F4,CEWE_SK_2979,0,,,,
F5,CEWE_SK_2979,0,,,,
F6,CEWE_SK_2979,0,,,,
F7,CEWE_SK_2980,1,79.8,,,
F8,CEWE_SK_2980,1,79.7,,,
F9,CEWE_SK_2980,1,79.7,,,
F10,CEWE_SK_2980,0,,,,
F11,CEWE_SK_2980,0,,,,
F12,CEWE_SK_2980,0,,,,
G1,CEWE_SK_2981,1,80.2,,,
G2,CEWE_SK_2981,1,80.2,,,
G3,CEWE_SK_2981,0,,,,
G4,CEWE_SK_2981,0,,,,
G5,CEWE_SK_2981,0,,,,
G6,CEWE_SK_2981,0,,,,
G7,CEWE_SK_2982,1,80,,,
G8,CEWE_SK_2982,1,79.9,,,
G9,CEWE_SK_2982,1,79.7,,,
G10,CEWE_SK_2982,0,,,,
G11,CEWE_SK_2982,0,,,,
G12,CEWE_SK_2982,0,,,,
H1,NTC,0,,,,
H2,NTC,0,,,,
H3,NTC,0,,,,
H4,NTC,0,,,,
H5,NTC,0,,,,
H6,NTC,0,,,,
H7,water,0,,,,
H8,water,0,,,,
H9,water,0,,,,
H10,water,0,,,,
H11,water,0,,,,
H12,water,0,,,,
,,,,,,
Analysis Parameters,,,,,,
Type of Application,Melting Curve,,,,,
Dye(s),SYBR,,,,,
Inverted Data,OFF,,,,,
