Pos,Name,No. Tm SYBR,Tm x (°C) SYBR,Tm y (°C) SYBR,Mean SYBR,Dev. SYBR
A1,CEWE_SK_3060,1,79.6,,,
A2,CEWE_SK_3060,1,80.1,,,
A3,CEWE_SK_3060,1,79.9,,,
A4,CEWE_SK_3060,1,74.9,,,
A5,CEWE_SK_3060,1,74.6,,,
A6,CEWE_SK_3060,0,,,,
A7,CEWE_SK_3061,1,80.2,,,
A8,CEWE_SK_3061,1,80.2,,,
A9,CEWE_SK_3061,1,80.1,,,
A10,CEWE_SK_3061,1,75.1,,,
A11,CEWE_SK_3061,1,75.2,,,
A12,CEWE_SK_3061,0,,,,
B1,CEWE_SK_3062,1,79.9,,,
B2,CEWE_SK_3062,1,80,,,
B3,CEWE_SK_3062,1,80,,,
B4,CEWE_SK_3062,0,,,,
B5,CEWE_SK_3062,1,74.5,,,
B6,CEWE_SK_3062,0,,,,
B7,CEWE_SK_3063,1,79.9,,,
B8,CEWE_SK_3063,1,79.8,,,
B9,CEWE_SK_3063,1,79.6,,,
B10,CEWE_SK_3063,0,,,,
B11,CEWE_SK_3063,1,74.8,,,
B12,CEWE_SK_3063,0,,,,
C1,CEWE_SK_3064,1,79.5,,,
C2,CEWE_SK_3064,1,79.9,,,
C3,CEWE_SK_3064,1,80.3,,,
C4,CEWE_SK_3064,0,,,,
C5,CEWE_SK_3064,0,,,,
C6,CEWE_SK_3064,0,,,,
C7,CEWE_SK_3065,1,79.9,,,
C8,CEWE_SK_3065,1,79.8,,,
C9,CEWE_SK_3065,1,79.6,,,
C10,CEWE_SK_3065,1,74.6,,,
C11,CEWE_SK_3065,0,,,,
C12,CEWE_SK_3065,0,,,,
D1,CEWE_SK_3066,1,79,,,
D2,CEWE_SK_3066,1,79.8,,,
D3,CEWE_SK_3066,1,79.8,,,
D4,CEWE_SK_3066,0,,,,
D5,CEWE_SK_3066,0,,,,
D6,CEWE_SK_3066,0,,,,
D7,CEWE_SK_3067,1,79.4,,,
D8,CEWE_SK_3067,1,79.3,,,
D9,CEWE_SK_3067,1,79.3,,,
D10,CEWE_SK_3067,0,,,,
D11,CEWE_SK_3067,0,,,,
D12,CEWE_SK_3067,0,,,,
E1,CEWE_SK_3068,1,78.6,,,
E2,CEWE_SK_3068,1,79.4,,,
E3,CEWE_SK_3068,1,79.8,,,
E4,CEWE_SK_3068,0,,,,
E5,CEWE_SK_3068,0,,,,
E6,CEWE_SK_3068,0,,,,
E7,CEWE_SK_3027,1,79.5,,,
E8,CEWE_SK_3027,1,79.4,,,
E9,CEWE_SK_3027,1,79.4,,,
E10,CEWE_SK_3027,1,73.4,,,
E11,CEWE_SK_3027,1,73.9,,,
E12,CEWE_SK_3027,1,74.4,,,
F1,CEWE_SK_3033,1,78.6,,,
F2,CEWE_SK_3033,1,79.5,,,
F3,CEWE_SK_3033,1,79.9,,,
F4,CEWE_SK_3033,1,73.5,,,
F5,CEWE_SK_3033,1,74.3,,,
F6,CEWE_SK_3033,0,,,,
F7,CEWE_SK_3039,1,78.3,,,
F8,CEWE_SK_3039,1,78.4,,,
F9,CEWE_SK_3039,1,78.6,,,
F10,CEWE_SK_3039,1,73,,,
F11,CEWE_SK_3039,1,73.8,,,
F12,CEWE_SK_3039,0,,,,
G1,CEWE_SK_3032,1,78.9,,,
G2,CEWE_SK_3032,1,79.8,,,
G3,CEWE_SK_3032,1,80.2,,,
G4,CEWE_SK_3032,0,,,,
G5,CEWE_SK_3032,0,,,,
G6,CEWE_SK_3032,0,,,,
G7,CEWE_SK_3024,1,79.9,,,
G8,CEWE_SK_3024,1,79.8,,,
G9,CEWE_SK_3024,1,79.7,,,
G10,CEWE_SK_3024,0,,,,
G11,CEWE_SK_3024,0,,,,
G12,CEWE_SK_3024,0,,,,
H1,NTC,0,,,,
H2,NTC,0,,,,
H3,NTC,0,,,,
H4,NTC,0,,,,
H5,NTC,0,,,,
H6,NTC,0,,,,
H7,water,0,,,,
H8,water,0,,,,
H9,water,0,,,,
H10,water,0,,,,
H11,water,0,,,,
H12,water,0,,,,
,,,,,,
Analysis Parameters,,,,,,
Type of Application,Melting Curve,,,,,
Dye(s),SYBR,,,,,
Inverted Data,OFF,,,,,
