Mouse_ID,Feces_g,year,counter,date_count,N_oocysts_sq1,N_oocysts_sq2,N_oocysts_sq3,N_oocysts_sq4,N_oocysts_sq5,N_oocysts_sq6,N_oocysts_sq7,N_oocysts_sq8,N_oocysts_all_sq,NCells,dilution_ml,OPG
AA_858,0.18,2021,Josi,,,,,,,,,,?,none,1,
AA_859,0.61,2021,Josi,,,,,,,,,,?,none,1,
AA_860,0.8,2021,Josi,11/30/2021,0,0,0,0,,,,,0,4,1,0
AA_861,0.23,2021,Josi,11/30/2021,8,6,2,12,,,,,0,4,1,0
AA_862,0.18,2021,Josi,12/1/2021,2,0,0,1,3,1,0,2,9,8,1,7812.5
AA_863,0.08,2021,Josi,12/1/2021,1,1,1,2,1,3,0,3,12,8,1,23437.5
AA_864,0.46,2021,Josi,12/1/2021,0,0,0,0,0,0,0,0,0,8,1,0
AA_865,0.35,2021,Josi,12/1/2021,1,0,0,0,0,0,0,0,1,8,1,446.428571428571
AA_866,0.23,2021,Josi,12/1/2021,1,1,0,0,0,0,0,0,2,8,1,1358.69565217391
AA_867,0.44,2021,Josi,12/1/2021,0,0,0,0,0,0,0,0,0,8,1,0
AA_868,0.18,2021,Josi,12/6/2021,0,0,0,0,1,0,0,0,1,8,1,868.055555555556
AA_869,0.24,2021,Josi,12/6/2021,0,0,0,0,0,0,0,0,0,8,1,0
AA_870,0.17,2021,Josi,12/6/2021,0,0,0,0,0,0,0,0,0,8,1,0
AA_871,0.34,2021,Josi,12/6/2021,0,0,0,0,0,0,0,0,0,8,1,0
AA_872,0.29,2021,Josi,12/6/2021,0,0,1,0,0,0,0,0,1,8,1,538.793103448276
AA_873,0.2,2021,Josi,12/6/2021,0,0,0,0,0,0,0,0,0,8,1,0
AA_874,none,2021,Josi,12/6/2021,,,,,,,,,,8,1,#VALUE!
AA_875,0.21,2021,Josi,12/6/2021,0,1,0,1,0,0,1,0,3,8,1,2232.14285714286
AA_876,none,2021,Josi,12/6/2021,,,,,,,,,,8,1,#VALUE!
AA_877,none,2021,Josi,12/6/2021,,,,,,,,,,8,1,#VALUE!
AA_878,0.31,2021,Josi,12/6/2021,0,0,0,0,0,0,0,0,0,8,1,0
AA_879,none,2021,Josi,12/6/2021,,,,,,,,,,8,1,#VALUE!
AA_880,0.2,2021,Josi,12/6/2021,2,4,0,1,0,1,1,2,11,8,1,8593.75
AA_881,none,2021,Josi,12/6/2021,,,,,,,,,,8,1,#VALUE!
AA_882,0.13,2021,Josi,12/6/2021,0,0,0,1,0,0,0,0,1,8,1,1201.92307692308
AA_883,0.09,2021,Josi,12/6/2021,0,0,0,0,0,0,0,0,0,8,1,0
AA_884,0.08,2021,Josi,12/6/2021,1,1,0,0,0,1,0,0,3,8,1,5859.375
AA_885,0.07,2021,Josi,12/7/2021,0,1,1,0,0,0,0,0,2,8,1,4464.28571428571
AA_886,0.13,2021,Josi,12/7/2021,0,0,0,0,0,0,0,0,0,8,1,0
AA_887,0.21,2021,Josi,12/7/2021,0,0,0,0,0,0,0,0,0,8,1,0
AA_888,0.2,2021,Josi,12/7/2021,0,0,0,0,0,0,0,0,0,8,1,0
AA_889,0.52,2021,Josi,12/7/2021,0,0,0,0,0,0,0,0,0,8,1,0
AA_890,0.01,2021,Josi,12/7/2021,0,0,0,0,0,0,0,0,0,8,1,0
AA_891,0.04,2021,Josi,12/7/2021,0,0,0,0,0,0,0,0,0,8,1,0
AA_892,0.09,2021,Josi,12/7/2021,0,0,0,0,0,0,0,0,0,8,1,0
AA_893,0.24,2021,Josi,12/7/2021,0,0,0,0,0,0,0,0,0,8,1,0
AA_894,0.36,2021,Josi,12/7/2021,0,0,0,0,0,0,0,0,0,8,1,0
AA_895,0.09,2021,Josi,12/7/2021,0,0,0,0,0,0,0,0,0,8,1,0
AA_896,none,2021,Josi,12/7/2021,,,,,,,,,,8,1,#VALUE!
AA_897,0.2,2021,Josi,12/7/2021,0,0,0,0,0,0,0,1,1,8,1,781.25
AA_898,0.42,2021,Josi,12/7/2021,0,0,0,0,0,0,0,0,0,8,1,0
AA_899,0.16,2021,Josi,12/7/2021,0,0,0,0,1,0,0,0,1,8,1,976.5625
AA_900,0.6,2021,Josi,12/7/2021,0,0,0,0,0,0,0,0,0,8,1,0
AA_901,0.12,2021,Josi,12/7/2021,0,0,0,0,0,0,0,0,0,8,1,0
