Area,Address,Latitude,Longitude,Trap_set_date,Trap_set_time,Trap_number,Trap_collect_date,Trap_collect_time,Rodents_caught,Mus_caught
NE,"Zehdenicker Str. 11, Joachimstal",52.97852,13.733054,20/09/2022,13:14,42,21/09/2022,09:37,5,5
NE,"Zehdenicker Str. 8, Joachimstal",52.978408,13.733637,20/09/2022,13:50,34,21/09/2022,09:00,20,20
SE,Chausseestr. Altglietzen,52.8371,14.0849,20/09/2022,15:45,29,21/09/2022,09:15,1,1
SE,Königlich Reetz 14,52.7747,14.1525,20/09/2022,15:10,12,21/09/2022,08:50,7,7
ISI,Bergschorfer Str. 1,52.9572,13.2835,20/09/2022,16:00,35,21/09/2022,11:20,4,4
SE,Croustillier 17,52.7914,14.1161,20/09/2022,14:45,30,21/09/2022,08:45,1,1
ISI,Bradinger Str. 21/22,52.9716,13.2767,20/09/2022,17:20,29,21/09/2022,NA,1,1
ISI,Große Drift,52.8786,13.4476,20/09/2022,13:30,28,21/09/2022,09:30,1,0
MA,Alt-Gielsdorf 67 ,52.6053,13.8756,20/09/2022,14:41,27,21/09/2022,10:20,11,11
NE,Karl-Liebknecht-Str. 36C,52.858474,13.955803,21/09/2022,14:50,27,22/09/2022,16:00,2,2
X,Neuendorf 31,52.887936,14.06121,21/09/2022,13:00,19,22/09/2022,13:00,1,1
SE,Kerstenbruch 10,52.7383,14.2625,21/09/2022,15:00,11,22/09/2022,10:21,1,1
MA,Münchenhofer Str. 1,52.4978,13.6761,21/09/2022,12:40,12,22/09/2022,11:20,1,1
MA,Langer Landweg,52.6179,13.8776,21/09/2022,14:30,42,22/09/2022,10:10,1,1
MA,Bunzelweg 9,52.47347,13.69029,21/09/2022,13:45,29,22/09/2022,12:00,5,5
ISI,Danewitz 2,52.73707,13.6595,21/09/2022,14:50,30,22/09/2022,09:30,13,13
