# File Name: qPCR_eimeria_field_faeces_JK_07022022_2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-02-07 01:32:05 PM UTC
# Run End Date/Time: 2022-02-07 02:51:33 PM UTC
# Run Duration: 79 minutes 27 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-02-07 03:40:32 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-02-07 03:40:46 PM UTC
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4"
"1","A1","false","AA622","Eim","UNKNOWN","SYBR","None","Amp","1.447452163695002","","","31.80490910330593","0.8655513675841747","32.1779397707808","0.3295526300361446","true","0.10398790081334369","true","3","27","81.57884979248047","","",""
"2","A2","false","AA622","Eim","UNKNOWN","SYBR","None","Amp","1.4305218260965935","","","32.42957827095192","0.8569663607983491","32.1779397707808","0.3295526300361446","true","0.10398790081334369","true","3","26","82.48451232910156","","",""
"3","A3","false","AA622","Eim","UNKNOWN","SYBR","None","Amp","1.4737088645447165","","","32.29933193808455","0.8534634094695959","32.1779397707808","0.3295526300361446","true","0.10398790081334369","true","3","29","80.67318725585938","","",""
"4","A4","false","AA651","Eim","UNKNOWN","SYBR","None","Amp","1.446885259317017","","","24.512835732684728","0.9196216317574178","24.337087448429216","0.19071738991510565","true","0.10398790081334369","true","3","20","75.08827209472656","","",""
"5","A5","false","AA651","Eim","UNKNOWN","SYBR","None","Amp","1.45150111558261","","","24.3641373170745","0.8930359260030138","24.337087448429216","0.19071738991510565","true","0.10398790081334369","true","3","21","75.09855651855469","","",""
"6","A6","false","AA651","Eim","UNKNOWN","SYBR","None","Amp","1.4340354167960025","","","24.13428929552842","0.8926376054284182","24.337087448429216","0.19071738991510565","true","0.10398790081334369","true","3","20","74.94750213623047","","",""
"7","A7","false","AA594","Eim","UNKNOWN","SYBR","None","Amp","1.4758939561383153","","","29.417852600198955","0.9407593703197683","30.15784629644976","0.6991480946186298","true","0.10398790081334369","true","3","26","80.68769073486328","","",""
"8","A8","false","AA594","Eim","UNKNOWN","SYBR","None","Amp","1.4650310845981525","","","30.807333851649553","0.9188931393549655","30.15784629644976","0.6991480946186298","true","0.10398790081334369","true","3","26","80.38557434082031","","",""
"9","A9","false","AA594","Eim","UNKNOWN","SYBR","None","Amp","1.4960502857341886","","","30.248352437500756","0.922996838415483","30.15784629644976","0.6991480946186298","true","0.10398790081334369","true","3","25","80.70586395263672","","",""
"10","A10","false","AA592","Eim","UNKNOWN","SYBR","None","Amp","1.4687756911931997","","","22.882209620703016","0.9417129446989752","22.74727105844329","0.14283640105335","true","0.10398790081334369","true","3","17","75.1120376586914","","",""
