# File Name: qPCR_eimeria_field_faeces_FW_27012022.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-01-27 02:45:26 PM UTC
# Run End Date/Time: 2022-01-27 04:06:06 PM UTC
# Run Duration: 80 minutes 39 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-01-28 02:47:00 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-01-28 02:47:27 PM UTC
"Well","Well Position","Reading Number","Target","Temperature","Fluorescence","Derivative"
"1","A1","1","Eim","59.99369812011719","659006.0625","13681.5849609375"
"1","A1","2","Eim","60.29587173461914","662398.125","13729.0029296875"
"1","A1","3","Eim","60.59804153442383","661073.875","13995.8203125"
"1","A1","4","Eim","60.90021514892578","658123.375","14425.79296875"
"1","A1","5","Eim","61.20238494873047","653267.875","14927.732421875"
"1","A1","6","Eim","61.50455856323242","648648.875","15384.02734375"
"1","A1","7","Eim","61.80672836303711","643809.6875","15682.9501953125"
"1","A1","8","Eim","62.10890197753906","639147.125","15760.7919921875"
"1","A1","9","Eim","62.41107177734375","632820.125","15617.4345703125"
"1","A1","10","Eim","62.71324157714844","629460.1875","15310.9697265625"
"1","A1","11","Eim","63.01541519165039","621936.0625","14928.4375"
"1","A1","12","Eim","63.31758499145508","617748.375","14543.3330078125"
"1","A1","13","Eim","63.61975860595703","614846.9375","14179.7509765625"
"1","A1","14","Eim","63.92192840576172","612886.4375","13786.9169921875"
"1","A1","15","Eim","64.2240982055664","606939.625","13317.826171875"
"1","A1","16","Eim","64.52627563476562","601858.625","12740.4267578125"
"1","A1","17","Eim","64.82844543457031","596792.375","12077.4013671875"
"1","A1","18","Eim","65.130615234375","593935.9375","11411.4365234375"
"1","A1","19","Eim","65.43278503417969","589231.25","10848.8349609375"
"1","A1","20","Eim","65.73495483398438","587474.1875","10471.697265625"
"1","A1","21","Eim","66.03712463378906","585014.1875","10305.55078125"
"1","A1","22","Eim","66.33930206298828","582965.8125","10320.916015625"
"1","A1","23","Eim","66.64147186279297","579386.6875","10460.203125"
"1","A1","24","Eim","66.94364166259766","575395.8125","10672.5546875"
"1","A1","25","Eim","67.24581146240234","572807.8125","10933.3427734375"
"1","A1","26","Eim","67.54798889160156","568315.625","11239.5859375"
"1","A1","27","Eim","67.85015869140625","566123.625","11590.68359375"
"1","A1","28","Eim","68.15232849121094","561970.375","11971.181640625"
"1","A1","29","Eim","68.45449829101562","560108.125","12351.080078125"
"1","A1","30","Eim","68.75666809082031","554469.8125","12701.2939453125"
