# File Name: qPCR_eimeria_field_faeces_FW_27012022.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-01-27 02:45:26 PM UTC
# Run End Date/Time: 2022-01-27 04:06:06 PM UTC
# Run Duration: 80 minutes 39 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-01-28 02:47:00 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-01-28 02:47:27 PM UTC
"Sample","Target","EqCq Mean","Adjusted EqCq Mean","Delta EqCq Mean","Delta EqCq SD","Delta EqCq SE","Delta Delta EqCq","Rq","Rq Min","Rq Max","Omit"
"AA860","Eim","31.37655017882255","31.37655017882255","","","","","","","","false"
"AA863","Eim","25.729074889021074","25.729074889021074","","","","","","","","false"
"AA865","Eim","32.19279596515277","32.19279596515277","","","","","","","","false"
"AA868","Eim","33.14294734125536","33.14294734125536","","","","","","","","false"
"AA875","Eim","19.23425846389773","19.23425846389773","","","","","","","","false"
"AA880","Eim","22.538958713838294","22.538958713838294","","","","","","","","false"
"AA902","Eim","22.466570982606356","22.466570982606356","","","","","","","","false"
"AA920","Eim","30.914330397000857","30.914330397000857","","","","","","","","false"
"AA946","Eim","30.746872037536747","30.746872037536747","","","","","","","","false"
"AA950","Eim","31.01060182038912","31.01060182038912","","","","","","","","false"
