# File Name: qPCR_eimeria_field_faeces_FW_27012022.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-01-27 02:45:26 PM UTC
# Run End Date/Time: 2022-01-27 04:06:06 PM UTC
# Run Duration: 80 minutes 39 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-01-28 02:47:00 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-01-28 02:47:27 PM UTC
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"AA860","Eim","3","-","0","31.376550178822555","0.10593203274476246","0.06115988762099286",
"AA863","Eim","3","-","0","25.729074889021074","0.10105890033208859","0.05834638331073891",
"AA865","Eim","3","-","0","32.19279596515277","0.3208278895967573","0.18523006842222736",
"AA868","Eim","3","-","0","33.14294734125536","0.3891981126382973","0.22470363509981525",
"AA875","Eim","3","-","0","19.23425846389773","0.05859806061155447","0.03383160606807098",
"AA880","Eim","3","-","0","22.538958713838298","0.04912696671307394","0.028363467456263027",
"AA902","Eim","3","-","0","22.466570982606356","0.05263236075027106","0.03038730764725449",
"AA920","Eim","3","-","0","30.914330397000857","0.5534025354588041","0.319507102817362",
"AA946","Eim","3","-","0","30.746872037536747","0.08803276216221352","0.05082573893186028",
"AA950","Eim","3","-","0","31.010601820389116","0.08153417834219807","0.04707377981402302",
"NTC","Eim","3","-","0","34.31110216498416","","",
