# File Name: qPCR_eimeria_field_faeces_FW_27012022.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-01-27 02:45:26 PM UTC
# Run End Date/Time: 2022-01-27 04:06:06 PM UTC
# Run Duration: 80 minutes 39 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-01-28 02:47:00 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-01-28 02:47:27 PM UTC
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4"
"1","A1","false","AA946","Eim","UNKNOWN","SYBR","None","Amp","1.3738088042061036","","","30.80730181131475","0.9186578447814725","30.746872037536747","0.08803276216221352","true","0.13174884066468623","true","3","26","77.82181549072266","81.59895324707031","",""
"2","A2","false","AA946","Eim","UNKNOWN","SYBR","None","Amp","1.3947325240031865","","","30.645869093430697","0.8977428651886685","30.746872037536747","0.08803276216221352","true","0.13174884066468623","true","3","26","77.67073059082031","","",""
"3","A3","false","AA946","Eim","UNKNOWN","SYBR","None","Amp","1.3893241478478398","","","30.787445207864792","0.8787754993261239","30.746872037536747","0.08803276216221352","true","0.13174884066468623","true","3","27","77.67073059082031","81.90113067626953","62.259986877441406",""
"4","A4","false","AA860","Eim","UNKNOWN","SYBR","None","Amp","1.3925728593731552","","","31.30323051127376","0.9002571277294765","31.376550178822555","0.10593203274476246","true","0.13174884066468623","true","3","27","81.14569854736328","74.95118713378906","",""
"5","A5","false","AA860","Eim","UNKNOWN","SYBR","None","Amp","1.4463566922779596","","","31.32841752870545","0.9143848014001568","31.376550178822555","0.10593203274476246","true","0.13174884066468623","true","3","27","74.50119018554688","81.30162811279297","87.95094299316406",""
"6","A6","false","AA860","Eim","UNKNOWN","SYBR","None","Amp","1.431059533686871","","","31.498002496488446","0.9128725611617701","31.376550178822555","0.10593203274476246","true","0.13174884066468623","true","3","27","81.15050506591797","83.71955871582031","87.64869689941406",""
"13","B1","false","AA875","Eim","UNKNOWN","SYBR","None","Amp","1.4101365446669614","","","19.262715863233765","0.9138120044902298","19.23425846389773","0.05859806061155447","true","0.13174884066468623","true","3","15","75.4044418334961","","",""
"14","B2","false","AA875","Eim","UNKNOWN","SYBR","None","Amp","1.4128875641812602","","","19.273193332815097","0.9157529328094158","19.23425846389773","0.05859806061155447","true","0.13174884066468623","true","3","15","75.25335693359375","","",""
"15","B3","false","AA875","Eim","UNKNOWN","SYBR","None","Amp","1.4191813429862696","","","19.16686619564433","0.9039876599640825","19.23425846389773","0.05859806061155447","true","0.13174884066468623","true","3","15","75.4044418334961","","",""
"16","B4","false","AA920","Eim","UNKNOWN","SYBR","None","Amp","1.322140793350899","","","31.372900766313393","0.861764512826894","30.914330397000857","0.5534025354588041","true","0.13174884066468623","true","3","27","76.15987396240234","72.08055877685547","83.10981750488281","61.80672836303711"
