# File Name: qPCR_eimeria_field_faeces_FW_28012022.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-01-28 02:33:23 PM UTC
# Run End Date/Time: 2022-01-28 03:54:21 PM UTC
# Run Duration: 80 minutes 58 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-01-28 03:12:47 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-01-28 03:13:03 PM UTC
"Well","Well Position","Cycle Number","Target","Rn","dRn","Sample","Omit"
"1","A1","1","Eim","0.6170486807823181","-0.029022711709014343","AA899","false"
"1","A1","2","Eim","0.6203836798667908","-0.029402780349437958","AA899","false"
"1","A1","3","Eim","0.6346668004989624","-0.018834727442162708","AA899","false"
"1","A1","4","Eim","0.6464176177978516","-0.010798977868169819","AA899","false"
"1","A1","5","Eim","0.6515030860900879","-0.009428577300829761","AA899","false"
"1","A1","6","Eim","0.6621337532997131","-0.0025129778161007868","AA899","false"
"1","A1","7","Eim","0.6696277260780334","0.0012659272373232553","AA899","false"
"1","A1","8","Eim","0.6751582026481628","0.0030813360825562683","AA899","false"
"1","A1","9","Eim","0.6825366020202637","0.0067446677297608275","AA899","false"
"1","A1","10","Eim","0.6855402588844299","0.006033256869030817","AA899","false"
"1","A1","11","Eim","0.6911140084266663","0.007891938686370874","AA899","false"
"1","A1","12","Eim","0.6971912384033203","0.010254100938128657","AA899","false"
"1","A1","13","Eim","0.6990725994110107","0.008420394220922705","AA899","false"
"1","A1","14","Eim","0.7025598883628845","0.008192615447900214","AA899","false"
"1","A1","15","Eim","0.705745279788971","0.007662939149090369","AA899","false"
"1","A1","16","Eim","0.7058860659599304","0.004088657595153571","AA899","false"
"1","A1","17","Eim","0.7097472548484802","0.0042347787588071055","AA899","false"
"1","A1","18","Eim","0.7069317698478699","-0.002295773966699627","AA899","false"
"1","A1","19","Eim","0.7106925845146179","-0.0022500270248478507","AA899","false"
"1","A1","20","Eim","0.7180641293525696","0.001406450088207539","AA899","false"
"1","A1","21","Eim","0.7224000096321106","0.002027262642852284","AA899","false"
"1","A1","22","Eim","0.7229416966438293","-0.0011461180703252363","AA899","false"
"1","A1","23","Eim","0.7237342596054077","-0.004068622833643249","AA899","false"
"1","A1","24","Eim","0.731429398059845","-8.855210410226326E-5","AA899","false"
"1","A1","25","Eim","0.7352015972137451","-3.1420675098387234E-5","AA899","false"
"1","A1","26","Eim","0.7371654510498047","-0.0017826345639350874","AA899","false"
"1","A1","27","Eim","0.7343944311141968","-0.008268722224439268","AA899","false"
"1","A1","28","Eim","0.736581027507782","-0.009797193555750445","AA899","false"
"1","A1","29","Eim","0.7440671920776367","-0.006026096710791979","AA899","false"
"1","A1","30","Eim","0.7701532244682312","0.016344867954906233","AA899","false"
"1","A1","31","Eim","0.8016583323478699","0.04413490810964864","AA899","false"
"1","A1","32","Eim","0.8479589819908142","0.0867204900276967","AA899","false"
"1","A1","33","Eim","0.9313603043556213","0.16640674466760744","AA899","false"
"1","A1","34","Eim","1.091154932975769","0.3224863055628589","AA899","false"
"1","A1","35","Eim","1.35621178150177","0.5838280863639635","AA899","false"
"1","A1","36","Eim","1.7064393758773804","0.9303406130146776","AA899","false"
"1","A1","37","Eim","2.0311756134033203","1.2513617828157215","AA899","false"
"1","A1","38","Eim","2.2037956714630127","1.4202667731505174","AA899","false"
"1","A1","39","Eim","2.276907205581665","1.4896632395442735","AA899","false"
"1","A1","40","Eim","2.3149895668029785","1.5240305330406907","AA899","false"
"2","A2","1","Eim","0.5965345501899719","-0.03901284657991845","AA899","false"
"2","A2","2","Eim","0.6048210859298706","-0.03376198365138129","AA899","false"
"2","A2","3","Eim","0.6202947497367859","-0.02132399265582742","AA899","false"
"2","A2","4","Eim","0.6315584778785706","-0.013095937325404275","AA899","false"
"2","A2","5","Eim","0.6386305689811707","-0.009059519034165589","AA899","false"
"2","A2","6","Eim","0.6468559503555298","-0.00386981047116798","AA899","false"
"2","A2","7","Eim","0.6472750306129456","-0.00648640302511362","AA899","false"
"2","A2","8","Eim","0.6563109755516052","-4.8613089781536414E-4","AA899","false"
"2","A2","9","Eim","0.6735702157020569","0.013737436441274772","AA899","false"
"2","A2","10","Eim","0.6789546012878418","0.016086149215698273","AA899","false"
"2","A2","11","Eim","0.679517924785614","0.013613799902108967","AA899","false"
"2","A2","12","Eim","0.6800464987754822","0.011106701080615719","AA899","false"
"2","A2","13","Eim","0.6797934770584106","0.007818006552182663","AA899","false"
"2","A2","14","Eim","0.680329442024231","0.005318298706641565","AA899","false"
"2","A2","15","Eim","0.68596351146698","0.007916695338029175","AA899","false"
"2","A2","16","Eim","0.6911885738372803","0.010106084896967946","AA899","false"
"2","A2","17","Eim","0.689217209815979","0.005099048064305265","AA899","false"
"2","A2","18","Eim","0.6849053502082825","-0.0022484843547527908","AA899","false"
"2","A2","19","Eim","0.6878476142883301","-0.002341893086066595","AA899","false"
"2","A2","20","Eim","0.6945928335189819","0.0013676533332237376","AA899","false"
"2","A2","21","Eim","0.6975075602531433","0.0012467072560237028","AA899","false"
"2","A2","22","Eim","0.6955220103263855","-0.0037745154820955215","AA899","false"
"2","A2","23","Eim","0.6935142278671265","-0.008817970752716078","AA899","false"
"2","A2","24","Eim","0.6994710564613342","-0.0058968149698697256","AA899","false"
"2","A2","25","Eim","0.7010796070098877","-0.0073239372326777815","AA899","false"
"2","A2","26","Eim","0.7090739011764526","-0.002365315877474252","AA899","false"
"2","A2","27","Eim","0.7105297446250916","-0.003945145240196859","AA899","false"
"2","A2","28","Eim","0.7151298522949219","-0.002380710381727948","AA899","false"
"2","A2","29","Eim","0.7192957997322083","-0.001250435755803094","AA899","false"
"2","A2","30","Eim","0.7364662885665894","0.012884380267216597","AA899","false"
"2","A2","31","Eim","0.7676255106925964","0.041007929581862265","AA899","false"
"2","A2","32","Eim","0.8110639452934265","0.08141069137133082","AA899","false"
"2","A2","33","Eim","0.9006384015083313","0.1679494747748742","AA899","false"
"2","A2","34","Eim","1.055405855178833","0.3196812556340144","AA899","false"
