# File Name: qPCR_eimeria_field_faeces_FW_28012022.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-01-28 02:33:23 PM UTC
# Run End Date/Time: 2022-01-28 03:54:21 PM UTC
# Run Duration: 80 minutes 58 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-01-28 03:12:47 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-01-28 03:13:03 PM UTC
"Well","Well Position","Cycle Number","SYBR","ROX"
"1","A1","1","206438.62","186926.36"
"1","A1","2","111021.59","179923.56"
"1","A1","3","210865.94","187539.83"
"1","A1","4","112135.94","180752.56"
"1","A1","5","218108.0","188377.19"
"1","A1","6","115355.26","181757.19"
"1","A1","7","224007.52","188734.95"
"1","A1","8","117727.73","182123.33"
"1","A1","9","228776.0","189071.19"
"1","A1","10","118685.28","182171.48"
"1","A1","11","232657.16","189076.0"
"1","A1","12","120954.91","182674.44"
"1","A1","13","235526.9","189234.56"
"1","A1","14","122445.31","182855.8"
"1","A1","15","237597.88","189133.11"
"1","A1","16","123701.07","183217.9"
"1","A1","17","239514.4","189061.17"
"1","A1","18","125174.45","183395.95"
"1","A1","19","241388.28","189129.83"
"1","A1","20","125648.54","183283.97"
"1","A1","21","244738.19","189489.81"
"1","A1","22","126845.14","183537.22"
"1","A1","23","246063.58","189962.19"
"1","A1","24","128430.15","184210.8"
"1","A1","25","248239.23","190325.19"
"1","A1","26","128870.87","184345.47"
"1","A1","27","250671.95","190703.19"
"1","A1","28","129626.18","184505.52"
"1","A1","29","251808.67","191143.97"
"1","A1","30","130108.94","184356.8"
"1","A1","31","251913.56","191203.86"
"1","A1","32","130050.39","184237.08"
"1","A1","33","253808.98","191068.06"
"1","A1","34","130756.27","184229.34"
"1","A1","35","254907.8","191214.08"
"1","A1","36","130726.22","184920.56"
"1","A1","37","257013.67","191411.9"
"1","A1","38","131473.83","184993.95"
"1","A1","39","257455.6","191519.52"
"1","A1","40","132872.78","185043.06"
