# File Name: qPCR_eimeria_field_faeces_JK_09022022.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-02-09 10:37:01 AM UTC
# Run End Date/Time: 2022-02-09 11:58:09 AM UTC
# Run Duration: 81 minutes 8 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-02-09 12:51:44 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-02-09 12:52:30 PM UTC
"Well","Well Position","Sample","Target","Tm","Melt Peak Height"
"1","A1","AA792","Eim","74.3374252319336","254043.9375"
"1","A1","AA792","Eim","67.0900650024414","30645.177734375"
"1","A1","AA792","Eim","0.0","0.0"
"1","A1","AA792","Eim","0.0","0.0"
"1","A1","AA792","Eim","0.0","0.0"
"2","A2","AA792","Eim","74.18643188476562","218434.34375"
"2","A2","AA792","Eim","86.1143798828125","17.141357421875"
"2","A2","AA792","Eim","0.0","0.0"
"2","A2","AA792","Eim","0.0","0.0"
"2","A2","AA792","Eim","0.0","0.0"
"3","A3","AA792","Eim","74.18643188476562","224655.328125"
"3","A3","AA792","Eim","91.39891052246094","-152.391357421875"
"3","A3","AA792","Eim","0.0","0.0"
"3","A3","AA792","Eim","0.0","0.0"
"3","A3","AA792","Eim","0.0","0.0"
"4","A4","AA682","Eim","80.52787017822266","54193.2578125"
"4","A4","AA682","Eim","84.60450744628906","51559.828125"
"4","A4","AA682","Eim","91.2479248046875","622.53076171875"
"4","A4","AA682","Eim","0.0","0.0"
"4","A4","AA682","Eim","0.0","0.0"
"5","A5","AA682","Eim","74.4965591430664","51496.81640625"
"5","A5","AA682","Eim","84.31735229492188","19793.98046875"
"5","A5","AA682","Eim","80.69121551513672","21476.66796875"
"5","A5","AA682","Eim","0.0","0.0"
"5","A5","AA682","Eim","0.0","0.0"
"6","A6","AA682","Eim","74.4965591430664","50974.54296875"
"6","A6","AA682","Eim","84.61953735351562","29325.046875"
"6","A6","AA682","Eim","80.8423080444336","25920.486328125"
"6","A6","AA682","Eim","0.0","0.0"
"6","A6","AA682","Eim","0.0","0.0"
"7","A7","AA705","Eim","77.66943359375","49619.08203125"
"7","A7","AA705","Eim","82.20211029052734","22070.45703125"
"7","A7","AA705","Eim","72.38130950927734","19868.56640625"
"7","A7","AA705","Eim","0.0","0.0"
"7","A7","AA705","Eim","0.0","0.0"
"8","A8","AA705","Eim","74.64765167236328","49255.71484375"
"8","A8","AA705","Eim","81.89993286132812","20679.83984375"
"8","A8","AA705","Eim","92.929443359375","260.94140625"
"8","A8","AA705","Eim","0.0","0.0"
"8","A8","AA705","Eim","0.0","0.0"
"9","A9","AA705","Eim","82.67530822753906","37121.609375"
"9","A9","AA705","Eim","66.64732360839844","8072.96923828125"
"9","A9","AA705","Eim","91.1429214477539","1619.74462890625"
"9","A9","AA705","Eim","77.38304901123047","19681.09375"
"9","A9","AA705","Eim","93.10861206054688","1501.392578125"
"10","A10","AA681","Eim","81.76806640625","24802.974609375"
"10","A10","AA681","Eim","78.74391174316406","23196.3984375"
"10","A10","AA681","Eim","68.91543579101562","3862.264404296875"
"10","A10","AA681","Eim","89.78205871582031","555.906005859375"
"10","A10","AA681","Eim","93.71344757080078","336.364013671875"
"11","A11","AA681","Eim","74.5101089477539","47804.72265625"
"11","A11","AA681","Eim","84.33859252929688","31131.37890625"
"11","A11","AA681","Eim","91.4453353881836","387.482421875"
"11","A11","AA681","Eim","0.0","0.0"
"11","A11","AA681","Eim","0.0","0.0"
"12","A12","AA681","Eim","80.10478210449219","40863.6640625"
"12","A12","AA681","Eim","0.0","0.0"
"12","A12","AA681","Eim","0.0","0.0"
"12","A12","AA681","Eim","0.0","0.0"
"12","A12","AA681","Eim","0.0","0.0"
"13","B1","AA758","Eim","80.67886352539062","59172.5703125"
"13","B1","AA758","Eim","93.05975341796875","1000.48583984375"
"13","B1","AA758","Eim","0.0","0.0"
"13","B1","AA758","Eim","0.0","0.0"
"13","B1","AA758","Eim","0.0","0.0"
"14","B2","AA758","Eim","80.9808349609375","34756.0078125"
"14","B2","AA758","Eim","74.18643188476562","29983.1015625"
"14","B2","AA758","Eim","92.90876770019531","-299.7978515625"
"14","B2","AA758","Eim","0.0","0.0"
"14","B2","AA758","Eim","0.0","0.0"
"15","B3","AA758","Eim","81.43379211425781","46009.5078125"
"15","B3","AA758","Eim","93.5127182006836","115.4599609375"
"15","B3","AA758","Eim","0.0","0.0"
"15","B3","AA758","Eim","0.0","0.0"
"15","B3","AA758","Eim","0.0","0.0"
"16","B4","AA729","Eim","83.547607421875","49726.0390625"
"16","B4","AA729","Eim","75.39433288574219","26483.86328125"
"16","B4","AA729","Eim","79.16899108886719","32415.583984375"
"16","B4","AA729","Eim","0.0","0.0"
"16","B4","AA729","Eim","0.0","0.0"
"17","B5","AA729","Eim","74.79873657226562","58593.359375"
"17","B5","AA729","Eim","83.86408996582031","9391.345703125"
"17","B5","AA729","Eim","0.0","0.0"
"17","B5","AA729","Eim","0.0","0.0"
"17","B5","AA729","Eim","0.0","0.0"
"18","B6","AA729","Eim","74.64765167236328","54179.2890625"
"18","B6","AA729","Eim","84.31735229492188","23192.46875"
"18","B6","AA729","Eim","80.54013061523438","18418.27734375"
"18","B6","AA729","Eim","93.38270568847656","-189.9326171875"
"18","B6","AA729","Eim","0.0","0.0"
"19","B7","AA771","Eim","83.86408996582031","64846.875"
"19","B7","AA771","Eim","74.04328918457031","20209.501953125"
"19","B7","AA771","Eim","0.0","0.0"
"19","B7","AA771","Eim","0.0","0.0"
"19","B7","AA771","Eim","0.0","0.0"
"20","B8","AA771","Eim","83.5619125366211","36828.70703125"
"20","B8","AA771","Eim","71.0215072631836","9953.0"
"20","B8","AA771","Eim","0.0","0.0"
"20","B8","AA771","Eim","0.0","0.0"
"20","B8","AA771","Eim","0.0","0.0"
"21","B9","AA771","Eim","74.35890197753906","36351.83203125"
"21","B9","AA771","Eim","83.58255004882812","31996.994140625"
"21","B9","AA771","Eim","93.56224060058594","-228.4462890625"
"21","B9","AA771","Eim","0.0","0.0"
"21","B9","AA771","Eim","0.0","0.0"
"22","B10","AA688","Eim","75.26614379882812","153107.109375"
"22","B10","AA688","Eim","0.0","0.0"
"22","B10","AA688","Eim","0.0","0.0"
"22","B10","AA688","Eim","0.0","0.0"
"22","B10","AA688","Eim","0.0","0.0"
"23","B11","AA688","Eim","75.26614379882812","108893.0234375"
"23","B11","AA688","Eim","0.0","0.0"
"23","B11","AA688","Eim","0.0","0.0"
"23","B11","AA688","Eim","0.0","0.0"
"23","B11","AA688","Eim","0.0","0.0"
"24","B12","AA688","Eim","75.26614379882812","143718.0"
"24","B12","AA688","Eim","81.16323852539062","418.43994140625"
"24","B12","AA688","Eim","89.78205871582031","-122.889404296875"
"24","B12","AA688","Eim","0.0","0.0"
"24","B12","AA688","Eim","0.0","0.0"
"25","C1","AA839","Eim","74.7903823852539","201678.515625"
"25","C1","AA839","Eim","0.0","0.0"
"25","C1","AA839","Eim","0.0","0.0"
"25","C1","AA839","Eim","0.0","0.0"
"25","C1","AA839","Eim","0.0","0.0"
"26","C2","AA839","Eim","74.63939666748047","178071.859375"
"26","C2","AA839","Eim","0.0","0.0"
"26","C2","AA839","Eim","0.0","0.0"
"26","C2","AA839","Eim","0.0","0.0"
"26","C2","AA839","Eim","0.0","0.0"
"27","C3","AA839","Eim","74.63939666748047","152537.28125"
"27","C3","AA839","Eim","0.0","0.0"
"27","C3","AA839","Eim","0.0","0.0"
"27","C3","AA839","Eim","0.0","0.0"
"27","C3","AA839","Eim","0.0","0.0"
"28","C4","AA747","Eim","74.94136810302734","152037.453125"
"28","C4","AA747","Eim","0.0","0.0"
"28","C4","AA747","Eim","0.0","0.0"
"28","C4","AA747","Eim","0.0","0.0"
"28","C4","AA747","Eim","0.0","0.0"
"29","C5","AA747","Eim","74.79873657226562","115588.390625"
"29","C5","AA747","Eim","70.87042236328125","28641.609375"
"29","C5","AA747","Eim","0.0","0.0"
"29","C5","AA747","Eim","0.0","0.0"
"29","C5","AA747","Eim","0.0","0.0"
"30","C6","AA747","Eim","75.10091400146484","117107.203125"
"30","C6","AA747","Eim","71.17259979248047","30783.0625"
"30","C6","AA747","Eim","84.77062225341797","641.39306640625"
"30","C6","AA747","Eim","0.0","0.0"
"30","C6","AA747","Eim","0.0","0.0"
"31","C7","AA774","Eim","79.9357681274414","49149.34765625"
"31","C7","AA774","Eim","62.10724639892578","10722.943359375"
"31","C7","AA774","Eim","0.0","0.0"
"31","C7","AA774","Eim","0.0","0.0"
"31","C7","AA774","Eim","0.0","0.0"
"32","C8","AA774","Eim","79.78468322753906","34413.44921875"
"32","C8","AA774","Eim","84.46844482421875","14381.8134765625"
"32","C8","AA774","Eim","0.0","0.0"
"32","C8","AA774","Eim","0.0","0.0"
"32","C8","AA774","Eim","0.0","0.0"
"33","C9","AA774","Eim","80.70960998535156","37366.59765625"
"33","C9","AA774","Eim","74.35890197753906","28432.490234375"
"33","C9","AA774","Eim","62.111106872558594","5060.92919921875"
"33","C9","AA774","Eim","0.0","0.0"
"33","C9","AA774","Eim","0.0","0.0"
"34","C10","AA818","Eim","74.96372985839844","76318.03125"
"34","C10","AA818","Eim","81.61685180664062","22946.748046875"
"34","C10","AA818","Eim","62.41352081298828","10607.5478515625"
"34","C10","AA818","Eim","0.0","0.0"
"34","C10","AA818","Eim","0.0","0.0"
"35","C11","AA818","Eim","74.8125228881836","43757.078125"
"35","C11","AA818","Eim","79.65116119384766","12627.7705078125"
"35","C11","AA818","Eim","62.111106872558594","4083.300048828125"
"35","C11","AA818","Eim","84.64100646972656","9371.3798828125"
"35","C11","AA818","Eim","0.0","0.0"
"36","C12","AA818","Eim","75.26614379882812","44761.359375"
"36","C12","AA818","Eim","84.7922134399414","28252.16796875"
"36","C12","AA818","Eim","79.49995422363281","20291.29296875"
"36","C12","AA818","Eim","62.564727783203125","1348.45654296875"
"36","C12","AA818","Eim","0.0","0.0"
"37","D1","AA850","Eim","81.28280639648438","50664.3671875"
"37","D1","AA850","Eim","90.04002380371094","1600.17822265625"
"37","D1","AA850","Eim","0.0","0.0"
"37","D1","AA850","Eim","0.0","0.0"
"37","D1","AA850","Eim","0.0","0.0"
"38","D2","AA850","Eim","74.48841094970703","56971.7421875"
"38","D2","AA850","Eim","83.84957885742188","18069.916015625"
"38","D2","AA850","Eim","61.80553436279297","9317.197265625"
"38","D2","AA850","Eim","78.26307678222656","21427.49609375"
"38","D2","AA850","Eim","0.0","0.0"
"39","D3","AA850","Eim","77.50814056396484","58943.125"
"39","D3","AA850","Eim","81.28280639648438","42217.7421875"
"39","D3","AA850","Eim","90.19100952148438","1137.548828125"
"39","D3","AA850","Eim","0.0","0.0"
"39","D3","AA850","Eim","0.0","0.0"
"40","D4","AA783","Eim","74.48841094970703","97421.8125"
"40","D4","AA783","Eim","78.11209106445312","53499.515625"
"40","D4","AA783","Eim","84.60450744628906","4840.5107421875"
"40","D4","AA783","Eim","0.0","0.0"
"40","D4","AA783","Eim","0.0","0.0"
"41","D5","AA783","Eim","79.02923583984375","34559.51171875"
"41","D5","AA783","Eim","85.07279968261719","18752.771484375"
"41","D5","AA783","Eim","75.55418395996094","17177.796875"
"41","D5","AA783","Eim","0.0","0.0"
"41","D5","AA783","Eim","0.0","0.0"
"42","D6","AA783","Eim","79.18032836914062","23909.60546875"
"42","D6","AA783","Eim","85.07279968261719","22307.3984375"
"42","D6","AA783","Eim","90.81419372558594","394.20263671875"
"42","D6","AA783","Eim","94.59141540527344","294.96142578125"
"42","D6","AA783","Eim","0.0","0.0"
"43","D7","AA824","Eim","80.3890380859375","40401.984375"
"43","D7","AA824","Eim","85.97933959960938","19723.623046875"
"43","D7","AA824","Eim","0.0","0.0"
"43","D7","AA824","Eim","0.0","0.0"
"43","D7","AA824","Eim","0.0","0.0"
"44","D8","AA824","Eim","77.97161102294922","34876.296875"
"44","D8","AA824","Eim","84.61953735351562","20031.640625"
"44","D8","AA824","Eim","91.56964111328125","727.02783203125"
"44","D8","AA824","Eim","0.0","0.0"
"44","D8","AA824","Eim","0.0","0.0"
"45","D9","AA824","Eim","79.04633331298828","27142.34765625"
"45","D9","AA824","Eim","63.1695556640625","3382.346923828125"
"45","D9","AA824","Eim","0.0","0.0"
"45","D9","AA824","Eim","0.0","0.0"
"45","D9","AA824","Eim","0.0","0.0"
"46","D10","AA736","Eim","75.11493682861328","195861.609375"
"46","D10","AA736","Eim","0.0","0.0"
"46","D10","AA736","Eim","0.0","0.0"
"46","D10","AA736","Eim","0.0","0.0"
"46","D10","AA736","Eim","0.0","0.0"
"47","D11","AA736","Eim","74.96372985839844","118827.15625"
"47","D11","AA736","Eim","82.52410125732422","115.226806640625"
"47","D11","AA736","Eim","0.0","0.0"
"47","D11","AA736","Eim","0.0","0.0"
"47","D11","AA736","Eim","0.0","0.0"
"48","D12","AA736","Eim","75.26614379882812","97086.8203125"
"48","D12","AA736","Eim","0.0","0.0"
"48","D12","AA736","Eim","0.0","0.0"
"48","D12","AA736","Eim","0.0","0.0"
"48","D12","AA736","Eim","0.0","0.0"
"49","E1","AA748","Eim","74.94136810302734","81314.6328125"
"49","E1","AA748","Eim","79.6219482421875","33806.89453125"
"49","E1","AA748","Eim","61.80553436279297","8878.64453125"
"49","E1","AA748","Eim","68.59992980957031","17688.814453125"
"49","E1","AA748","Eim","0.0","0.0"
"50","E2","AA748","Eim","74.7903823852539","106527.2734375"
"50","E2","AA748","Eim","79.77294158935547","19207.16796875"
"50","E2","AA748","Eim","61.80553436279297","10469.7705078125"
"50","E2","AA748","Eim","68.44894409179688","18679.244140625"
"50","E2","AA748","Eim","0.0","0.0"
"51","E3","AA748","Eim","74.7903823852539","83493.8671875"
"51","E3","AA748","Eim","79.16899108886719","12463.9658203125"
"51","E3","AA748","Eim","61.80553436279297","8885.4384765625"
"51","E3","AA748","Eim","93.05975341796875","190.1494140625"
"51","E3","AA748","Eim","0.0","0.0"
"52","E4","AA786","Eim","83.84957885742188","54741.27734375"
"52","E4","AA786","Eim","76.90419006347656","33716.02734375"
"52","E4","AA786","Eim","0.0","0.0"
"52","E4","AA786","Eim","0.0","0.0"
"52","E4","AA786","Eim","0.0","0.0"
"53","E5","AA786","Eim","74.34547424316406","53597.6171875"
"53","E5","AA786","Eim","80.3890380859375","39626.85546875"
"53","E5","AA786","Eim","84.31735229492188","25512.28515625"
"53","E5","AA786","Eim","0.0","0.0"
"53","E5","AA786","Eim","0.0","0.0"
"54","E6","AA786","Eim","74.4965591430664","50547.01953125"
"54","E6","AA786","Eim","81.44666290283203","36121.58984375"
"54","E6","AA786","Eim","65.1290283203125","6107.94482421875"
"54","E6","AA786","Eim","0.0","0.0"
"54","E6","AA786","Eim","0.0","0.0"
"55","E7","AA756","Eim","80.8423080444336","44321.33984375"
"55","E7","AA756","Eim","75.85636138916016","25897.279296875"
"55","E7","AA756","Eim","90.96527862548828","159.1357421875"
"55","E7","AA756","Eim","94.13815307617188","-94.70947265625"
"55","E7","AA756","Eim","0.0","0.0"
