# File Name: qPCR_eimeria_field_faeces_JK_09022022.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-02-09 10:37:01 AM UTC
# Run End Date/Time: 2022-02-09 11:58:09 AM UTC
# Run Duration: 81 minutes 8 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-02-09 12:51:44 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-02-09 12:52:30 PM UTC
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4"
"1","A1","false","AA792","Eim","UNKNOWN","SYBR","None","Amp","1.4566636177770058","","","17.677580052767972","0.9890717785317249","17.084335877648417","0.6842184842063143","true","0.10566044958412003","true","3","12","74.3374252319336","","",""
"2","A2","false","AA792","Eim","UNKNOWN","SYBR","None","Amp","1.4472192980871899","","","17.23959977752866","0.9611844828285685","17.084335877648417","0.6842184842063143","true","0.10566044958412003","true","3","12","74.18643188476562","","",""
"3","A3","false","AA792","Eim","UNKNOWN","SYBR","None","Amp","1.4453664133477822","","","16.335827802648623","0.9252892510713053","17.084335877648417","0.6842184842063143","true","0.10566044958412003","true","3","12","74.18643188476562","","",""
"4","A4","false","AA682","Eim","UNKNOWN","SYBR","None","Amp","1.4579110738492653","","","33.329282320553475","0.9106533971458213","32.58434061087463","0.6841110598208099","true","0.10566044958412003","true","3","29","80.52787017822266","84.60450744628906","",""
"5","A5","false","AA682","Eim","UNKNOWN","SYBR","None","Amp","1.4481553956177073","","","32.43947539975974","0.8566338671357256","32.58434061087463","0.6841110598208099","true","0.10566044958412003","true","3","28","74.4965591430664","84.31735229492188","80.69121551513672",""
"6","A6","false","AA682","Eim","UNKNOWN","SYBR","None","Amp","1.448035465467279","","","31.98426411231066","0.8616143823282718","32.58434061087463","0.6841110598208099","true","0.10566044958412003","true","3","28","74.4965591430664","84.61953735351562","80.8423080444336",""
"7","A7","false","AA705","Eim","UNKNOWN","SYBR","None","Amp","1.3572959220707193","","","35.26055933709472","0.8863663521721433","34.292519528033104","0.8895944065271221","true","0.10566044958412003","true","3","31","77.66943359375","","",""
"8","A8","false","AA705","Eim","UNKNOWN","SYBR","None","Amp","1.4064965709076958","","","33.51092206356452","0.8811560810678478","34.292519528033104","0.8895944065271221","true","0.10566044958412003","true","3","29","74.64765167236328","81.89993286132812","",""
"9","A9","false","AA705","Eim","UNKNOWN","SYBR","None","Amp","1.4227843863028597","","","34.106077183440064","0.8576832689350452","34.292519528033104","0.8895944065271221","true","0.10566044958412003","true","3","29","82.67530822753906","","",""
"10","A10","false","AA681","Eim","UNKNOWN","SYBR","None","Amp","1.3085200085603277","","","33.77526464677884","0.9107120484869654","30.688647501445228","3.699916522499292","true","0.10566044958412003","true","3","29","81.76806640625","78.74391174316406","",""
"11","A11","false","AA681","Eim","UNKNOWN","SYBR","None","Amp","1.4374710340190084","","","31.703458985003856","0.8853560541950319","30.688647501445228","3.699916522499292","true","0.10566044958412003","true","3","28","74.5101089477539","84.33859252929688","",""
"12","A12","false","AA681","Eim","UNKNOWN","SYBR","None","Amp","1.4718368873373826","","","26.587218872552995","0.944266238746794","30.688647501445228","3.699916522499292","true","0.10566044958412003","true","3","22","80.10478210449219","","",""
