# File Name: qPCR_eimeria_field_faeces_JK_09022022_2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-02-09 12:17:00 PM UTC
# Run End Date/Time: 2022-02-09 01:35:11 PM UTC
# Run Duration: 78 minutes 10 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-02-09 12:52:46 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-02-09 12:53:35 PM UTC
"Well","Well Position","Sample","Target","Tm","Melt Peak Height"
"1","A1","AA785","Eim","74.945556640625","91603.2734375"
"1","A1","AA785","Eim","81.74203491210938","14783.0302734375"
"1","A1","AA785","Eim","68.6021728515625","20195.42578125"
"1","A1","AA785","Eim","61.805694580078125","10917.4091796875"
"1","A1","AA785","Eim","0.0","0.0"
"2","A2","AA785","Eim","74.945556640625","98456.578125"
"2","A2","AA785","Eim","68.6021728515625","18457.19921875"
"2","A2","AA785","Eim","80.8358383178711","7216.38916015625"
"2","A2","AA785","Eim","0.0","0.0"
"2","A2","AA785","Eim","0.0","0.0"
"3","A3","AA785","Eim","74.945556640625","91935.8359375"
"3","A3","AA785","Eim","68.6021728515625","15681.87109375"
"3","A3","AA785","Eim","89.14264678955078","981.2197265625"
"3","A3","AA785","Eim","0.0","0.0"
"3","A3","AA785","Eim","0.0","0.0"
"4","A4","AA794","Eim","75.24761962890625","53116.76171875"
"4","A4","AA794","Eim","80.68480682373047","26224.625"
"4","A4","AA794","Eim","84.61166381835938","23291.9140625"
"4","A4","AA794","Eim","91.1060791015625","91.29296875"
"4","A4","AA794","Eim","0.0","0.0"
"5","A5","AA794","Eim","84.624755859375","39364.2109375"
"5","A5","AA794","Eim","0.0","0.0"
"5","A5","AA794","Eim","0.0","0.0"
"5","A5","AA794","Eim","0.0","0.0"
"5","A5","AA794","Eim","0.0","0.0"
"6","A6","AA794","Eim","79.94013214111328","31017.0625"
"6","A6","AA794","Eim","84.17140197753906","22842.529296875"
"6","A6","AA794","Eim","73.89545440673828","11228.8291015625"
"6","A6","AA794","Eim","70.57087707519531","8973.55078125"
"6","A6","AA794","Eim","63.16615295410156","3711.2451171875"
"7","A7","AA715","Eim","82.66023254394531","45704.72265625"
"7","A7","AA715","Eim","91.1227798461914","875.3447265625"
"7","A7","AA715","Eim","94.1451187133789","81.34130859375"
"7","A7","AA715","Eim","0.0","0.0"
"7","A7","AA715","Eim","0.0","0.0"
"8","A8","AA715","Eim","74.65103912353516","42647.0625"
"8","A8","AA715","Eim","81.6024169921875","32666.1015625"
"8","A8","AA715","Eim","0.0","0.0"
"8","A8","AA715","Eim","0.0","0.0"
"8","A8","AA715","Eim","0.0","0.0"
"9","A9","AA715","Eim","83.13312530517578","38878.36328125"
"9","A9","AA715","Eim","92.05632781982422","-274.08642578125"
"9","A9","AA715","Eim","0.0","0.0"
"9","A9","AA715","Eim","0.0","0.0"
"9","A9","AA715","Eim","0.0","0.0"
"10","A10","AA814","Eim","80.86451721191406","56390.6171875"
"10","A10","AA814","Eim","84.64553833007812","31147.455078125"
"10","A10","AA814","Eim","0.0","0.0"
"10","A10","AA814","Eim","0.0","0.0"
"10","A10","AA814","Eim","0.0","0.0"
"11","A11","AA814","Eim","69.37022399902344","3579.68310546875"
"11","A11","AA814","Eim","89.48523712158203","959.8925170898438"
"11","A11","AA814","Eim","82.07444763183594","634.2008056640625"
"11","A11","AA814","Eim","75.26861572265625","2350.49609375"
"11","A11","AA814","Eim","63.623077392578125","1094.3330078125"
"12","A12","AA814","Eim","86.15794372558594","2189.51318359375"
"12","A12","AA814","Eim","81.62071990966797","3584.934326171875"
"12","A12","AA814","Eim","89.03150939941406","1678.3837890625"
"12","A12","AA814","Eim","66.95037078857422","7314.720703125"
"12","A12","AA814","Eim","76.32730102539062","4243.32861328125"
"13","B1","AA776","Eim","80.8358383178711","74470.921875"
"13","B1","AA776","Eim","0.0","0.0"
"13","B1","AA776","Eim","0.0","0.0"
"13","B1","AA776","Eim","0.0","0.0"
"13","B1","AA776","Eim","0.0","0.0"
"14","B2","AA776","Eim","80.23170471191406","61409.8671875"
