# File Name: qPCR_eimeria_field_faeces_JK_09022022_2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-02-09 12:17:00 PM UTC
# Run End Date/Time: 2022-02-09 01:35:11 PM UTC
# Run Duration: 78 minutes 10 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-02-09 12:52:46 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-02-09 12:53:35 PM UTC
"Well","Well Position","Cycle Number","X1_M1","X2_M2","X4_M4"
"1","A1","1","121444.016","40567.08","138479.6"
"2","A2","1","111507.37","36827.562","127035.72"
"3","A3","1","95058.87","32345.652","102597.52"
"4","A4","1","96462.516","36353.84","130669.21"
"5","A5","1","89992.85","33162.516","104357.31"
"6","A6","1","84405.58","29679.09","96857.984"
"7","A7","1","123275.01","36548.918","107452.46"
"8","A8","1","124419.87","35891.258","106898.0"
"9","A9","1","99379.24","29845.227","87520.37"
"10","A10","1","105585.74","34348.32","108213.94"
"11","A11","1","74244.96","22204.459","65037.18"
"12","A12","1","140601.12","41271.07","115412.94"
"13","B1","1","120506.375","40360.05","134592.72"
"14","B2","1","170702.42","51237.723","152386.06"
"15","B3","1","171097.62","48182.93","132628.02"
"16","B4","1","140748.78","45198.125","144913.16"
"17","B5","1","142451.83","38724.184","107931.086"
"18","B6","1","142783.2","40269.56","117537.02"
"19","B7","1","121053.195","36990.3","114668.68"
"20","B8","1","100463.305","28331.283","87137.914"
"21","B9","1","106363.336","30400.979","90778.234"
"22","B10","1","109441.93","34258.25","106091.59"
"23","B11","1","122427.9","33247.492","92859.54"
"24","B12","1","111586.92","35033.105","91892.59"
"25","C1","1","131037.74","45422.33","147526.44"
"26","C2","1","148647.8","43891.848","127387.82"
"27","C3","1","142755.03","40848.766","117982.336"
"28","C4","1","119919.234","40429.492","137007.94"
"29","C5","1","105005.266","32157.564","101928.414"
"30","C6","1","109678.89","32160.037","96136.914"
"31","C7","1","112771.06","42319.67","147172.95"
"32","C8","1","93951.0","30778.92","96739.67"
"33","C9","1","111589.94","35876.6","111773.836"
"34","C10","1","120964.4","38210.06","115055.28"
"35","C11","1","92529.945","26322.867","77152.72"
"36","C12","1","90232.46","26184.176","68773.56"
"37","D1","1","120030.43","42361.0","139545.84"
"38","D2","1","134712.55","42235.94","129543.24"
"39","D3","1","126888.92","38827.64","117656.375"
"40","D4","1","116916.82","40541.523","138109.73"
"41","D5","1","118009.04","38479.547","122524.516"
"42","D6","1","95324.47","29463.482","93801.34"
"43","D7","1","114922.73","37762.273","120704.445"
"44","D8","1","119292.57","37668.977","120624.484"
"45","D9","1","100421.87","29131.396","87389.14"
"46","D10","1","131628.4","40042.95","122939.3"
"47","D11","1","106217.66","31730.4","91279.13"
"48","D12","1","106073.11","31721.639","86287.6"
"49","E1","1","110458.92","35737.754","117130.17"
"50","E2","1","125234.67","37768.895","113786.44"
"51","E3","1","91428.11","28460.994","85936.46"
"52","E4","1","110145.9","38665.25","128838.24"
"53","E5","1","104472.48","33027.977","104937.44"
"54","E6","1","112260.164","34492.48","107823.14"
"55","E7","1","149354.55","42951.145","126734.78"
"56","E8","1","117297.92","32151.102","91219.65"
"57","E9","1","122206.93","32768.895","88681.695"
"58","E10","1","163178.39","45242.965","113770.2"
"59","E11","1","156470.34","41504.383","98428.7"
"60","E12","1","152767.84","41256.277","90927.516"
"61","F1","1","126620.07","41536.43","138381.66"
"62","F2","1","136242.36","42042.91","133992.17"
"63","F3","1","124521.92","35967.71","106605.18"
"64","F4","1","116795.77","39859.832","133811.53"
"65","F5","1","139737.95","42438.457","126102.74"
"66","F6","1","141980.5","36707.58","102201.98"
"67","F7","1","133285.77","41674.844","127947.21"
"68","F8","1","102105.58","28561.676","84161.086"
"69","F9","1","106414.625","27781.562","75050.24"
