# File Name: qPCR_eimeria_field_faeces_JK_09022022_3.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-02-09 01:40:28 PM UTC
# Run End Date/Time: 2022-02-09 02:58:31 PM UTC
# Run Duration: 78 minutes 3 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-02-09 02:04:05 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-02-09 02:04:27 PM UTC
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"AA599","Eim","3","-","0","32.690069377891305","0.4863326518555777","0.2807842874645224",
"AA623","Eim","3","-","0","20.75110556664174","0.24821470877640098","0.14330682892887966",
"AA659","Eim","3","-","0","24.58741727053611","0.38543504157034403","0.22253102500575273",
"AA672","Eim","3","-","0","26.757930808589872","0.3218133189670846","0.1857990063344532",
"AA674","Eim","3","-","0","31.99066923279128","0.3299636270783403","0.19050458891646507",
"AA690","Eim","3","-","0","32.10832062750001","0.10708602009199947","0.06182614252656157",
"AA693","Eim","3","-","0","32.1336216679612","0.21541864239318112","0.12437201117416685",
"AA699","Eim","3","-","0","31.6925453442918","0.48927298347304726","0.28248188871537516",
"AA701","Eim","3","-","0","28.124976579468143","0.44662491602850174","0.2578590154958495",
"AA706","Eim","3","-","0","32.85833933846154","0.8225379236252189","0.474892491623696",
"AA708","Eim","3","-","0","32.15613738643944","0.666732494148319","0.3849381849740026",
"AA710","Eim","3","-","0","33.06467312541702","0.3676971156780863","0.2122900287169921",
"AA716","Eim","3","-","0","30.46686393355905","1.2532254803719831","0.7235500684480626",
"AA718","Eim","3","-","0","27.142080723938534","0.17509104631261233","0.10108886272127997",
"AA722","Eim","3","-","0","31.26153650741072","0.04959995647635579","0.028636548223417737",
"AA745","Eim","3","-","0","32.102017074378885","0.3245438762747896","0.18737549433109438",
"AA749","Eim","3","-","0","28.30307554443553","0.08188736592014381","0.04727769275722442",
"AA760","Eim","3","-","0","32.48441555343","0.40359401160747727","0.23301511124489796",
"AA763","Eim","3","-","0","30.71444164889989","0.13455766471457994","0.07768690394449014",
"AA766","Eim","3","-","0","22.882963035851514","0.23121127897369229","0.1334898941551389",
"AA768","Eim","3","-","0","30.814098830525367","2.588938739172174","1.494724477976505",
"AA779","Eim","3","-","0","32.69888957820804","0.07167059040356549","0.04137903466247795",
"AA787","Eim","3","-","0","33.28130218551239","0.6865394840039062","0.396373755898962",
"AA793","Eim","3","-","0","30.770268446919555","0.18379927303334834","0.1061165597626612",
"AA800","Eim","3","-","0","32.32975005797072","0.21050456565458653","0.1215348676463208",
"AA826","Eim","3","-","0","32.193863775675744","0.8503547122864538","0.49095252204525086",
"AA832","Eim","3","-","0","33.00202513406044","0.2759978690074379","0.15934744396720735",
"AA835","Eim","3","-","0","19.741722807196307","0.3055854713925825","0.17642985416894622",
"AA838","Eim","3","-","0","31.266617929188822","0.3510161723899825","0.2026592816192685",
"AA840","Eim","3","-","0","31.77711650235067","0.25868313515236663","0.14935077771503522",
"AA847","Eim","3","-","0","32.22340220816919","0.35165760073688157","0.20302961044801654",
"NTC","Eim","3","-","0","32.896328452512165","","",
