# File Name: qPCR_eimeria_field_faeces_JK_09022022_3.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-02-09 01:40:28 PM UTC
# Run End Date/Time: 2022-02-09 02:58:31 PM UTC
# Run Duration: 78 minutes 3 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-02-09 02:04:05 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-02-09 02:04:27 PM UTC
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4"
"1","A1","false","AA699","Eim","UNKNOWN","SYBR","None","Amp","1.4448969057249572","","","31.649123448693068","0.8898538671702668","31.6925453442918","0.48927298347304726","true","0.08142308673361928","true","3","27","81.85758972167969","","",""
"2","A2","false","AA699","Eim","UNKNOWN","SYBR","None","Amp","1.4819091672879574","","","32.2020820361776","0.8800156765141746","31.6925453442918","0.48927298347304726","true","0.08142308673361928","true","3","26","84.4207763671875","78.99284362792969","",""
"3","A3","false","AA699","Eim","UNKNOWN","SYBR","None","Amp","1.458318807682347","","","31.226430548004735","0.8647570079185697","31.6925453442918","0.48927298347304726","true","0.08142308673361928","true","3","27","74.77112579345703","83.81767272949219","",""
"4","A4","false","AA768","Eim","UNKNOWN","SYBR","None","Amp","1.4680715813411818","","","27.882726206778088","0.8377553152566426","30.814098830525367","2.588938739172174","true","0.08142308673361928","true","3","25","80.04827880859375","83.6668930053711","",""
"5","A5","false","AA768","Eim","UNKNOWN","SYBR","None","Amp","1.43313150526161","","","31.77195180286212","0.81467462605317","30.814098830525367","2.588938739172174","true","0.08142308673361928","true","3","29","74.92727661132812","79.60363006591797","",""
"6","A6","false","AA768","Eim","UNKNOWN","SYBR","None","Amp","1.4207510422703047","","","32.787618481935894","0.7924144585481688","30.814098830525367","2.588938739172174","true","0.08142308673361928","true","3","28","79.30192565917969","84.73253631591797","",""
"7","A7","false","AA722","Eim","UNKNOWN","SYBR","None","Amp","1.4605736958651363","","","31.238433772029005","0.8737000634312408","31.26153650741072","0.04959995647635579","true","0.08142308673361928","true","3","27","80.50872802734375","","",""
"8","A8","false","AA722","Eim","UNKNOWN","SYBR","None","Amp","1.4399509094881424","","","31.22770226729537","0.8666492560017642","31.26153650741072","0.04959995647635579","true","0.08142308673361928","true","3","26","75.078125","81.71553039550781","",""
"9","A9","false","AA722","Eim","UNKNOWN","SYBR","None","Amp","1.4320871437494431","","","31.318473482907784","0.8502984572135229","31.26153650741072","0.04959995647635579","true","0.08142308673361928","true","3","27","80.53999328613281","","",""
"10","A10","false","AA623","Eim","UNKNOWN","SYBR","None","Amp","1.456280821154581","","","20.974502933547996","0.9022872162212838","20.75110556664174","0.24821470877640098","true","0.08142308673361928","true","3","18","75.10137176513672","","",""
"11","A11","false","AA623","Eim","UNKNOWN","SYBR","None","Amp","1.4511773314064742","","","20.794908503750833","0.9052958233161056","20.75110556664174","0.24821470877640098","true","0.08142308673361928","true","3","18","75.10137176513672","","",""
"12","A12","false","AA623","Eim","UNKNOWN","SYBR","None","Amp","1.4423794281909095","","","20.483905262626394","0.9081496508524061","20.75110556664174","0.24821470877640098","true","0.08142308673361928","true","3","17","74.95030212402344","","",""
"13","B1","false","AA701","Eim","UNKNOWN","SYBR","None","Amp","1.478999784373428","","","27.817692160082245","0.9505828411261606","28.124976579468143","0.44662491602850174","true","0.08142308673361928","true","3","24","83.96844482421875","80.19905090332031","",""
"14","B2","false","AA701","Eim","UNKNOWN","SYBR","None","Amp","1.469610345078704","","","27.9199322549566","0.9261045975580277","28.124976579468143","0.44662491602850174","true","0.08142308673361928","true","3","24","83.96844482421875","79.89749908447266","",""
"15","B3","false","AA701","Eim","UNKNOWN","SYBR","None","Amp","1.4776534158671308","","","28.63730532336558","0.892646273040768","28.124976579468143","0.44662491602850174","true","0.08142308673361928","true","3","25","83.81767272949219","80.04827880859375","",""
"16","B4","false","AA690","Eim","UNKNOWN","SYBR","None","Amp","1.4331463856147397","","","32.21359587751654","0.9185221157956964","32.10832062750001","0.10708602009199947","true","0.08142308673361928","true","3","28","79.89749908447266","","",""
"17","B5","false","AA690","Eim","UNKNOWN","SYBR","None","Amp","1.4193935542767084","","","31.999511328140244","0.9238010686855871","32.10832062750001","0.10708602009199947","true","0.08142308673361928","true","3","29","79.00022888183594","","",""
"18","B6","false","AA690","Eim","UNKNOWN","SYBR","None","Amp","1.4549473328512768","","","32.11185467684324","0.9424845608006186","32.10832062750001","0.10708602009199947","true","0.08142308673361928","true","3","27","78.24597930908203","","",""
"19","B7","false","AA787","Eim","UNKNOWN","SYBR","None","Amp","1.420755311637887","","","32.67753401793131","0.7757164374426361","33.28130218551239","0.6865394840039062","true","0.08142308673361928","true","3","28","80.81043243408203","","",""
"20","B8","false","AA787","Eim","UNKNOWN","SYBR","None","Amp","1.4374736578346443","","","34.02808453065967","0.7596430410692555","33.28130218551239","0.6865394840039062","true","0.08142308673361928","true","3","28","80.81043243408203","76.88832092285156","",""
