File Name,qPCR_eimeria_field_faeces_JK_03022022_2.eds,,,,,,,,,,,,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,,,,,,,,,,
Operator,DEFAULT,,,,,,,,,,,,,,,,,,,,,,,
Barcode,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 1 System,,,,,,,,,,,,,,,,,,,,,,,
Block Type,96-Well 0.2-mL Block,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,2721220100840,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,2721220100840,,,,,,,,,,,,,,,,,,,,,,,
Heated Cover Serial Number,,,,,,,,,,,,,,,,,,,,,,,,
Block Serial Number,,,,,,,,,,,,,,,,,,,,,,,,
Run Start Date/Time,2022-02-03 02:15:54 PM UTC,,,,,,,,,,,,,,,,,,,,,,,
Run End Date/Time,2022-02-03 03:35:48 PM UTC,,,,,,,,,,,,,,,,,,,,,,,
Run Duration,79 minutes 54 seconds,,,,,,,,,,,,,,,,,,,,,,,
Sample Volume,20.0,,,,,,,,,,,,,,,,,,,,,,,
Cover Temperature,105.0,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
PCR Stage/Step Number,Stage 2 Step 3,,,,,,,,,,,,,,,,,,,,,,,
Melt Stage Number,3,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,CT,,,,,,,,,,,,,,,,,,,,,,,
Analysis Date/Time,2022-02-07 02:25:38 PM UTC,,,,,,,,,,,,,,,,,,,,,,,
Software Name and Version,Design & Analysis Software v2.6.1,,,,,,,,,,,,,,,,,,,,,,,
Plugin Name and Version,"Primary Analysis v1.7.0, Relative Quantification v1.5.0",,,,,,,,,,,,,,,,,,,,,,,
Exported By,guest,,,,,,,,,,,,,,,,,,,,,,,
Exported On,2022-02-07 02:25:51 PM UTC,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample,Target,Task,Reporter,Quencher,Amp Status,Amp Score,Curve Quality,Result Quality Issues,Cq,Cq Confidence,Cq Mean,Cq SD,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4
1,A1,FALSE,AA953,Eim,UNKNOWN,SYBR,None,Amp,1.428354809,,,32.20630604,0.9535053131,31.19976749,1.121537551,TRUE,0.09704541199,TRUE,3,28,82.18422699,,,
2,A2,FALSE,AA953,Eim,UNKNOWN,SYBR,None,Amp,1.418432764,,,31.40219404,0.9014740557,31.19976749,1.121537551,TRUE,0.09704541199,TRUE,3,26,74.93824005,80.8256073,,
3,A3,FALSE,AA953,Eim,UNKNOWN,SYBR,None,Amp,1.468762816,,,29.99080239,0.8820048311,31.19976749,1.121537551,TRUE,0.09704541199,TRUE,3,26,81.88230896,,,
4,A4,FALSE,AA897,Eim,UNKNOWN,SYBR,None,Amp,1.422078733,,,23.31706201,0.9673740184,22.89970594,0.3940456585,TRUE,0.09704541199,TRUE,3,20,74.48536682,,,
5,A5,FALSE,AA897,Eim,UNKNOWN,SYBR,None,Amp,1.436960661,,,22.84797508,0.9680096687,22.89970594,0.3940456585,TRUE,0.09704541199,TRUE,3,19,74.64477539,,,
6,A6,FALSE,AA897,Eim,UNKNOWN,SYBR,None,Amp,1.43440528,,,22.53408074,0.9502575842,22.89970594,0.3940456585,TRUE,0.09704541199,TRUE,3,18,74.64477539,,,
7,A7,FALSE,AA593,Eim,UNKNOWN,SYBR,None,Amp,1.492044958,,,27.00846802,0.9390513105,27.52407027,0.6062548278,TRUE,0.09704541199,TRUE,3,23,76.00427246,,,
8,A8,FALSE,AA593,Eim,UNKNOWN,SYBR,None,Amp,1.485075502,,,27.37179743,0.9411163374,27.52407027,0.6062548278,TRUE,0.09704541199,TRUE,3,22,76.00427246,,,
9,A9,FALSE,AA593,Eim,UNKNOWN,SYBR,None,Amp,1.4784253,,,28.19194536,0.9130284333,27.52407027,0.6062548278,TRUE,0.09704541199,TRUE,3,25,75.86873627,,,
13,B1,FALSE,AA936,Eim,UNKNOWN,SYBR,None,Amp,1.455117846,,,17.01883086,0.8964546741,16.85877212,0.2032343966,TRUE,0.09704541199,TRUE,3,13,75.39111328,,,
14,B2,FALSE,AA936,Eim,UNKNOWN,SYBR,None,Amp,1.454278604,,,16.9273702,0.8583293078,16.85877212,0.2032343966,TRUE,0.09704541199,TRUE,3,13,75.24015808,,,
15,B3,FALSE,AA936,Eim,UNKNOWN,SYBR,None,Amp,1.450824188,,,16.6301153,0.8104522581,16.85877212,0.2032343966,TRUE,0.09704541199,TRUE,3,14,75.39111328,,,
16,B4,FALSE,AA939,Eim,UNKNOWN,SYBR,None,Amp,1.442342854,,,21.21119598,0.9729872649,20.63457589,0.6251337225,TRUE,0.09704541199,TRUE,3,16,74.78728485,,,
17,B5,FALSE,AA939,Eim,UNKNOWN,SYBR,None,Amp,1.449431984,,,20.72232984,0.9475828726,20.63457589,0.6251337225,TRUE,0.09704541199,TRUE,3,17,74.94688416,,,
18,B6,FALSE,AA939,Eim,UNKNOWN,SYBR,None,Amp,1.460637442,,,19.97020186,0.9454976364,20.63457589,0.6251337225,TRUE,0.09704541199,TRUE,3,15,74.94688416,,,
19,B7,FALSE,AA571,Eim,UNKNOWN,SYBR,None,Amp,1.371467759,,,30.5096504,0.8005341027,29.98188988,0.4815869046,TRUE,0.09704541199,TRUE,3,26,82.95281982,79.32749176,63.16456604,
20,B8,FALSE,AA571,Eim,UNKNOWN,SYBR,None,Amp,1.442609852,,,29.56626125,0.8068931905,29.98188988,0.4815869046,TRUE,0.09704541199,TRUE,3,25,82.04649353,62.86245346,,
21,B9,FALSE,AA571,Eim,UNKNOWN,SYBR,None,Amp,1.432442601,,,29.86975798,0.7460292931,29.98188988,0.4815869046,TRUE,0.09704541199,TRUE,3,26,82.9747467,62.71505356,75.71754456,
25,C1,FALSE,AA905,Eim,UNKNOWN,SYBR,None,Inconclusive,1.330466452,,,34.93629703,0.9479544849,34.17416359,0.6632077559,TRUE,0.09704541199,TRUE,3,30,82.63710022,77.65548706,,
26,C2,FALSE,AA905,Eim,UNKNOWN,SYBR,None,Amp,1.456505226,,,33.85797359,0.9322233751,34.17416359,0.6632077559,TRUE,0.09704541199,TRUE,3,30,82.63710022,,,
27,C3,FALSE,AA905,Eim,UNKNOWN,SYBR,None,Amp,1.357549346,,,33.72822015,0.8912338129,34.17416359,0.6632077559,TRUE,0.09704541199,TRUE,3,30,75.08920288,79.16506958,,
28,C4,FALSE,AA876,Eim,UNKNOWN,SYBR,None,Amp,1.430025894,,,23.87499509,0.9566556199,23.51541176,0.3182573081,TRUE,0.09704541199,TRUE,3,20,74.48536682,,,
29,C5,FALSE,AA876,Eim,UNKNOWN,SYBR,None,Amp,1.427199603,,,23.40129038,0.9616423508,23.51541176,0.3182573081,TRUE,0.09704541199,TRUE,3,19,74.49372101,,,
30,C6,FALSE,AA876,Eim,UNKNOWN,SYBR,None,Amp,1.435275782,,,23.26994981,0.942700086,23.51541176,0.3182573081,TRUE,0.09704541199,TRUE,3,20,74.64477539,,,
31,C7,FALSE,AA619,Eim,UNKNOWN,SYBR,None,Amp,1.492596908,,,28.19095676,0.8031474266,28.29430982,0.09744838297,TRUE,0.09704541199,TRUE,3,24,84.76548767,81.29121399,62.4092865,
32,C8,FALSE,AA619,Eim,UNKNOWN,SYBR,None,Amp,1.50573787,,,28.3074533,0.8328108484,28.29430982,0.09744838297,TRUE,0.09704541199,TRUE,3,24,84.46337891,,,
33,C9,FALSE,AA619,Eim,UNKNOWN,SYBR,None,Amp,1.483043666,,,28.3845194,0.7886213223,28.29430982,0.09744838297,TRUE,0.09704541199,TRUE,3,24,84.63786316,62.41267014,75.71754456,80.2532959
37,D1,FALSE,AA883,Eim,UNKNOWN,SYBR,None,Amp,1.468343723,,,17.80865498,0.9551008764,17.59066551,0.2173937378,TRUE,0.09704541199,TRUE,3,14,75.08920288,,,
38,D2,FALSE,AA883,Eim,UNKNOWN,SYBR,None,Amp,1.424365068,,,17.58946912,0.933388858,17.59066551,0.2173937378,TRUE,0.09704541199,TRUE,3,13,75.08920288,,,
39,D3,FALSE,AA883,Eim,UNKNOWN,SYBR,None,Amp,1.465076458,,,17.37387244,0.9095147239,17.59066551,0.2173937378,TRUE,0.09704541199,TRUE,3,14,75.08920288,,,
40,D4,FALSE,AA645,Eim,UNKNOWN,SYBR,None,Amp,1.424358292,,,23.91376044,0.9825783907,23.44717928,0.420115345,TRUE,0.09704541199,TRUE,3,19,73.73057556,,,
41,D5,FALSE,AA645,Eim,UNKNOWN,SYBR,None,Amp,1.4275309,,,23.32888182,0.9493343338,23.44717928,0.420115345,TRUE,0.09704541199,TRUE,3,19,73.88949585,,,
42,D6,FALSE,AA645,Eim,UNKNOWN,SYBR,None,Amp,1.413855079,,,23.09889557,0.949817416,23.44717928,0.420115345,TRUE,0.09704541199,TRUE,3,19,73.88949585,,,
43,D7,FALSE,AA669,Eim,UNKNOWN,SYBR,None,Amp,1.412614978,,,31.53227986,0.8077201537,31.56527756,0.2500172678,TRUE,0.09704541199,TRUE,3,28,75.09794617,85.36971283,80.68699646,
44,D8,FALSE,AA669,Eim,UNKNOWN,SYBR,None,Amp,1.480028526,,,31.33339767,0.8494751911,31.56527756,0.2500172678,TRUE,0.09704541199,TRUE,3,27,81.89543152,,,
45,D9,FALSE,AA669,Eim,UNKNOWN,SYBR,None,Amp,1.491943274,,,31.83015515,0.8386467733,31.56527756,0.2500172678,TRUE,0.09704541199,TRUE,3,28,82.36997986,,,
49,E1,FALSE,AA924,Eim,UNKNOWN,SYBR,None,Amp,1.397524919,,,32.16899551,0.8943777209,32.46984644,0.2689011669,TRUE,0.09704541199,TRUE,3,28,80.9765625,77.65548706,71.76812744,
50,E2,FALSE,AA924,Eim,UNKNOWN,SYBR,None,Amp,1.368244515,,,32.55375592,0.8866490284,32.46984644,0.2689011669,TRUE,0.09704541199,TRUE,3,28,77.20261383,84.75051117,,
51,E3,FALSE,AA924,Eim,UNKNOWN,SYBR,None,Amp,1.447876212,,,32.68678788,0.8795897621,32.46984644,0.2689011669,TRUE,0.09704541199,TRUE,3,28,80.9765625,84.29763794,,
52,E4,FALSE,AA553,Eim,UNKNOWN,SYBR,None,Inconclusive,1.001384476,,,38,0.7976705974,35.46534523,2.195251239,TRUE,0.09704541199,TRUE,3,33,83.99572754,65.27693176,78.10836029,
53,E5,FALSE,AA553,Eim,UNKNOWN,SYBR,None,Amp,1.379934703,,,34.17023498,0.9215196937,35.46534523,2.195251239,TRUE,0.09704541199,TRUE,3,30,74.19161224,,,
54,E6,FALSE,AA553,Eim,UNKNOWN,SYBR,None,Amp,1.392720305,,,34.2258007,0.9276529212,35.46534523,2.195251239,TRUE,0.09704541199,TRUE,3,30,74.19161224,,,
55,E7,FALSE,AA712,Eim,UNKNOWN,SYBR,None,Amp,1.436005854,,,30.57577244,0.7516462757,30.68014548,0.4416309748,TRUE,0.09704541199,TRUE,3,27,78.87432861,62.4092865,,
56,E8,FALSE,AA712,Eim,UNKNOWN,SYBR,None,Amp,1.440415172,,,30.30005013,0.7476424092,30.68014548,0.4416309748,TRUE,0.09704541199,TRUE,3,27,75.40005493,82.80177307,,
57,E9,FALSE,AA712,Eim,UNKNOWN,SYBR,None,Amp,1.381786348,,,31.16461388,0.6615129089,30.68014548,0.4416309748,TRUE,0.09704541199,TRUE,3,26,79.95091248,,,
61,F1,FALSE,AA858,Eim,UNKNOWN,SYBR,None,Inconclusive,1.10919923,,,36.95966134,0.9691927247,36.34295833,0.9368719391,TRUE,0.09704541199,TRUE,3,32,77.95740509,,,
