File Name,qPCR_eimeria_field_faeces_JK_09022022.eds,,,,,,,,,,,,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,,,,,,,,,,
Operator,DEFAULT,,,,,,,,,,,,,,,,,,,,,,,
Barcode,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 1 System,,,,,,,,,,,,,,,,,,,,,,,
Block Type,96-Well 0.2-mL Block,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,2721220100840,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,2721220100840,,,,,,,,,,,,,,,,,,,,,,,
Heated Cover Serial Number,,,,,,,,,,,,,,,,,,,,,,,,
Block Serial Number,,,,,,,,,,,,,,,,,,,,,,,,
Run Start Date/Time,2022-02-09 10:37:01 AM UTC,,,,,,,,,,,,,,,,,,,,,,,
Run End Date/Time,2022-02-09 11:58:09 AM UTC,,,,,,,,,,,,,,,,,,,,,,,
Run Duration,81 minutes 8 seconds,,,,,,,,,,,,,,,,,,,,,,,
Sample Volume,20.0,,,,,,,,,,,,,,,,,,,,,,,
Cover Temperature,105.0,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
PCR Stage/Step Number,Stage 2 Step 3,,,,,,,,,,,,,,,,,,,,,,,
Melt Stage Number,3,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,CT,,,,,,,,,,,,,,,,,,,,,,,
Analysis Date/Time,2022-02-09 04:13:32 PM UTC,,,,,,,,,,,,,,,,,,,,,,,
Software Name and Version,Design & Analysis Software v2.6.1,,,,,,,,,,,,,,,,,,,,,,,
Plugin Name and Version,"Primary Analysis v1.7.0, Relative Quantification v1.5.0",,,,,,,,,,,,,,,,,,,,,,,
Exported By,guest,,,,,,,,,,,,,,,,,,,,,,,
Exported On,2022-02-09 04:13:43 PM UTC,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample,Target,Task,Reporter,Quencher,Amp Status,Amp Score,Curve Quality,Result Quality Issues,Cq,Cq Confidence,Cq Mean,Cq SD,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4
1,A1,FALSE,AA792,Eim,UNKNOWN,SYBR,None,Amp,1.456663618,,,17.67758005,0.9890717785,17.08433588,0.6842184842,TRUE,0.1056604496,TRUE,3,12,74.33742523,,,
2,A2,FALSE,AA792,Eim,UNKNOWN,SYBR,None,Amp,1.447219298,,,17.23959978,0.9611844828,17.08433588,0.6842184842,TRUE,0.1056604496,TRUE,3,12,74.18643188,,,
3,A3,FALSE,AA792,Eim,UNKNOWN,SYBR,None,Amp,1.445366413,,,16.3358278,0.9252892511,17.08433588,0.6842184842,TRUE,0.1056604496,TRUE,3,12,74.18643188,,,
4,A4,FALSE,AA682,Eim,UNKNOWN,SYBR,None,Amp,1.457911074,,,33.32928232,0.9106533971,32.58434061,0.6841110598,TRUE,0.1056604496,TRUE,3,29,80.52787018,84.60450745,,
5,A5,FALSE,AA682,Eim,UNKNOWN,SYBR,None,Amp,1.448155396,,,32.4394754,0.8566338671,32.58434061,0.6841110598,TRUE,0.1056604496,TRUE,3,28,74.49655914,84.31735229,80.69121552,
