"Mouse_ID","MC.Eimeria","delta_ct_cewe_MminusE","eimeriaSpecies","OPG","Sex","Latitude","Longitude","Year","HI"
"AA_0047",NA,-9.3,"Negative",1625000,"M",52.497666,13.676085,2016,0.65
"AA_0048",NA,-9.5633333333,"Negative",0,"F",52.497666,13.676085,2016,0.72
"AA_0049",NA,-10.4533333333,"Negative",0,"M",52.497666,13.676085,2016,0.85
"AA_0050",NA,-10.22,"Negative",0,"M",52.497666,13.676085,2016,0.7
"AA_0051",NA,-9.6133333333,"Negative",0,"F",52.5028,13.9289,2016,0.76
"AA_0052",NA,-10.19,"Negative",137500,"M",52.5028,13.9289,2016,0.578947368
"AA_0053",NA,-0.27,"E_ferrisi",0,"F",52.5028,13.9289,2016,0.608695652
"AA_0054",NA,-7.1366666667,"E_vermiformis",NA,"F",52.5028,13.9289,2016,0.708333333
"AA_0055",NA,-9.0233333333,"Negative",0,"M",52.91,13.3064,2016,0
"AA_0056",NA,-9.2466666667,"Negative",NA,"F",52.91,13.3064,2016,0.08
"AA_0057",NA,-9.2533333333,"Negative",NA,"M",52.91,13.3064,2016,0
"AA_0058",NA,-8.9033333333,"Negative",0,"F",52.8431,14.1158,2016,0.916666667
"AA_0059",NA,-10.0066666667,"Negative",0,"M",52.8431,14.1158,2016,0.85
"AA_0060",NA,-8.5633333333,"Negative",0,"F",52.8431,14.1158,2016,0.84
"AA_0061",NA,-8.8866666667,"Negative",0,"M",52.273117,13.599425,2016,0
"AA_0062",NA,-8.0066666667,"Negative",0,"F",52.273117,13.599425,2016,0.04
"AA_0063",NA,-7.97,"Negative",0,"M",52.2678,13.84,2016,0.1
"AA_0064",NA,-2.13,"E_ferrisi",NA,"F",52.4164,13.4642,2016,0.08
"AA_0065",NA,-2.2166666667,"E_ferrisi",10000,"M",52.4164,13.4642,2016,0
"AA_0066",NA,-2.58,"E_ferrisi",NA,"F",52.4164,13.4642,2016,0.12
"AA_0067",NA,-3.5933333333,"E_ferrisi",5000,"M",52.4164,13.4642,2016,0.1
"AA_0068",NA,-1.15,"E_ferrisi",85000,"F",52.4164,13.4642,2016,0.04
"AA_0069",NA,-3.84,"E_falciformis",165000,"M",52.4164,13.4642,2016,0
"AA_0070",NA,-3.94,"E_ferrisi",0,"F",52.4164,13.4642,2016,0
"AA_0071",NA,-7.7,"Negative",0,"F",52.8425,13.6,2016,0.04
"AA_0072",NA,-7.3366666667,"Negative",0,"F",52.9936,13.3047,2016,0
"AA_0073",NA,-7.1533333333,"Negative",0,"F",52.9936,13.3047,2016,0
"AA_0074",NA,-10.63,"Negative",0,"F",52.9936,13.3047,2016,0
"AA_0075",NA,-10.14,"Negative",0,"F",52.9936,13.3047,2016,0
"AA_0076",NA,-7.6033333333,"Negative",0,"M",52.2422,13.7072,2016,0.05
"AA_0077",NA,-9.7933333333,"Negative",0,"F",52.2156,13.5883,2016,0
"AA_0078",NA,-10.6433333333,"Negative",0,"F",52.2156,13.5883,2016,0
"AA_0079",NA,2.9,"E_falciformis",0,"M",52.2678,13.84,2016,0.1
"AA_0080",NA,0.420000000000002,"Double",0,"F",52.2678,13.84,2016,0
"AA_0081",NA,-6.8133333333,"Negative",0,"M",52.2678,13.84,2016,0.05
"AA_0082",NA,-0.3533333333,"E_falciformis",5000,"F",52.2678,13.84,2016,0
"AA_0083",NA,-8.2633333333,"Negative",0,"F",52.497666,13.676085,2016,0.913043478
"AA_0084",NA,-9.7366666667,"Negative",0,"M",52.497666,13.676085,2016,0.5
"AA_0085",NA,-9.7166666667,"Negative",280000,"F",52.497666,13.676085,2016,0.8
"AA_0086",NA,-9.77,"Negative",0,"M",52.497666,13.676085,2016,0.117647059
"AA_0087",NA,-10.6266666667,"Negative",63888.8888888889,"F",52.497666,13.676085,2016,0.782608696
"AA_0088",NA,-2.34,"E_falciformis",NA,"M",52.2678,13.84,2016,0.2
"AA_0089",NA,-10.37,"Negative",0,"F",52.2678,13.84,2016,0.047619048
"AA_0090",NA,-9.5333333333,"Negative",0,"M",52.2422,13.7072,2016,0
"AA_0091",NA,-9.8533333333,"Negative",0,"F",52.7881,13.5544,2016,0
"AA_0092",NA,-8.9033333333,"Negative",0,"M",52.7881,13.5544,2016,0
"AA_0093",NA,-9.4833333333,"Negative",0,"M",52.9936,13.3047,2016,0.0625
