Variable,Description,Type,Unit,Values
delta_ct_ilwe_MminusE,Threshold cycle for mouse minus Eimeria in Ileum tissue. Only E. vermiformis is (at low pervalence in Ileum tissue) and we therfore don't obtain this data-type for all years.,num,,0-40
delta_ct_cewe_MminusE,threshold cycle for mouse minus Eimeria in Caecume tissue. E. ferrisi and E. falcifromis are detected here. We should have this (as coprehensively as possible) for every year,num,,0-40
MC.Eimeria,This was established in 2018 as an improvement over the '> -5 delta ct rule' for identification of Eimeria -positive qPCRs. Melting curves have to show a drastic drop at XX°C to indicate melting of a proper Eimeria COI amplification product. It might be added where possible for per 2018 data post-hoc if melting curves exist for a review of raw data).,logical,,T/F
counter,Person who counted,chr,,
Feces_g,amount of feces used in flotation,num,g,
Date_count,Date counted,Date,,
N_oocysts_sq1 ... sq8,individual count for each single square on the neubauer chamber (up to 8),num,,
mean_neubauer,mean of the 8 squares,num,,
PBS_dil_in_mL,volume of PBS in which sample was diluted,num,mL,
Ncells,"number of neubauer ""cells"" (squares) counted",num,,1-8
OPG,oocysts per gram feces,num,oocysts/g,
