"Supplementary Table S1. List of localities, coordinates and average frequencies at autosomal (HIAA), X-linked (HIX), Y-linked and mtDNA loci.",,,,,,,,,,
Loc#,Locality,State,Latitude,Longitude,HIAA,HIX,Y,mtDNA,Morp,Source
1,Burg,Germany,54° 26',11° 12',0.955,,1.000,0.870,,"Prager et al. 1993, 1997"
2,Gammendorf,Germany,54° 30',11° 9', ,,1.000,1.000,,"Prager et al. 1993, 1997"
3,Teschendorf,Germany,54° 26',11° 7',1.000,,,1.000,,"Prager et al. 1993, 1997"
4,Schashagen,Germany,54° 8',10° 53',0.810,,1.000,1.000,,"Prager et al. 1993, 1997"
5,Lensahn,Germany,54° 13',10° 53',0.833,,1.000,0.333,,"Prager et al. 1993, 1997"
6,Oldenburg,Germany,54° 18',10° 53',0.688,,1.000,1.000,,"Prager et al. 1993, 1997"
7,Sieversdorf,Germany,54° 12',10° 34',0.388,,1.000,1.000,,"Prager et al. 1993, 1997"
8,Dannau,Germany,54° 14',10° 32',0.833,,1.000,1.000,,"Prager et al. 1993, 1997"
9,Bokhorst,Germany,"54° 5' 55""","10° 6' 31""",0.013,,0.130,1.000,,"Prager et al. 1993, 1997"
10,Heidmühlen,Germany,53° 57',10° 5',0.000,,0.000,0.000,,"Prager et al. 1993, 1997"
11,Neumünster,Germany,54° 4',9° 59',0.023,,0.000,0.091,,"Prager et al. 1993, 1997"
12,Hamdorf,Germany,54° 13',9° 50',0.000,,,0.154,,"Prager et al. 1993, 1997"
13,Lübeck,Germany,53° 52',10° 41',,,,0.000,,Ferris et al. 1983
14,Weitendorf,Germany,"53° 53' 49""","11° 21' 23""",,0.100,0.500,0.000,,This paper
15,Lübz,Germany,"53° 28' 26""","11° 59' 39""",,0.114,0.000,0.000,,This paper
16,Suckow,Germany,"53° 24' 44""","12° 19' 40""",,0.000,0.000,0.000,,This paper
17,Hamersen-Hornfeld,Germany,"53° 15' 15""","9° 28' 50""",,0.000,0.000,0.000,,This paper
18,Mützdorf,Germany,"53° 3' 8""","12° 13' 7""",,0.000,0.000,0.000,,This paper
19,Rehfeld,Germany,"52° 56' 39""","12° 19' 44""",,0.000,0.000,0.000,,This paper
