"","Code","Year","We_miss"
"398","BEETZ","2014","Coordinates missing"
"401","BLAZI","2014","Coordinates missing"
"403","BUS2","2014","Coordinates missing"
"404","CHL1","2014","Coordinates missing"
"405","CHL161","2014","Coordinates missing"
"407","CHOT1","2014","Coordinates missing"
"410","DODV","2014","Coordinates missing"
"412","HOHBG1","2014","Coordinates missing"
"414","HOWZ30","2015","Coordinates missing"
"415","HOWZ30","2014","Coordinates missing"
"426","HUR3","2014","Coordinates missing"
"431","JIND31","2014","Coordinates missing"
"434","JIND5","2014","Coordinates missing"
"435","JOACH","2014","Coordinates missing"
"437","JOSE","2014","Coordinates missing"
"438","KAC2","2014","Coordinates missing"
"442","KOZL","2014","Coordinates missing"
"444","KRASIK","2014","Coordinates missing"
"446","KRIZ1","2014","Coordinates missing"
"451","KRIZS","2014","Coordinates missing"
"452","KVET3","2014","Coordinates missing"
"455","LOUZ","2014","Coordinates missing"
"461","MIL64","2014","Coordinates missing"
"463","MUNR","2014","Coordinates missing"
"467","NEB3","2014","Coordinates missing"
"470","NEB64","2014","Coordinates missing"
"474","NEBFP","2014","Coordinates missing"
"476","NEPO1","2014","Coordinates missing"
"478","NVCH1","2014","Coordinates missing"
"481","OBIL2","2014","Coordinates missing"
"482","ODM4","2014","Coordinates missing"
"485","ODR26","2014","Coordinates missing"
"487","PRE11","2014","Coordinates missing"
"489","SABI86","2014","Coordinates missing"
"492","SABIH","2014","Coordinates missing"
"494","SEYB","2014","Coordinates missing"
"498","STR2","2014","Coordinates missing"
"500","VRB7","2014","Coordinates missing"
"503","VRBI4","2014","Coordinates missing"
"504","WOHL","2014","Coordinates missing"
"505","WOZW1","2014","Coordinates missing"
"507","ZIST","2014","Coordinates missing"
"508","BAUH5","2015","Coordinates missing"
"510","DUNZL3","2015","Coordinates missing"
"511","ECKD5","2015","Coordinates missing"
"514","EITEN8","2015","Coordinates missing"
"515","ELTH3","2015","Coordinates missing"
"516","ENGEL1","2015","Coordinates missing"
"522","GAILAU2","2015","Coordinates missing"
"523","GAILAU3","2015","Coordinates missing"
"535","GAILAU9","2015","Coordinates missing"
"540","GAILDS8","2015","Coordinates missing"
"542","GEISL7","2015","Coordinates missing"
"546","GFALL9","2015","Coordinates missing"
"547","GOTT","2015","Coordinates missing"
"549","GRAS12","2015","Coordinates missing"
"553","GROSB9","2015","Coordinates missing"
"555","GSCHW","2015","Coordinates missing"
"559","GUTH1","2015","Coordinates missing"
"567","HETZ18","2015","Coordinates missing"
"569","HOF12","2015","Coordinates missing"
"571","JAGE1","2015","Coordinates missing"
"574","KLESS2","2015","Coordinates missing"
"583","LERA9","2015","Coordinates missing"
"606","LETZ","2015","Coordinates missing"
"626","LOID5","2015","Coordinates missing"
"636","LUCK","2015","Coordinates missing"
"639","MAIEH5","2015","Coordinates missing"
"643","MATT11","2015","Coordinates missing"
"648","MICH17","2015","Coordinates missing"
"649","MOOSH","2015","Coordinates missing"
"655","MOOSM","2015","Coordinates missing"
"657","MUNSF2","2015","Coordinates missing"
"660","NEUALL","2015","Coordinates missing"
"663","NEUS78","2015","Coordinates missing"
"665","NIEDMU","2015","Coordinates missing"
"667","NIEDPR","2015","Coordinates missing"
"669","NUNZ11","2015","Coordinates missing"
"672","OBERL3","2015","Coordinates missing"
"673","OBERN8","2015","Coordinates missing"
"677","OBERS14","2015","Coordinates missing"
"679","OBERS2","2015","Coordinates missing"
"681","OBERT3A","2015","Coordinates missing"
"687","OBERT3B","2015","Coordinates missing"
"690","PARIN","2015","Coordinates missing"
"698","PEMF12","2015","Coordinates missing"
"708","PILM44","2015","Coordinates missing"
"710","REICHM1","2015","Coordinates missing"
"711","ROTZG2","2015","Coordinates missing"
"713","SCHI39","2015","Coordinates missing"
"717","STADT1","2015","Coordinates missing"
"720","STAUN","2015","Coordinates missing"
"721","STEINA6","2015","Coordinates missing"
"722","TAUCH6","2015","Coordinates missing"
"730","THALM5","2015","Coordinates missing"
"732","TIEF28","2015","Coordinates missing"
"733","TORFH","2015","Coordinates missing"
"734","TRESS9","2015","Coordinates missing"
"735","TROB4","2015","Coordinates missing"
"736","UNPRO1","2015","Coordinates missing"
"740","UNSAN16","2015","Coordinates missing"
"743","UNSAN2","2015","Coordinates missing"
"748","UNSCHH","2015","Coordinates missing"
"750","WIED1","2015","Coordinates missing"
"752","WOPP8","2015","Coordinates missing"
"754","ZAIT36","2015","Coordinates missing"
"759","ZUM16","2015","Coordinates missing"
"761","FUCHS5","2015","Coordinates missing"
"767","OBERMU23","2015","Coordinates missing"
"768","OEDE2","2015","Coordinates missing"
"769","ZILCH4","2015","Coordinates missing"
"25","BEETZD",NA,"HI missing"
"89","DORFM",NA,"HI missing"
"162","HENN7",NA,"HI missing"
"334","STEINHA",NA,"HI missing"
