counter,Mouse_ID,Feces_g,PBS_dil,N_oocysts_sq1,X,X.1,X.2,positive_too_low_to_count,oocysts_in_feces,OPG,Parasites,year
Lorenzo,SK_3091,0.093,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3092,0.724,1ml,0,0,0,0,FALSE,0,0,very low,2015
Lorenzo,SK_3093,0.14,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3094,0.149,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3095,0.165,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3096,0.148,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3097,0.124,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3098,0.196,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3099,0.033,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3100,0.089,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3101,0.193,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3102,0.533,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3103,0.229,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3104,0.285,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3105,0.277,1ml,0,0,0,0,FALSE,0,0,very low,2015
Lorenzo,SK_3106,0.201,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3107,0.231,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3108,0.274,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3109,0.123,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3110,0.06,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3111,0.209,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3112,0.241,1ml,0,0,0,0,FALSE,0,0,very low,2015
Lorenzo,SK_3113,0.223,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3114,0.381,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3115,0.294,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3116,0.219,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3117,0.158,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3118,0.233,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3119,0.218,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3120,0.276,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3121,0.125,1ml,0,0,0,0,TRUE,0,0,low,2015
Lorenzo,SK_3122,0.156,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3123,0.224,1ml,0,0,0,0,FALSE,0,0,low,2015
Lorenzo,SK_3124,0.204,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3125,0.626,1ml,0,0,0,0,FALSE,0,0,very low,2015
Lorenzo,SK_3126,0.252,1ml,3,2,4,4,FALSE,32500,128968,,2015
Lorenzo,SK_3127,0.189,1ml,9,6,6,10,FALSE,77500,410053,,2015
Lorenzo,SK_3129,0.251,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3130,0.197,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3131,0.167,1ml,6,6,3,5,FALSE,50000,299401,,2015
Lorenzo,SK_3132,0.138,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3133,0.154,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3134,0.122,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3135,0.141,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3136,0.207,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3137,0.223,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3138,0.191,1ml,0,0,0,0,FALSE,0,0,low,2015
Lorenzo,SK_3139,0.254,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3140,0.32,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3141,0.212,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3142,0.219,1ml,0,0,0,0,FALSE,0,0,high,2015
Lorenzo,SK_3143,0.162,1ml,0,0,0,0,FALSE,0,0,high,2015
Lorenzo,SK_3144,0.058,1ml,0,0,0,0,FALSE,0,0,high,2015
Lorenzo,SK_3145,0.131,1ml,0,0,0,0,FALSE,0,0,high,2015
Lorenzo,SK_3146,0.211,1ml,0,0,0,0,FALSE,0,0,medium,2015
Lorenzo,SK_3147,0.141,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3148,0.173,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3149,0.158,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3150,0.255,1ml,0,0,0,0,TRUE,0,0,medium,2015
Lorenzo,SK_3151,0.148,1ml,2,1,2,2,FALSE,17500,118243,,2015
Lorenzo,SK_3152,0.042,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3154,0.153,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3155,0.119,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3156,0.159,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3157,0.082,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3158,0.199,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3159,0.221,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3160,0.331,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3161,0.231,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3162,0.411,1ml,0,0,0,0,FALSE,0,0,medium,2015
Lorenzo,SK_3164,0.416,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3165,0.243,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3166,0.279,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3167,0.195,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3168,0.282,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3169,0.424,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3170,0.289,1ml,0,0,0,0,FALSE,0,0,,2015
