counter,Mouse_ID,Feces_g,Comments,PBS_dil,Status,N_oocysts_sq1,X,X.1,X.2,N_oocysts_sq2,X.3,X.4,X.5,oocysts_in_feces,OPG,Nematoda,Insgesamt,potassium.dichromat,comment,year
Lorenzo,AA_0237,0.34,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0238,0.11,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0239,0.36,,1ml,postive* ,0,0,0,0,0,0,0,0,0,0,,NA,NA,*=but Oocyst outside frame,2017
Lorenzo,AA_0240,0.71,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0242,0.9,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0243,0.54,,1ml,,1,1,1,4,1,1,1,1,13750,25463,,NA,NA,,2017
Lorenzo,AA_0245,0.34,,1ml,,3,5,7,5,6,5,3,8,52500,154412,,NA,NA,,2017
Lorenzo,AA_0246,0.11,,1ml,positive*,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0247,1.2,,1ml,,1,1,2,1,2,4,4,4,23750,19792,,NA,NA,,2017
Lorenzo,AA_0248,0.41,,1ml,positive*,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0249,0.82,,1ml,,2,4,4,8,8,6,8,2,52500,64024,,NA,NA,,2017
Lorenzo,AA_0250,0.34,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0251,1.02,,1ml,,1,0,1,0,2,0,0,1,6250,6127,,NA,NA,,2017
Lorenzo,AA_0252,0.9,,1ml,positive*,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0253,0.12,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0254,0.54,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
