Mouse_ID,Feces_g,year,counter,Date_count,N_oocysts_sq1,N_oocysts_sq2,N_oocysts_sq3,N_oocysts_sq4,N_oocysts_sq5,N_oocysts_sq6,N_oocysts_sq7,N_oocysts_sq8,mean_neubauer,comments,PBS_dil_in_mL,OPG
SK_3091,0.093,2015,Lorenzo,2017,0,0,0,0,0,0,0,0,0,NA,0.1,0
SK_3092,0.724,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3093,0.14,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3094,0.149,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3095,0.165,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3096,0.148,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3097,0.124,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3098,0.196,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3099,0.033,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3100,0.089,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3101,0.193,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3102,0.533,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3103,0.229,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3104,0.285,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3105,0.277,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3106,0.201,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3107,0.231,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3108,0.274,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3109,0.123,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3110,0.06,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3111,0.209,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3112,0.241,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3113,0.223,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3114,0.381,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3115,0.294,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3116,0.219,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3117,0.158,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
