Mouse_ID,Feces_g,year,counter,Date_count,N_oocysts_sq1,N_oocysts_sq2,N_oocysts_sq3,N_oocysts_sq4,N_oocysts_sq5,N_oocysts_sq6,N_oocysts_sq7,N_oocysts_sq8,mean_neubauer,comments,PBS_dil_in_mL,oocysts_per_mL.N.10000.dil.,OPG
AA_0237,0.34,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0238,0.11,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0239,0.36,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0240,0.71,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0242,0.9,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0243,0.54,2017,Alice,March2018,1,4,4,1,5,8,0,2,3.125,,0.1,31250,5787.037037037
AA_0245,0.34,2017,Alice,March2018,4,8,11,7,14,8,11,10,9.125,,0.1,91250,26838.2352941176
AA_0246,0.11,2017,Alice,March2018,1,0,1,0,1,2,2,0,0.875,,0.1,8750,7954.5454545455
AA_0247,1.2,2017,Alice,March2018,4,3,7,3,5,4,6,1,4.125,,0.1,41250,3437.5
AA_0248,0.41,2017,Alice,March2018,0,0,0,1,0,0,0,0,0.125,,0.1,1250,304.8780487805
AA_0249,0.82,2017,Alice,March2018,19,15,15,13,13,8,11,10,13,,0.1,130000,15853.6585365854
AA_0250,0.34,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0251,1.02,2017,Alice,March2018,2,4,3,2,2,3,5,2,2.875,,0.1,28750,2818.6274509804
AA_0252,0.9,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0253,0.12,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0254,0.54,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0255,0.06,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0256,0.28,2017,Alice,March2018,1,0,0,0,1,0,0,0,0.25,NA,0.1,2500,892.8571428571
AA_0257,0.85,2017,Alice,March2018,15,10,16,16,13,28,9,10,14.625,NA,0.1,146250,17205.8823529412
AA_0258,0.3,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0259,0.28,2017,Alice,March2018,5,7,4,3,3,7,6,7,5.25,NA,0.1,52500,18750
AA_0260,0.34,2017,Alice,March2018,2,0,2,1,2,3,0,0,1.25,NA,0.1,12500,3676.4705882353
AA_0261,0.43,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0262,0.2,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0263,0.27,2017,Alice,March2018,0,0,0,0,0,0,0,NA,0,NA,0.1,0,0
AA_0264,0.19,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0265,0.13,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0268,0.75,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0269,0.09,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0270,1.12,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0271,0.28,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0272,0.14,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0273,0.31,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0274,0.28,2017,Alice,March2018,0,0,1,1,0,0,0,0,0.25,,0.1,2500,892.8571428571
AA_0275,0.13,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0276,0.21,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
