"Mouse_ID","OPG","counter","year"
"SK_3200",154726,"Enas","2015"
"SK_3202",0,"Enas","2015"
"SK_3203",290102,"Enas","2015"
"SK_3205",0,"Enas","2015"
"SK_3206",0,"Enas","2015"
"SK_3091",0,"Lorenzo","2015"
"SK_3092",0,"Lorenzo","2015"
"SK_3093",0,"Lorenzo","2015"
"SK_3094",0,"Lorenzo","2015"
"SK_3095",0,"Lorenzo","2015"
"SK_3096",0,"Lorenzo","2015"
"SK_3097",0,"Lorenzo","2015"
"SK_3098",0,"Lorenzo","2015"
"SK_3099",0,"Lorenzo","2015"
"SK_3100",0,"Lorenzo","2015"
"SK_3101",0,"Lorenzo","2015"
"SK_3102",0,"Lorenzo","2015"
"SK_3104",0,"Lorenzo","2015"
"SK_3105",0,"Lorenzo","2015"
"SK_3107",0,"Lorenzo","2015"
"SK_3108",0,"Lorenzo","2015"
"SK_3109",0,"Lorenzo","2015"
"SK_3110",0,"Lorenzo","2015"
"SK_3111",0,"Lorenzo","2015"
"SK_3112",0,"Lorenzo","2015"
"SK_3113",0,"Lorenzo","2015"
"SK_3114",0,"Lorenzo","2015"
"SK_3115",0,"Lorenzo","2015"
"SK_3116",0,"Lorenzo","2015"
"SK_3117",0,"Lorenzo","2015"
"SK_3118",0,"Lorenzo","2015"
"SK_3119",0,"Lorenzo","2015"
"SK_3120",0,"Lorenzo","2015"
"SK_3121",0,"Lorenzo","2015"
"SK_3122",0,"Lorenzo","2015"
"SK_3123",0,"Lorenzo","2015"
"SK_3124",0,"Lorenzo","2015"
"SK_3125",0,"Lorenzo","2015"
"SK_3130",0,"Lorenzo","2015"
"SK_3132",0,"Lorenzo","2015"
"SK_3133",0,"Lorenzo","2015"
"SK_3134",0,"Lorenzo","2015"
"SK_3135",0,"Lorenzo","2015"
"SK_3136",0,"Lorenzo","2015"
"SK_3138",0,"Lorenzo","2015"
"SK_3139",0,"Lorenzo","2015"
"SK_3142",0,"Lorenzo","2015"
"SK_3143",0,"Lorenzo","2015"
"SK_3147",0,"Lorenzo","2015"
"SK_3148",0,"Lorenzo","2015"
"SK_3149",0,"Lorenzo","2015"
"SK_3150",0,"Lorenzo","2015"
"SK_3152",0,"Lorenzo","2015"
"SK_3154",0,"Lorenzo","2015"
