Pos,Name,"No. Tm SYBR","Tm x (°C) SYBR","Tm y (°C) SYBR","Mean SYBR","Dev. SYBR"
A1,CEWE_AA_0242,0,,,,
A2,CEWE_AA_0242,0,,,,
A3,CEWE_AA_0242,0,,,,
A4,CEWE_AA_0242,0,,,,
A5,CEWE_AA_0242,0,,,,
A6,CEWE_AA_0242,0,,,,
A7,ILWE_AA_0242,1,79.6,,,
A8,ILWE_AA_0242,1,80.2,,,
A9,ILWE_AA_0242,1,78.3,,,
A10,ILWE_AA_242,0,,,,
A11,ILWE_AA_242,0,,,,
A12,ILWE_AA_242,0,,,,
B1,CEWE_AA_0243,0,,,,
B2,CEWE_AA_0243,0,,,,
B3,CEWE_AA_0243,0,,,,
B4,CEWE_AA_0243,0,,,,
B5,CEWE_AA_0243,0,,,,
B6,CEWE_AA_0243,0,,,,
B7,ILWE_AA_0243,1,79.6,,,
B8,ILWE_AA_0243,1,78.8,,,
B9,ILWE_AA_0243,1,78.4,,,
B10,ILWE_AA_0243,0,,,,
B11,ILWE_AA_0243,0,,,,
B12,ILWE_AA_0243,0,,,,
C1,CEWE_AA_0247,0,,,,
C2,CEWE_AA_0247,0,,,,
C3,CEWE_AA_0247,0,,,,
C4,CEWE_AA_0247,0,,,,
C5,CEWE_AA_0247,1,75,,,
C6,CEWE_AA_0247,0,,,,
C7,ILWE_AA_0247,1,79.1,,,
C8,ILWE_AA_0247,1,79.3,,,
C9,ILWE_AA_0247,1,78.6,,,
C10,ILWE_AA_0247,0,,,,
C11,ILWE_AA_0247,0,,,,
C12,ILWE_AA_0247,0,,,,
D1,CEWE_AA_0248,1,80,,,
D2,CEWE_AA_0248,1,80.4,,,
D3,CEWE_AA_0248,1,79.3,,,
D4,CEWE_AA_0248,1,74.2,,,
D5,CEWE_AA_0248,1,74.3,,,
D6,CEWE_AA_0248,1,74.1,,,
D7,ILWE_AA_0248,1,78.6,,,
D8,ILWE_AA_0248,1,78.5,,,
D9,ILWE_AA_0248,1,78.1,,,
D10,ILWE_AA_0248,0,,,,
D11,ILWE_AA_0248,0,,,,
D12,ILWE_AA_0248,0,,,,
E1,CEWE_AA_0249,1,80.3,,,
E2,CEWE_AA_0249,1,79.1,,,
E3,CEWE_AA_0249,1,79.4,,,
E4,CEWE_AA_0249,1,73,,,
E5,CEWE_AA_0249,1,73.7,,,
E6,CEWE_AA_0249,1,73.2,,,
E7,ILWE_AA_0249,1,79.2,,,
E8,ILWE_AA_0249,1,78.6,,,
E9,ILWE_AA_0249,1,78.1,,,
E10,ILWE_AA_0249,1,73.7,,,
E11,ILWE_AA_0249,1,73.8,,,
E12,ILWE_AA_0249,0,,,,
H1,NTC,0,,,,
H2,NTC,0,,,,
H3,NTC,0,,,,
H4,NTC,0,,,,
H5,NTC,0,,,,
H6,NTC,0,,,,
H7,water,0,,,,
H8,water,0,,,,
H9,water,0,,,,
H10,water,0,,,,
H11,water,0,,,,
H12,water,0,,,,
,,,,,,
"Analysis Parameters",,,,,,
"Type of Application","Melting Curve",,,,,
Dye(s),SYBR,,,,,
"Inverted Data",OFF,,,,,
