Area,Address,Latitude,Longitude,Date_set,Time_set,Number_traps_set,Date_collect,Time_collect,Number_rodents_caught,Number_mus_caught
XN,"Brodowiner Dorfstrasse 88, 16230",52.9148,13.9621,10/09/18,16:55,16,11/09/18,11:30,2,2
XN,"Wergener Dorfstrasse 1, 16230",52.9148,13.9624,10/09/18,16:50,9,11/09/18,10:40,1,1
XN,"Pelitz 3, 16230",52.9095,13.9932,10/09/18,17:20,22,11/09/18,11:20,1,1
XN,"Macherslust 3-5, 16225",52.8484,13.8462,10/09/18,16:00,27,11/09/18,10:16,0,0
XN,"Ladersdorfe strasse, 25, 16245 ",52.9333,14.0435,10/09/18,18:00,18,11/09/18,11:45,0,0
XN,"Oderberger strasse 18, 16248",52.9162,14.1100,10/09/18,18:20,16,11/09/18,12:00,1,0
XN,"Hohersaatener strasse 8, 16259",52.8716,14.1425,10/09/18,18:46,14,11/09/18,13:00,0,0
XN,"Hohersaatener strasse 4, 16259",52.8716,14.1425,10/09/18,19:00,14,11/09/18,13:05,0,0
XN,"Corinastrasse 18, 16248",52.8515,13.9155,10/09/18,12:35,41,11/09/18,09:21,0,0
C,"Karlswerter Weg, 13167",52.8100,13.9200,10/09/18,16:50,25,11/09/18,10:21,0,0
C,"Alte Heerstrasse 39, 16259",52.7700,14.0800,10/09/18,17:50,28,11/09/18,10:57,0,0
N,"Badinger str., 25, 16775",52.9801,13.3281,11/09/18,12:00,10,12/09/18,12:00,0,0
N,"R.-Breitscheid str. 13, 16792",52.9721,13.3193,11/09/18,13:20,19,12/09/18,11:20,1,0
N,"Rieckesthal 1, 16792",53.0300,13.2328,11/09/18,14:00,27,12/09/18,13:15,0,0
E,"Hohersaatener Dorfstrasse 9, 16259",52.8716,14.1425,11/09/18,12:45,14,12/09/18,15:00,1,0
E,"Chausee str. 43A, 16259",52.8371,14.0898,11/09/18,17:15,12,12/09/18,13:25,0,0
E,"Neuturnow 99, 16259",52.8103,14.0667,11/09/18,17:55,18,12/09/18,11:32,0,0
E,"Herrenwiese 7, 16259",52.8003,14.0974,11/09/18,18:20,27,12/09/18,11:13,0,0
E,"Herrenwiese 8, 16259",52.7985,14.0995,11/09/18,18:38,9,12/09/18,11:00,0,0
S,"Eberswalder Chausee 3, 15377",52.5408,14.0564,11/09/18,11:44,22,12/09/18,10:35,0,0
S,"Molkenberg 12, 15517",52.4018,14.0674,11/09/18,13:35,20,12/09/18,11:35,0,0
S,"Kolpiner str. 3, 15526",52.2654,13.9976,11/09/18,10:21,16,12/09/18,13:08,0,0
S,"Ahrensdorfer str. 23, 15845",52.2064,14.0906,11/09/18,16:45,27,12/09/18,13:37,0,0
C,"Freienwalde weg 4, 16259",52.7700,13.9500,11/09/18,16:28,18,12/09/18,19:00,0,0
C,"Dorfstrasse 2, 16359",52.7369,13.6605,11/09/18,16:00,23,12/09/18,11:25,19,19
W,"Kastanienweg 10, 14728",52.7413,12.4196,11/09/18,17:10,26,12/09/18,15:00,0,0
W,"Kastanienweg 6, 14728",52.7436,12.4182,11/09/18,16:00,17,12/09/18,14:50,17,0
W,"Klessen, 14728",52.7395,12.4913,11/09/18,15:30,27,12/09/18,14:20,0,0
S,"Molhenberg 1, 15517",52.3973,14.0671,11/09/18,14:16,29,12/09/18,11:30,6,6
E,"Neuglietzener str. 30, 16259",52.8361,14.1192,11/09/18,16:00,37,12/09/18,13:57,3,1
E,"Altglietzener Dorfstr. 31, 16259",52.8327,14.0908,11/09/18,16:40,13,12/09/18,13:15,6,6
N,"Ribbecker Dorfstr. 8, 14641",52.0332,13.2567,11/09/18,15:15,32,12/09/18,13:50,2,2
W,"Berlzin-Brunnerstr. 24, 16833",52.7625,12.7588,11/09/18,13:25,13,12/09/18,19:45,2,2
W,"Muhlenweg 5, 14728",52.5736,12.3726,11/09/18,16:30,13,12/09/18,15:20,2,2
W,"Dorfstr. 1, 16833",52.7723,12.7220,11/09/18,13:10,9,12/09/18,12:59,2,1
W,"Alter Dechtowerweg 2, 16833",52.7949,12.7802,11/09/18,12:04,54,12/09/18,12:00,3,3
N,"Bergsdorfestr. 6, 16775",52.9576,13.2821,11/09/18,11:09,19,12/09/18,11:45,4,4
N,"Wedefelder weg 13, 16775",53.0219,13.1750,11/09/18,16:40,16,12/09/18,12:50,5,3
C,"Wirchstr. 11, ",52.7544,13.7883,11/09/18,13:00,23,NA,NA,0,0
C,"Dorfstr. 25, ",52.7817,13.8345,11/09/18,10:30,8,12/09/18,18:14,0,0
C,"Dorfstr. 26,",52.7819,13.8341,11/09/18,10:55,10,12/09/18,12:50,0,0
C,"Dorfstr. 40,",52.78,13.8351,11/09/18,11:10,9,12/09/18,13:00,1,0
C,"Dorfstr. 9, 16230",52.7766,13.8376,11/09/18,11:38,20,12/09/18,12:30,0,0
C ,"Melchowerweg, 1",52.7436,13.7219,11/09/18,13:46,6,12/09/18,10:40,0,0
C,"Dorfstr. 8,",52.7354,13.6625,11/09/18,16:27,8,12/09/18,11:15,0,0
C,"Dorfstr. 30,",52.7327,13.6692,11/09/18,16:46,31,12/09/18,10:53,0,0
C,"Dorfstr. 22, 16230",52.7576,13.7160,12/09/18,17:26,22,13/09/18,17:00,1,0
W,Steinstr. 7,52.6637,12.5356,12/09/18,18:20,8,13/09/18,14:40,0,0
W,Rhinower str. 26,52.673,12.3451,12/09/18,17:00,3,13/09/18,16:40,0,0
W,Elslaake,52.6941,12.3792,12/09/18,16:30,9,13/09/18,16:55,0,0
C,"Siedlung 1, 16236",52.7077,13.7214,12/09/18,17:00,8,13/09/18,16:39,0,0
C,"Bluenweg 5, ",52.7077,13.7214,12/09/18,16:49,11,13/09/18,12:00,0,0
C,"Beerbaum 20c, ",52.7288,13.7911,12/09/18,16:22,4,13/09/18,11:20,0,0
C,"Ahornstr. 21, 16259",52.7713,13.8816,12/09/18,18:00,15,13/09/18,11:00,1,0
C,"Krummenpfahl 2, ",52.7725,13.9259,12/09/18,16:50,16,13/09/18,10:20,0,0
C,"Krummenpfahl 21, ",52.7681,13.9245,12/09/18,17:15,13,13/09/18,10:20,0,0
C,"Ahornstroussei 17, 16259",52.7708,13.8853,12/09/18,17:40,7,13/09/18,10:45,2,0
S,"Beeskower str. 24, 15848",52.2130,14.0923,12/09/18,14:15,45,13/09/18,11:46,9,0
E,"Gabow 67, 16259",52.8170,14.0745,12/09/18,12:00,20,13/09/18,10:33,2,1
E,"Dorfstrasse 44, 16248",52.9306,14.0736,12/09/18,18:04,16,13/09/18,11:27,2,2
W,"Warsowerstr. 8, 14662",52.7272,12.6270,12/09/18,13:40,14,13/09/18,13:15,8,7
N,"Mildenberger str. 1, 16792",52.9934,13.3049,12/09/18,14:15,28,13/09/18,10:45,4,4
E,"Wernbergstrasse, 16248",52.9455,14.1010,12/09/18,16:17,39,13/09/18,11:45,1,1
E,"Burgwall 3, 16248",52.9480,14.1052,12/09/18,17:10,16,13/09/18,12:10,1,1
E,"Dorfstr. 24,",52.8035,14.1286,12/09/18,12:30,9,13/09/18,10:40,0,0
E,Kietz 13,52.9480,14.1052,12/09/18,17:40,24,13/09/18,NA,0,0
S,Kirchweg 3. 15848,52.1911,14.1951,12/09/18,15:35,16,13/09/18,18:15,0,0
S,"Wochoseener Dorfstr, 13",52.2264,13.9054,12/09/18,16:58,26,13/09/18,12:45,0,0
S,"Molkenberger str. 2, 15517",52.3846,14.0618,12/09/18,12:29,10,13/09/18,10:35,0,0
C,Börnicker str.,52.6654,13.6410,13/09/18,15:15,19,14/09/18,17:00,0,0
C,"Ernst-Thälmann-Straße 17, 16321 ",52.6632,13.6390,13/09/18,15:00,10,14/09/18,12:00,1,0
C,Ahornhof Willmersdorf,52.6621,13.6829,13/09/18,15:30,25,14/09/18,12:30,0,0
C,Schulstr. 3,52.6995,13.6579,13/09/18,12:20,8,14/09/18,11:30,0,0
C,NABU-Erlebniszentrum Blumberger Mühle,53.0351,13.9658,13/09/18,18:00,16,14/09/18,NA,0,0
E,Angermunder str. 12,52.9991,14.0813,13/09/18,13:50,16,14/09/18,10:48,0,0
W,"Dorfstr. 9, 16818",52.7188,12.8535,13/09/18,11:30,48,14/09/18,11:45,3,0
W,"Dorfstr. 39, 14712",52.6575,12.3890,13/09/18,16:20,6,14/09/18,14:25,0,0
S,"Gusowerfeldweg 5, 15754",52.2595,13.7306,13/09/18,16:45,19,14/09/18,14:09,13,13
E,"Felchower str. 15, 16278",53.0059,14.0801,13/09/18,15:38,26,14/09/18,11:49,11,10
E,"Am stodtberg 2, 16278",52.9766,13.0671,13/09/18,13:09,6,14/09/18,12:15,1,1
E,"Gellmersdorfer str. 15, 16278",52.9906,14.0741,13/09/18,13:23,7,14/09/18,12:00,4,3
E,Chausseestr.,53.0989,13.9631,13/09/18,17:30,28,14/09/18,16:10,1,1
N,"Granseerstr. 69, 16775",53.0689,13.0992,13/09/18,12:00,25,14/09/18,11:00,3,1
W,Semlinerstr. 1,52.6306,12.4558,13/09/18,15:00,10,14/09/18,13:50,7,7
N,"Grosswoltersdorferstr. 5, 16775",53.0621,13.1294,13/09/18,12:25,14,14/09/18,10:45,0,0
N,"Granseerstr. 7, 16775",53.0576,13.1241,13/09/18,16:10,17,14/09/18,10:15,2,0
N,"Breite str.20, 16978",53.1015,13.2515,13/09/18,17:25,9,14/09/18,12:00,0,0
N,"Dannenwalderstr. 17, 16798",53.0998,13.2463,13/09/18,17:00,24,14/09/18,11:45,2,0
N,"Lindenstr. 18, 16775",53.1041,13.0536,13/09/18,13:40,8,14/09/18,NA,1,0
S,"Bornower str. 18, 10848",52.1917,14.1953,13/09/18,18:30,8,14/09/18,10:25,0,0
S,"Hansenweg 5, 15754",52.315,13.7491,13/09/18,14:15,9,14/09/18,12:10,0,0
S,"Dorfanges 7, 15754",52.2422,13.7072,13/09/18,16:30,24,14/09/18,11:20,0,0
W,Dorfstr. 27,52.7210,12.7491,13/09/18,12:30,8,14/09/18,13:00,0,0
S,Alte Postshosse 4,52.4498,14.2049,14/09/18,18:15,25,15/09/18,12:11,0,0
S,"Furstenwalder Chaussee 1, 15518",52.4577,14.2193,14/09/18,17:32,18,15/09/18,11:45,0,0
C,Landsbergerstr. 21,52.5968,13.6261,14/09/18,12:38,15,15/09/18,14:50,0,0
C,Dorfstr. 17,52.7719,13.8905,14/09/18,12:00,23,15/09/18,14:35,0,0
