Mouse_ID,Transect,State,Address,Code,Latitude,Longitude,Sex,Status,Species,Year,Capture,Dissection,Dissectors,Ectoparasites,Body_weight,Body_length,Tail_length,Spleen_mass,Left_Testis_mass,Right_Testis_mass,Left.epididymis.weight,Seminal.vesicle.weight,Left.ovarium.weight,Right.ovarium.weight,Total,Embryo_left,Embryo_right,Feces_weight,Worms_presence,Syphacia_cecum_colon,Cysticercus_tenia_teniformis_liver,Catotenia_pusilla_SI,Mastophorus_stomach_SI,Heterakis_spumosa_colon_cecum,Tapeworm_SI,Trichuris_cecum,Aspiculuris_colon,Hymenolepis_SI,Rodentolepis_liver_digtract,Mesocoides_body_cavities,Mesocoides_lungs,Heigmosomoides_polyguis,H_diminita?,Notes
AA_0237,HZ_BR,Germany,Danewitz 22,DANE22,52.7339,13.6664,female,pregadultnt,Mus musculus,2017,10/09/17,11/09/17,Czech,FALSE,21.69,83.04,87.61,0.0303,NA,NA,NA,NA,NA,NA,NA,2,4,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,Error in tubes : colon wall in liq nitro is in the CEWE tube
AA_0238,HZ_BR,Germany,Mittelstrasse 4 15345 Altlandsberg (Buchholz),NA,52.585905,13.789663,na,adult,Mus musculus,2017,10/09/17,11/09/17,German,FALSE,12.37,72.92,69.4,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0239,HZ_BR,Germany,Mittelstrasse 4 15345 Altlandsberg (Buchholz),NA,52.585905,13.789663,male,adult,Mus musculus,2017,10/09/17,11/09/17,Czech,FALSE,13.89,76.19,79.88,0.0235,NA,NA,0.0163,0.0506,NA,NA,NA,NA,NA,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0240,HZ_BR,Germany,29/30 spitzmühlerstrasse Buchholz,BUCHH,52.5844,13.7881,female,adult,Mus musculus,2017,10/09/17,11/09/17,German,FALSE,10.54,69.72,67.29,0.01,NA,NA,NA,NA,NA,NA,NA,0,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,Only one salivary gland
AA_0241,HZ_BR,Germany,Kastanienweg 7 15345 Prädikow,NA,52.6242788,14.0101667,female,adult,Mus musculus,2017,11/09/17,12/09/17,Czech,FALSE,13.83,74.78,77.92,0.0219,NA,NA,NA,NA,0.0026,NA,0.0075,0,0,NA,TRUE,75,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0242,HZ_BR,Germany,"Am Fährkrug 6, 16259 Bad Freienwalde (Oder)",NA,52.807371,14.036785,male,adult,Mus musculus,2017,11/09/17,12/09/17,Czech,FALSE,14.97,79.71,68.88,0.0285,0.0576,0.0519,0.0252,0.1328,NA,NA,NA,NA,NA,0.9,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0243,HZ_BR,Germany,Kirchstrasse 2 16230 Britz,BRITZ2,52.8875,13.8119,male,adult,Mus musculus,2017,11/09/17,12/09/17,Czech,FALSE,11.13,70.42,70.4,0.0164,0.0592,0.0628,0.0114,0.025,NA,NA,NA,NA,NA,0.54,TRUE,5,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0244,HZ_BR,Germany,Marienhof 6 15741 Bestensee,MARIE,52.2458,13.5994,female,young,Mus musculus,2017,11/09/17,12/09/17,Czech,FALSE,10.47,69.45,76.75,0.0147,NA,NA,NA,NA,0.0023,0.0023,0.0046,0,0,NA,TRUE,26,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0245,HZ_BR,Germany,BESTE6,BESTE6,52.2225,13.6025,male,adult,Mus musculus,2017,11/09/17,12/09/17,Czech,FALSE,19.13,86.99,Def,0.0495,0.1027,0.1003,0.0355,0.1668,NA,NA,NA,NA,NA,0.34,TRUE,21,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0246,HZ_BR,Germany,BESTE6,BESTE6,52.2225,13.6025,female,adult,Mus musculus,2017,11/09/17,12/09/17,Czech,TRUE (collected),12.45,73.87,73.54,0.0539,NA,NA,NA,NA,0.0028,0.0037,0.0065,0,0,0.11,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0247,HZ_BR,Germany,BESTE6,BESTE6,52.2225,13.6025,male,adult,Mus musculus,2017,11/09/17,12/09/17,Czech,TRUE,23.58,87.94,90.55,0.0972,0.0945,0.1001,0.044,0.2147,NA,NA,NA,NA,NA,1.2,TRUE,10,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0248,HZ_BR,Germany,BESTE6,BESTE6,52.2225,13.6025,female,adult,Mus musculus,2017,11/09/17,12/09/17,Czech,FALSE,14.87,80.11,81.7,0.0331,NA,NA,NA,NA,0.0075,0.0039,0.0114,0,0,0.41,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0249,HZ_BR,Germany,BESTE6,BESTE6,52.2225,13.6025,male,adult,Mus musculus,2017,11/09/17,12/09/17,Czech,FALSE,25.74,94.62,96.15,0.11,0.1262,0.1296,0.0382,0.2445,NA,NA,NA,NA,NA,0.82,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0250,HZ_BR,Germany,BESTE6,BESTE6,52.2225,13.6025,male,adult,Mus musculus,2017,11/09/17,12/09/17,Czech,FALSE,13.03,76.88,75.31,0.031,0.0575,0.0594,0.0122,NA,NA,NA,NA,NA,NA,0.34,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0251,HZ_BR,Germany,BESTE6,BESTE6,52.2225,13.6025,female,pregadultnt,Mus musculus,2017,11/09/17,12/09/17,Czech,FALSE,17.39,84.83,88.81,0.0477,NA,NA,NA,NA,0.0036,0.0046,0.0082,0,0,1.02,TRUE,20,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0252,HZ_BR,Germany,BESTE6,BESTE6,52.2225,13.6025,male,adult,Mus musculus,2017,11/09/17,12/09/17,Czech,FALSE,18.36,84.24,81,0.0316,0.0881,0.0932,0.0272,0.1176,NA,NA,NA,NA,NA,0.9,TRUE,7,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0253,HZ_BR,Germany,BESTE6,BESTE6,52.2225,13.6025,female,adult,Mus musculus,2017,11/09/17,12/09/17,Czech,FALSE,16.71,85.36,80.96,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.12,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,Died in cage. Small protocol (1 tube “All digestive tract”)
AA_0254,HZ_BR,Germany,Marienhof 6 15741 Bestensee,MARIE,52.2458,13.5994,male,adult,Mus musculus,2017,11/09/17,12/09/17,Czech,FALSE,16.46,82.03,79.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,Died in cage. Small protocol (1 tube “All digestive tract”)
AA_0255,HZ_BR,Germany,Marienhof 6 15741 Bestensee,MARIE,52.2458,13.5994,male,adult,Mus musculus,2017,11/09/17,12/09/17,Czech,FALSE,8.76,65.53,75.2,0.0127,0.0151,0.0154,NA,NA,NA,NA,NA,NA,NA,0.06,TRUE,40,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0256,HZ_BR,Germany,BESTE6,BESTE6,52.2225,13.6025,female,adult,Mus musculus,2017,11/09/17,12/09/17,German,TRUE,19.31,83.51,90.74,0.09,NA,NA,NA,NA,NA,NA,NA,0,0,0.28,TRUE,0,0,0,46,0,0,0,0,0,0,0,0,0,,NA
AA_0257,HZ_BR,Germany,BESTE6,BESTE6,52.2225,13.6025,male,adult,Mus musculus,2017,11/09/17,12/09/17,German,TRUE,16.84,82.62,75.34,0.03,0.0859,0.0842,0.029,NA,NA,NA,NA,NA,NA,0.85,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA
