"Transect","Mouse_ID","Sex","Longitude","Latitude","Year","Body_weight","Cysticercus","Trichuris_muris","Aspiculuris_tetraptera","Syphacia_obvelata","Flea","Dissection","Capture","Mastophorus_muris","Hymenolepis_microstoma","Heterakis_spumosa","Mesocestoides","Catenotaenia_pusilla","Body_length","Tail_length","mtBamH","Zfy2","Y","X332","X347","X65","Tsx","Btk","Syap1","Es1","Gpd1","Idh1","Mpi","Np","Sod1","HI_NLoci","HI","Dist0","REGion","SRY1","Es1C","Gpd1C","Idh1C","MpiC","NpC","Sod1C","Dist","Hymenolepis","Oxyurids","Mix_Syphacia_Aspiculuris","State","Status","Species","Dissectors","Embryo_left","Embryo_right","Feces_weight","Hymenolepis_diminiuta","Heligmosomoides_polygurus"
"HZ_BR","AA_0047","M",13.6761,52.4978,2016,18.3,0,0,0,4,NA,2016-09-12,2016-09-11,0,"0",0,NA,0,78,83,"d","m","m","m","m","m","m","m","m","94/100","100","100/125","100/120","90/100","80","HI 14",0.65,-12.08,"dom",NA,"dm","dd","dm","dm","dm","mm",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0048","F",13.6761,52.4978,2016,19.83,0,0,0,1,NA,2016-09-23,2016-09-22,0,"0",0,NA,0,88,92,"d",NA,NA,"mm","mm","mm","mm","mm","mm","100","95/100","100","100","90/100","80","HI 13",0.72,-12.08,"dom",NA,"mm","dm","dd","dd","dm","mm",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0049","M",13.6761,52.4978,2016,18.53,0,0,0,4,NA,2016-09-23,2016-09-23,0,"0",3,NA,0,83,79,"d","m","m","m","m","m","m","m","m","100","95/100","100/125","120","90","80","HI 14",0.85,-12.08,"dom",NA,"mm","dm","dm","mm","mm","mm",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0050","M",13.6761,52.4978,2016,17.63,0,0,0,15,NA,2016-09-23,2016-09-23,0,"0",0,NA,0,82,78,"d","m","m","m","m","m","m","m","m","94/100","100","100/125","120","90/100","80","HI 14",0.7,-12.08,"dom",NA,"dm","dd","dm","mm","dm","mm",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0051","F",13.9289,52.5028,2016,14.23,0,0,0,8,NA,2016-09-23,2016-09-22,0,"0",0,NA,0,76,69,"d",NA,NA,"mm","mm","mm","dd","mm","mm","100","95","100/125","120","100","80","HI 13",0.76,5.02,"mus",NA,"mm","mm","dm","mm","dd","mm",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0052","M",13.9289,52.5028,2016,17.04,0,0,0,4,NA,2016-09-23,2016-09-22,0,"0",0,NA,0,83,79,"d","m","m",NA,"m","d","d","d","m","100","95","100/125","120","70/100","100","HI 13",0.5789473684,5.02,"mus",NA,"mm","mm","dm","mm","dm","dd",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0053","F",13.9289,52.5028,2016,20.18,1,0,0,0,NA,2016-09-23,2016-09-22,0,"0",12,NA,0,85,78,NA,NA,NA,"mm","mm","dd","dd","mm",NA,"100","100","100/125","120","70/100","80","HI 11",0.6363636364,5.02,"mus",NA,"mm","dd","dm","mm","dm","mm",NA,NA,NA,338,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0054","F",13.9289,52.5028,2016,13.83,0,0,0,26,NA,2016-09-23,2016-09-22,0,"0",8,NA,0,69,72,NA,NA,NA,"mm","mm","dd","dd","mm","mm","100","95","100","120","70/100","80","HI 12",0.7083333333,5.02,"mus",NA,"mm","mm","dd","mm","dm","mm",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0055","M",13.3064,52.91,2016,15.18,0,0,0,0,NA,2016-09-23,2016-09-22,0,"0",0,NA,0,80,89,"d","d","d","d","d","d","d","d","d","94","100","100","100","100","100","HI 14",0,-15.21,"dom",NA,"dd","dd","dd","dd","dd","dd",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0056","F",13.3064,52.91,2016,8.75,0,0,0,8,NA,2016-09-23,2016-09-22,0,"0",0,NA,0,62,80,"d",NA,NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","90","100","HI 13",0.08,-15.21,"dom",NA,"dd","dd","dd","dd","mm","dd",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
